,"Country, Territory",Total Cases,Feb 5 Cases,Total Deaths,Feb 5 Deaths,Total Recovered,Total Critical,Region
0,China,24399,75.0,491.0,1.0,1022.0,3219.0,Asia
1,Japan,35,2.0,,,,,Asia
2,Singapore,28,4.0,,,1.0,,Asia
3,Thailand,25,,,,8.0,1.0,Asia
4,Hong Kong,21,3.0,1.0,,,,Asia
5,S. Korea,19,1.0,,,1.0,,Asia
6,Australia,14,1.0,,,3.0,,Oceania
7,Malaysia,12,2.0,,,,,Asia
8,Germany,12,,,,,,Europe
9,USA,11,,,,,,N.America
10,Taiwan,11,,,,,,Asia
11,Macao,10,,,,,,Asia
12,Vietnam,10,,,,3.0,,Asia
13,France,6,,,,,1.0,Europe
14,Canada,5,,,,,,N.America
15,U.A.E.,5,,,,,,Asia
16,Philippines,3,1.0,1.0,,,,Asia
17,India,3,,,,,,Asia
18,U.K.,2,,,,,,Europe
19,Italy,2,,,,,2.0,Europe
20,Russia,2,,,,,,Europe
21,Finland,1,,,,,,Europe
22,Nepal,1,,,,,,Asia
23,Sweden,1,,,,,,Europe
24,Sri Lanka,1,,,,1.0,,Asia
25,Cambodia,1,,,,,,Asia
26,Spain,1,,,,,,Europe
27,Belgium,1,,,,,,Europe
