,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","7,062,748","+24,613","263,116","+1,354","3,999,334","+11,049","2,800,298","21,006",,,,,,North America,"
",,
1,,"
South America
","5,906,882","+12,798","193,344",+556,"4,500,443","+9,301","1,213,095","14,971",,,,,,South America,"
",,
2,,"
Asia
","6,577,239","+101,630","134,875","+1,568","5,238,385","+77,207","1,203,979","18,902",,,,,,Asia,"
",,
3,,"
Europe
","3,433,150","+25,636","206,327",+359,"2,015,253","+11,622","1,211,570","5,596",,,,,,Europe,"
",,
4,,"
Africa
","1,212,508","+4,885","28,414",+80,"938,409","+4,217","245,685","1,272",,,,,,Africa,"
",,
5,,"
Oceania
","27,741",+156,576,+24,"22,065",+286,"5,100",58,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,651,,55,4,,,,,,,"
",,
7,,World,"24,220,989","+169,718","826,667","+3,941","16,714,540","+113,682","6,679,782","61,809","3,107",106.1,,,,All,"
",,
8,1,USA,"5,974,093","+18,365","183,042 ",+638,"3,259,177","+4,895","2,531,874","16,484","18,032",552,"78,212,495","236,078","331,298,704 ",North America,55,"1,810",4
9,2,Brazil,"3,683,224","+9,048","116,964 ",+298,"2,848,395",,"717,865","8,318","17,309",550,"14,172,764","66,605","212,789,010 ",South America,58,"1,819",15
10,3,India,"3,307,575","+75,821","60,627 ","+1,015","2,521,295","+54,043","725,653","8,944","2,393",44,"37,651,512","27,243","1,382,048,762 ",Asia,418,"22,796",37
11,4,Russia,"970,865","+4,676","16,683 ",+115,"786,150","+6,403","168,032","2,300","6,652",114,"35,100,000","240,503","145,944,161 ",Europe,150,"8,748",4
12,5,South Africa,"613,017",,"13,308 ",,"520,381",,"79,328",539,"10,317",224,"3,578,836","60,229","59,420,382 ",Africa,97,"4,465",17
13,6,Peru,"607,382",,"28,001 ",,"414,577",,"164,804","1,522","18,383",847,"3,032,744","91,790","33,040,169 ",South America,54,"1,180",11
14,7,Mexico,"568,621","+4,916","61,450 ",+650,"393,101","+3,977","114,070","3,442","4,403",476,"1,278,436","9,900","129,136,438 ",North America,227,"2,101",101
15,8,Colombia,"562,128",,"17,889 ",,"395,470",,"148,769","1,493","11,030",351,"2,546,147","49,959","50,964,400 ",South America,91,"2,849",20
16,9,Spain,"426,818","+3,594","28,971 ",+47,N/A,N/A,N/A,697,"9,128",620,"8,517,446","182,162","46,757,585 ",Europe,110,"1,614",5
17,10,Chile,"402,365","+1,380","10,990 ",+32,"376,268","+1,805","15,107","1,004","21,021",574,"2,276,223","118,919","19,141,022 ",South America,48,"1,742",8
18,11,Iran,"365,606","+2,243","21,020 ",+119,"314,870","+1,812","29,716","3,831","4,345",250,"3,113,806","37,002","84,153,431 ",Asia,230,"4,003",27
19,12,Argentina,"359,638",,"7,661 ",+98,"268,801","+5,599","83,176","1,990","7,946",169,"1,148,574","25,378","45,258,393 ",South America,126,"5,908",39
20,13,UK,"328,846","+1,048","41,465 ",+16,N/A,N/A,N/A,72,"4,840",610,"15,177,265","223,391","67,940,503 ",Europe,207,"1,639",4
21,14,Saudi Arabia,"310,836","+1,068","3,755 ",+33,"284,945","+1,013","22,136","1,601","8,908",108,"4,792,192","137,335","34,894,083 ",Asia,112,"9,293",7
22,15,Bangladesh,"302,147","+2,519","4,082 ",+54,"190,183","+3,427","107,882",,"1,832",25,"1,485,261","9,005","164,936,512 ",Asia,546,"40,406",111
23,16,Pakistan,"294,193",+482,"6,267 ",+12,"278,939",+514,"8,987",669,"1,328",28,"2,512,337","11,341","221,518,879 ",Asia,753,"35,347",88
24,17,Italy,"262,540","+1,366","35,458 ",+13,"206,329",+314,"20,753",69,"4,343",587,"8,219,421","135,975","60,447,970 ",Europe,230,"1,705",7
25,18,Turkey,"262,507","+1,313","6,183 ",+20,"239,797","+1,002","16,527",841,"3,107",73,"6,621,749","78,387","84,475,417 ",Asia,322,"13,663",13
26,19,France,"253,587","+5,429","30,544 ",,"85,524",,"137,519",410,"3,884",468,"6,000,000","91,890","65,295,782 ",Europe,257,"2,138",11
27,20,Germany,"238,320",+748,"9,349 ",+4,"209,600",,"19,371",245,"2,843",112,"11,208,091","133,708","83,825,131 ",Europe,352,"8,966",7
28,21,Iraq,"215,784","+3,837","6,668 ",+72,"157,215","+3,454","51,901",595,"5,347",165,"1,502,546","37,235","40,352,994 ",Asia,187,"6,052",27
