,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,80814,21.0,3177.0,8.0,64115.0,13522,4257.0,56.1
1,Italy,15113,,1016.0,,1258.0,12839,1153.0,250.0
2,Iran,10075,,429.0,,3276.0,6370,,120.0
3,S. Korea,7979,,67.0,,510.0,7402,93.0,155.6
4,Spain,3146,,86.0,,189.0,2871,190.0,67.3
5,France,2876,,61.0,,12.0,2803,129.0,44.1
6,Germany,2745,,6.0,,25.0,2714,9.0,32.8
7,USA,1762,65.0,41.0,,31.0,1690,10.0,5.3
8,Switzerland,868,,7.0,,4.0,857,,100.3
9,Norway,800,,1.0,,1.0,798,,147.6
10,Diamond Princess,696,,7.0,,325.0,364,32.0,
11,Japan,691,,19.0,,118.0,554,29.0,5.5
12,Sweden,687,,1.0,,1.0,685,2.0,68.0
13,Denmark,674,,,,1.0,673,2.0,116.4
14,Netherlands,614,,5.0,,2.0,607,1.0,35.8
15,UK,590,,10.0,,18.0,562,20.0,8.7
16,Belgium,399,,3.0,,1.0,395,2.0,34.4
17,Austria,361,,1.0,,4.0,356,1.0,40.1
18,Qatar,262,,,,,262,,90.9
19,Bahrain,197,,,,35.0,162,1.0,115.8
20,Singapore,187,,,,96.0,91,12.0,32.0
21,Canada,158,16.0,1.0,,11.0,146,1.0,4.2
22,Malaysia,158,,,,26.0,132,2.0,4.9
23,Australia,156,,3.0,,26.0,127,1.0,6.1
24,Hong Kong,131,,3.0,,77.0,51,6.0,17.5
25,Greece,117,,1.0,,,116,2.0,11.2
26,Iceland,117,,,,,117,,
27,Czechia,116,,,,,116,,10.8
28,Finland,109,,,,1.0,108,,19.7
29,Israel,109,,,,4.0,105,2.0,12.6
30,Slovenia,96,,,,,96,,46.2
31,UAE,85,,,,20.0,65,2.0,8.6
32,Iraq,83,,8.0,,24.0,51,,2.1
33,Egypt,80,,2.0,,27.0,51,,0.8
34,Kuwait,80,,,,5.0,75,4.0,18.7
35,Portugal,78,,,,1.0,77,1.0,7.6
36,Brazil,77,,,,,77,2.0,0.4
37,India,74,,1.0,,4.0,69,,0.1
38,San Marino,72,,5.0,,,67,3.0,
39,Ireland,70,,1.0,,,69,6.0,14.2
40,Thailand,70,,1.0,,35.0,34,1.0,1.0
41,Lebanon,68,,3.0,,1.0,64,3.0,10.0
42,Romania,59,,,,7.0,52,1.0,3.1
43,Philippines,52,,5.0,,2.0,45,1.0,0.5
44,Poland,51,,1.0,,,50,3.0,1.3
45,Taiwan,49,,1.0,,20.0,28,,2.1
46,Saudi Arabia,45,,,,1.0,44,,1.3
47,Vietnam,44,,,,16.0,28,,0.5
48,Indonesia,34,,1.0,,3.0,30,,0.1
49,Russia,34,,,,3.0,31,,0.2
50,Chile,33,,,,,33,,1.7
51,Argentina,31,,1.0,,,30,1.0,0.7
52,Palestine,31,,,,,31,,6.1
53,Croatia,27,,,,1.0,26,,6.6
54,Estonia,27,,,,,27,,20.4
55,Algeria,26,,2.0,,10.0,14,,0.6
56,Luxembourg,26,,,,,26,1.0,
57,Georgia,25,,,,,25,1.0,6.3
58,Brunei,25,,,,,25,,
59,Serbia,24,,,,,24,,2.7
60,Albania,23,,1.0,,,22,,8.0
61,Bulgaria,23,,1.0,,,22,,3.3
62,Costa Rica,23,,,,,23,1.0,4.5
63,Peru,22,,,,,22,,0.7
64,Belarus,21,,,,3.0,18,,2.2
65,Pakistan,21,,,,2.0,19,,0.1
66,Slovakia,21,,,,,21,,3.8
67,Oman,18,,,,9.0,9,,3.5
68,Ecuador,17,,,,,17,1.0,1.0
69,Latvia,16,,,,1.0,15,,8.5
70,Hungary,16,,,,,16,,1.7
71,South Africa,16,,,,,16,,0.3
72,Azerbaijan,15,,1.0,,3.0,11,,1.5
73,Panama,14,,1.0,,,13,,3.2
74,Tunisia,13,,,,,13,2.0,1.1
75,Mexico,12,,,,4.0,8,1.0,0.1
76,Bosnia and Herzegovina,11,,,,,11,,3.4
77,Macao,10,,,,10.0,0,,
78,Senegal,10,,,,1.0,9,,0.6
79,Cyprus,10,,,,,10,,8.3
80,North Macedonia,9,,,,1.0,8,,4.3
81,Colombia,9,,,,,9,,0.2
82,Malta,9,,,,,9,,
83,Maldives,8,,,,,8,,
84,Afghanistan,7,,,,,7,,0.2
85,Morocco,6,,1.0,,,5,1.0,0.2
