,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent
0,,"
North America
","2,044,346","+3,513","123,858",+386,"670,598","1,249,890","19,427",,,,,,North America
1,,"
South America
","847,008","+2,389","39,340",+25,"345,961","461,707","11,281",,,,,,South America
2,,"
Europe
","2,004,226",,"173,280",,"978,245","852,701","8,796",,,,,,Europe
3,,"
Asia
","1,108,043",+522,"30,208",+1,"672,401","405,434","13,624",,,,,,Asia
4,,"
Africa
","143,769",,"4,092",,"60,987","78,690",370,,,,,,Africa
5,,"
Oceania
","8,801",+7,125,,"8,196",480,4,,,,,,Australia/Oceania
6,,"

",721,,15,,651,55,4,,,,,,
152,145,Isle of Man,336,,24 ,,309,3,,"3,953",282,"4,805","56,533","84,995 ",Europe
153,146,Mauritius,335,,10 ,,322,3,,263,8,"116,937","91,961","1,271,594 ",Africa
154,147,Vietnam,328,, ,,279,49,1,3,,"275,000","2,827","97,262,917 ",Asia
155,148,Montenegro,324,,9 ,,315,0,,516,14,"10,167","16,188","628,060 ",Europe
156,149,Yemen,310,,77 ,,13,220,,10,3,120,4,"29,764,568 ",Asia
157,150,Eswatini,283,,2 ,,168,113,,244,2,"4,994","4,308","1,159,118 ",Africa
158,151,Liberia,280,,27 ,,148,105,,55,5,,,"5,046,473 ",Africa
159,152,Malawi,279,,4 ,,42,233,1,15,0.2,"3,372",177,"19,082,694 ",Africa
160,153,Mozambique,244,,2 ,,90,152,,8,0.06,"10,261",329,"31,170,640 ",Africa
161,154,Myanmar,224,,6 ,,130,88,,4,0.1,"24,710",454,"54,378,732 ",Asia
162,155,Benin,224,,3 ,,136,85,,19,0.2,"30,817","2,548","12,092,780 ",Africa
163,156,Martinique,200,,14 ,,98,88,,533,37,,,"375,289 ",North America
164,157,Faeroe Islands,187,, ,,187,0,,"3,828",,"9,636","197,269","48,847 ",Europe
165,158,Mongolia,179,, ,,44,135,10,55,,"13,641","4,167","3,273,528 ",Asia
166,159,Zimbabwe,174,,4 ,,29,141,,12,0.3,"46,613","3,140","14,843,588 ",Africa
167,160,Gibraltar,169,, ,,149,20,,"5,016",,"7,553","224,178","33,692 ",Europe
168,161,Guadeloupe,162,,14 ,,138,10,1,405,35,"4,137","10,339","400,118 ",North America
169,162,Guyana,152,,12 ,,67,73,2,193,15,"1,604","2,040","786,232 ",South America
170,163,Brunei ,141,,2 ,,138,1,1,323,5,"19,130","43,764","437,116 ",Asia
171,164,Cayman Islands,141,,1 ,,68,72,,"2,148",15,"11,139","169,662","65,654 ",North America
172,165,Bermuda,140,,9 ,,92,39,2,"2,247",144,"7,171","115,112","62,296 ",North America
173,166,Libya,130,,5 ,,50,75,,19,0.7,"5,591",815,"6,862,990 ",Africa
174,167,Cambodia,125,, ,,123,2,1,7,,"20,406","1,222","16,698,376 ",Asia
175,168,Syria,122,,4 ,,43,75,,7,0.2,,,"17,460,385 ",Asia
176,169,Trinidad and Tobago,117,+1,8 ,,108,1,,84,6,"3,138","2,243","1,399,110 ",North America
177,170,Comoros,106,,2 ,,26,78,,122,2,,,"867,877 ",Africa
178,171,Bahamas,102,,11 ,,48,43,1,260,28,"2,091","5,322","392,918 ",North America
179,172,Aruba,101,,3 ,,98,0,,946,28,"2,128","19,939","106,728 ",North America
180,173,Monaco,99,,4 ,,90,5,1,"2,524",102,,,"39,218 ",Europe
181,174,Barbados,92,,7 ,,76,9,1,320,24,"5,390","18,758","287,346 ",North America
