,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
0,China,80576,+24,3042.0,,23605,53929.0,5737.0
1,S. Korea,6593,+309,43.0,1.0,6415,135.0,52.0
2,Iran,4747,"+1,234",124.0,16.0,3710,913.0,
3,Italy,4636,+778,197.0,49.0,3916,523.0,462.0
4,Diamond Princess,696,,6.0,,478,212.0,34.0
5,Germany,670,+125,,,653,17.0,8.0
6,France,653,+230,9.0,2.0,632,12.0,23.0
7,Japan,420,+56,6.0,,368,46.0,34.0
8,Spain,401,+119,8.0,5.0,387,6.0,9.0
9,USA,316,+95,15.0,3.0,286,15.0,8.0
10,Switzerland,214,+94,1.0,,210,3.0,
11,UK,164,+48,2.0,1.0,144,18.0,
12,Sweden,137,+43,,,136,1.0,
13,Singapore,130,+13,,,48,82.0,9.0
14,Netherlands,128,+46,1.0,1.0,127,,1.0
15,Norway,127,+33,,,126,1.0,
16,Belgium,109,+59,,,108,1.0,1.0
17,Hong Kong,108,+3,2.0,,55,51.0,6.0
18,Malaysia,83,+28,,,60,23.0,
19,Austria,66,+23,,,64,2.0,1.0
20,Australia,63,+3,2.0,,39,22.0,1.0
21,Bahrain,60,+5,,,56,4.0,
22,Kuwait,58,,,,57,1.0,
23,Canada,52,+15,,,44,8.0,1.0
24,Iraq,48,+8,4.0,1.0,43,1.0,
25,Thailand,48,+1,1.0,,16,31.0,1.0
26,Taiwan,45,+1,1.0,,29,15.0,
27,Greece,45,+14,,,45,,1.0
28,UAE,45,+17,,,40,5.0,2.0
29,Iceland,43,+8,,,43,,
30,India,31,+1,,,28,3.0,
31,San Marino,23,+2,1.0,,22,,4.0
32,Denmark,23,+3,,,22,1.0,
33,Lebanon,22,+6,,,22,,1.0
34,Israel,21,+4,,,19,2.0,
35,Czechia,19,+7,,,19,,
36,Ireland,18,+5,,,18,,
37,Algeria,17,,,,17,,
38,Vietnam,17,+1,,,1,16.0,
39,Oman,16,,,,14,2.0,
40,Palestine,16,+9,,,16,,
41,Egypt,15,+12,,,14,1.0,
42,Finland,15,+3,,,14,1.0,
43,Brazil,13,+5,,,13,,
44,Ecuador,13,,,,13,,1.0
45,Portugal,13,+4,,,13,,
46,Russia,13,+6,,,11,2.0,
47,Croatia,11,+1,,,11,,
48,Qatar,11,+3,,,11,,
49,Macao,10,,,,1,9.0,
50,Estonia,10,+5,,,10,,
51,Georgia,9,,,,9,,1.0
52,Romania,9,+3,,,6,3.0,
53,Argentina,8,+6,,,8,,
54,Slovenia,8,+2,,,8,,
55,Azerbaijan,6,,,,6,,
56,Belarus,6,,,,6,,
57,Mexico,6,,,,5,1.0,
58,Pakistan,6,+1,,,5,1.0,
59,Philippines,5,+2,1.0,,2,2.0,1.0
60,Saudi Arabia,5,,,,4,1.0,
61,Chile,5,+1,,,5,,
62,Poland,5,+4,,,5,,
63,Indonesia,4,+2,,,4,,
64,New Zealand,4,,,,4,,
65,Senegal,4,,,,4,,
66,Hungary,4,,,,4,,
67,Luxembourg,3,+1,,,3,,
68,North Macedonia,3,+2,,,3,,
69,Bosnia and Herzegovina,3,+1,,,3,,
70,Dominican Republic,2,+1,,,2,,
71,Morocco,2,,,,2,,1.0
72,Cameroon,2,+2,,,2,,
73,Afghanistan,1,,,,1,,
74,Andorra,1,,,,1,,
75,Armenia,1,,,,1,,
76,Cambodia,1,,,,0,1.0,
77,Jordan,1,,,,1,,
78,Latvia,1,,,,0,1.0,
79,Lithuania,1,,,,1,,
80,Monaco,1,,,,1,,
81,Nepal,1,,,,0,1.0,
82,Nigeria,1,,,,1,,
83,Sri Lanka,1,,,,0,1.0,
84,Tunisia,1,,,,1,,
85,Ukraine,1,,,,1,,
86,Bhutan,1,+1,,,1,,
87,Colombia,1,+1,,,1,,
88,Costa Rica,1,,,,1,,
89,Gibraltar,1,,,,1,,1.0
90,Vatican City,1,+1,,,1,,
91,Liechtenstein,1,,,,1,,
92,Peru,1,+1,,,1,,
93,Serbia,1,+1,,,1,,
94,Slovakia,1,+1,,,1,,
95,South Africa,1,,,,1,,
96,Togo,1,+1,,,1,,
97,Total:,101961,3544,3466.0,79.0,42369,56126.0,6401.0
