,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
0,China,80651,+99,3070.0,28.0,22062,55519.0,5489.0
1,S. Korea,7041,+448,48.0,5.0,6875,118.0,36.0
2,Iran,5823,"+1,076",145.0,21.0,4009,1669.0,
3,Italy,4636,,197.0,,3916,523.0,462.0
4,Germany,717,+47,,,699,18.0,9.0
5,France,716,+63,11.0,2.0,693,12.0,23.0
6,Diamond Princess,696,,6.0,,445,245.0,32.0
7,Spain,477,+76,8.0,,463,6.0,9.0
8,Japan,435,+15,6.0,,353,76.0,28.0
9,USA,335,+16,17.0,2.0,303,15.0,8.0
10,Switzerland,268,+54,1.0,,264,3.0,
11,Belgium,169,+60,,,168,1.0,1.0
12,UK,164,,2.0,,144,18.0,
13,Sweden,137,,,,136,1.0,
14,Norway,136,+9,,,135,1.0,
15,Singapore,130,,,,48,82.0,9.0
16,Netherlands,128,,1.0,,127,,1.0
17,Hong Kong,108,,2.0,,55,51.0,6.0
18,Malaysia,93,+10,,,70,23.0,
19,Austria,74,+8,,,72,2.0,1.0
20,Bahrain,66,+6,,,62,4.0,
21,Australia,64,+1,2.0,,40,22.0,1.0
22,Kuwait,61,+3,,,60,1.0,
23,Canada,54,,,,46,8.0,1.0
24,Thailand,50,+2,1.0,,18,31.0,1.0
25,Iraq,46,,4.0,,41,1.0,
26,Greece,46,+1,,,46,,1.0
27,Taiwan,45,,1.0,,29,15.0,
28,Iceland,45,,,,44,1.0,
29,UAE,45,,,,38,7.0,2.0
30,India,34,+3,,,31,3.0,
31,San Marino,23,,1.0,,22,,4.0
32,Denmark,23,,,,22,1.0,
33,Lebanon,22,,,,21,1.0,1.0
34,Israel,21,,,,19,2.0,
35,Algeria,19,+2,,,19,,
36,Czechia,19,,,,19,,
37,Finland,19,+4,,,18,1.0,
38,Ireland,18,,,,18,,
39,Vietnam,18,+1,,,2,16.0,
40,Oman,16,,,,14,2.0,
41,Palestine,16,,,,16,,
42,Egypt,15,,,,14,1.0,
43,Portugal,15,+2,,,15,,
44,Brazil,14,+1,,,14,,
45,Ecuador,14,+1,,,14,,1.0
46,Russia,13,,,,11,2.0,
47,Croatia,12,+1,,,12,,
48,Georgia,12,+3,,,12,,1.0
49,Qatar,12,+1,,,12,,
50,Slovenia,12,+4,,,12,,
51,Macao,10,,,,0,10.0,
52,Estonia,10,,,,10,,
53,Azerbaijan,9,,,,9,,
54,Romania,9,,,,6,3.0,
55,Argentina,8,,,,8,,
56,Philippines,6,+1,1.0,,3,2.0,1.0
57,Belarus,6,,,,6,,
58,Mexico,6,,,,5,1.0,
59,Pakistan,6,,,,5,1.0,
60,Poland,6,+1,,,6,,
61,New Zealand,5,+1,,,5,,
62,Saudi Arabia,5,,,,4,1.0,
63,Chile,5,,,,5,,
64,Hungary,5,+1,,,5,,
65,Afghanistan,4,+3,,,4,,
66,Indonesia,4,,,,4,,
67,Senegal,4,,,,3,1.0,
68,Luxembourg,3,,,,3,,
69,North Macedonia,3,,,,3,,
70,Bosnia and Herzegovina,3,,,,3,,
71,Slovakia,3,+2,,,3,,
72,Dominican Republic,2,,,,2,,
73,Morocco,2,,,,2,,1.0
74,Cameroon,2,,,,2,,
75,South Africa,2,+1,,,2,,
76,Andorra,1,,,,1,,
77,Armenia,1,,,,1,,
78,Cambodia,1,,,,0,1.0,
79,Jordan,1,,,,1,,
80,Latvia,1,,,,0,1.0,
81,Lithuania,1,,,,1,,
82,Monaco,1,,,,1,,
83,Nepal,1,,,,0,1.0,
84,Nigeria,1,,,,1,,
85,Sri Lanka,1,,,,0,1.0,
86,Tunisia,1,,,,1,,
87,Ukraine,1,,,,1,,
88,Bhutan,1,,,,1,,
89,Colombia,1,,,,1,,
90,Costa Rica,1,,,,1,,
91,Gibraltar,1,,,,1,,1.0
92,Vatican City,1,,,,1,,
93,Liechtenstein,1,,,,1,,
94,Malta,1,+1,,,1,,
95,Peru,1,,,,1,,
96,Serbia,1,,,,1,,
97,Togo,1,,,,1,,
98,Total:,103973,2028,3524.0,58.0,41924,58525.0,6130.0
