,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
0,China,80651,99.0,3070.0,28.0,22129,55452.0,5489.0
1,S. Korea,6767,174.0,44.0,1.0,6588,135.0,52.0
2,Iran,4747,,124.0,,3710,913.0,
3,Italy,4636,,197.0,,3916,523.0,462.0
4,Diamond Princess,696,,6.0,,478,212.0,34.0
5,Germany,684,14.0,,,666,18.0,8.0
6,France,653,,9.0,,632,12.0,23.0
7,Japan,420,,6.0,,365,49.0,34.0
8,Spain,402,1.0,8.0,,388,6.0,9.0
9,USA,335,16.0,17.0,2.0,303,15.0,8.0
10,Switzerland,216,2.0,1.0,,212,3.0,
11,UK,164,,2.0,,144,18.0,
12,Sweden,137,,,,136,1.0,
13,Singapore,130,,,,48,82.0,9.0
14,Norway,129,2.0,,,128,1.0,
15,Netherlands,128,,1.0,,127,,1.0
16,Belgium,109,,,,108,1.0,1.0
17,Hong Kong,108,,2.0,,55,51.0,6.0
18,Malaysia,83,,,,60,23.0,
19,Austria,66,,,,64,2.0,1.0
20,Australia,64,1.0,2.0,,40,22.0,1.0
21,Bahrain,60,,,,56,4.0,
22,Kuwait,58,,,,57,1.0,
23,Canada,54,,,,46,8.0,1.0
24,Thailand,48,,1.0,,16,31.0,1.0
25,Iraq,46,,4.0,,41,1.0,
26,Taiwan,45,,1.0,,29,15.0,
27,Greece,45,,,,45,,1.0
28,Iceland,45,,,,44,1.0,
29,UAE,45,,,,38,7.0,2.0
30,India,31,,,,28,3.0,
31,San Marino,23,,1.0,,22,,4.0
32,Denmark,23,,,,22,1.0,
33,Lebanon,22,,,,21,1.0,1.0
34,Israel,21,,,,19,2.0,
35,Czechia,19,,,,19,,
36,Ireland,18,,,,18,,
37,Algeria,17,,,,17,,
38,Vietnam,17,,,,1,16.0,
39,Oman,16,,,,14,2.0,
40,Palestine,16,,,,16,,
41,Egypt,15,,,,14,1.0,
42,Finland,15,,,,14,1.0,
43,Brazil,14,1.0,,,14,,
44,Ecuador,14,1.0,,,14,,1.0
45,Portugal,13,,,,13,,
46,Russia,13,,,,11,2.0,
47,Croatia,11,,,,11,,
48,Qatar,11,,,,11,,
49,Macao,10,,,,0,10.0,
50,Estonia,10,,,,10,,
51,Azerbaijan,9,,,,9,,
52,Georgia,9,,,,9,,1.0
53,Romania,9,,,,6,3.0,
54,Argentina,8,,,,8,,
55,Slovenia,8,,,,8,,
56,Belarus,6,,,,6,,
57,Mexico,6,,,,5,1.0,
58,Pakistan,6,,,,5,1.0,
59,Philippines,5,,1.0,,2,2.0,1.0
60,New Zealand,5,1.0,,,5,,
61,Saudi Arabia,5,,,,4,1.0,
62,Chile,5,,,,5,,
63,Poland,5,,,,5,,
64,Indonesia,4,,,,4,,
65,Senegal,4,,,,3,1.0,
66,Hungary,4,,,,4,,
67,Luxembourg,3,,,,3,,
68,North Macedonia,3,,,,3,,
69,Bosnia and Herzegovina,3,,,,3,,
70,Dominican Republic,2,,,,2,,
71,Morocco,2,,,,2,,1.0
72,Cameroon,2,,,,2,,
73,Afghanistan,1,,,,1,,
74,Andorra,1,,,,1,,
75,Armenia,1,,,,1,,
76,Cambodia,1,,,,0,1.0,
77,Jordan,1,,,,1,,
78,Latvia,1,,,,0,1.0,
79,Lithuania,1,,,,1,,
80,Monaco,1,,,,1,,
81,Nepal,1,,,,0,1.0,
82,Nigeria,1,,,,1,,
83,Sri Lanka,1,,,,0,1.0,
84,Tunisia,1,,,,1,,
85,Ukraine,1,,,,1,,
86,Bhutan,1,,,,1,,
87,Colombia,1,,,,1,,
88,Costa Rica,1,,,,1,,
89,Gibraltar,1,,,,1,,1.0
90,Vatican City,1,,,,1,,
91,Liechtenstein,1,,,,1,,
92,Peru,1,,,,1,,
93,Serbia,1,,,,1,,
94,Slovakia,1,,,,1,,
95,South Africa,1,,,,1,,
96,Togo,1,,,,1,,
97,Total:,102257,312.0,3497.0,31.0,41101,57659.0,6153.0
