,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","10,589,521","+19,472","343,335",+520,"7,041,117","+8,577","3,205,069","20,064",,,,,,North America,"
",,
1,,"
Asia
","13,115,835","+45,152","233,875",+760,"11,543,445","+50,824","1,338,515","21,086",,,,,,Asia,"
",,
2,,"
South America
","9,329,482","+1,707","287,158",+71,"8,273,694","+2,110","768,630","18,027",,,,,,South America,"
",,
3,,"
Europe
","8,280,885","+86,563","249,829",+716,"3,449,108","+22,362","4,581,948","16,105",,,,,,Europe,"
",,
4,,"
Africa
","1,721,624","+2,812","41,221",+13,"1,406,396","+1,280","274,007","2,057",,,,,,Africa,"
",,
5,,"
Oceania
","35,893",+15,959,,"31,250",+5,"3,684",17,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,659,,47,4,,,,,,,"
",,
7,,World,"43,073,961","+155,721","1,156,392","+2,080","31,745,669","+85,158","10,171,900","77,360","5,526",148.4,,,,All,"
",,
8,1,USA,"8,837,975","+10,043","230,122 ",+54,"5,742,119",+508,"2,865,734","16,359","26,651",694,"132,390,868","399,229","331,616,304 ",North America,38,"1,441",3
9,2,India,"7,873,664","+9,772","118,621 ",+54,"7,085,242","+9,519","669,801","8,944","5,688",86,"102,523,469","74,063","1,384,271,181 ",Asia,176,"11,670",14
10,3,Brazil,"5,381,224",,"156,926 ",,"4,817,898",,"406,400","8,318","25,260",737,"21,900,000","102,799","213,036,330 ",South America,40,"1,358",10
11,4,Russia,"1,513,877","+16,710","26,050 ",+229,"1,138,522","+7,704","349,305","2,300","10,372",178,"57,300,000","392,588","145,954,385 ",Europe,96,"5,603",3
12,5,Spain,"1,110,372",,"34,752 ",,N/A,N/A,N/A,"2,031","23,746",743,"15,503,165","331,544","46,760,544 ",Europe,42,"1,346",3
13,6,France,"1,086,497",,"34,645 ",,"109,486",,"942,366","2,441","16,634",530,"14,637,427","224,090","65,319,392 ",Europe,60,"1,885",4
14,7,Argentina,"1,081,336",,"28,613 ",,"881,113",,"171,610","4,850","23,857",631,"2,804,114","61,865","45,326,314 ",South America,42,"1,584",16
15,8,Colombia,"1,007,711",,"30,000 ",,"907,379",,"70,332","2,365","19,738",588,"4,718,734","92,428","51,053,257 ",South America,51,"1,702",11
16,9,Mexico,"886,800","+6,025","88,743 ",+431,"646,739","+5,664","151,318","2,781","6,855",686,"2,288,589","17,692","129,358,368 ",North America,146,"1,458",57
17,10,Peru,"886,214",,"34,095 ",,"803,846",,"48,273","1,044","26,761","1,030","4,367,969","131,901","33,115,484 ",South America,37,971,8
18,11,UK,"854,010",,"44,745 ",,N/A,N/A,N/A,743,"12,559",658,"31,157,988","458,213","67,998,844 ",Europe,80,"1,520",2
19,12,South Africa,"714,246",,"18,944 ",,"644,641",,"50,661",546,"11,995",318,"4,677,942","78,564","59,542,957 ",Africa,83,"3,143",13
20,13,Iran,"568,896","+6,191","32,616 ",+296,"455,054","+4,163","81,226","4,969","6,746",387,"4,719,597","55,966","84,329,667 ",Asia,148,"2,586",18
21,14,Italy,"504,509",,"37,210 ",,"264,117",,"203,182","1,128","8,348",616,"14,492,122","239,803","60,433,453 ",Europe,120,"1,624",4
22,15,Chile,"502,063","+1,540","13,944 ",+52,"478,252","+1,676","9,867",723,"26,193",727,"4,119,551","214,919","19,167,892 ",South America,38,"1,375",5
23,16,Iraq,"451,707","+2,554","10,623 ",+55,"381,349","+3,140","59,735",400,"11,153",262,"2,756,365","68,056","40,501,318 ",Asia,90,"3,813",15
24,17,Germany,"430,719","+2,911","10,129 ",+18,"317,000","+2,900","103,590","1,203","5,136",121,"20,380,376","243,003","83,868,935 ",Europe,195,"8,280",4
