,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,81093,39.0,3270.0,9.0,72703.0,5120,1749.0,56.0
1,Italy,59138,,5476.0,,7024.0,46638,3000.0,978.0
2,USA,33563,17.0,420.0,1.0,178.0,32965,795.0,101.0
3,Spain,28768,,1772.0,,2575.0,24421,1785.0,615.0
4,Germany,24873,,94.0,,266.0,24513,23.0,297.0
5,Iran,21638,,1685.0,,7913.0,12040,,258.0
6,France,16018,,674.0,,2200.0,13144,1746.0,245.0
7,S. Korea,8961,64.0,111.0,7.0,3166.0,5684,59.0,175.0
8,Switzerland,7474,,98.0,,131.0,7245,141.0,864.0
9,UK,5683,,281.0,,93.0,5309,20.0,84.0
10,Netherlands,4204,,179.0,,2.0,4023,354.0,245.0
11,Austria,3582,,16.0,,9.0,3557,15.0,398.0
12,Belgium,3401,,75.0,,263.0,3063,288.0,293.0
13,Norway,2385,,7.0,,6.0,2372,28.0,440.0
14,Sweden,1934,,21.0,,16.0,1897,76.0,191.0
15,Australia,1629,20.0,7.0,,88.0,1534,11.0,64.0
16,Portugal,1600,,14.0,,5.0,1581,26.0,157.0
17,Brazil,1546,,25.0,,2.0,1519,18.0,7.0
18,Canada,1470,,20.0,,14.0,1436,1.0,39.0
19,Denmark,1395,,13.0,,1.0,1381,42.0,241.0
20,Malaysia,1306,,10.0,,139.0,1157,26.0,40.0
21,Turkey,1236,,30.0,,,1206,,15.0
22,Czechia,1120,,1.0,,6.0,1113,19.0,105.0
23,Japan,1101,,41.0,,235.0,825,49.0,9.0
24,Israel,1071,,1.0,,37.0,1033,18.0,124.0
25,Ireland,906,,4.0,,5.0,897,29.0,183.0
26,Luxembourg,798,,8.0,,6.0,784,3.0,1275.0
27,Ecuador,789,,14.0,,3.0,772,2.0,45.0
28,Pakistan,776,,5.0,,13.0,758,,4.0
29,Diamond Princess,712,,8.0,,567.0,137,15.0,
30,Poland,634,,7.0,,13.0,614,3.0,17.0
