,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,80881,+21,3226.0,13.0,68715.0,8940,3226.0,56.2
1,Italy,31506,"+3,526",2503.0,345.0,2941.0,26062,2060.0,521.1
2,Iran,16169,"+1,178",988.0,135.0,5389.0,9792,,192.5
3,Spain,11409,"+1,467",510.0,168.0,1028.0,9871,563.0,244.0
4,Germany,8639,"+1,367",23.0,6.0,67.0,8549,2.0,103.1
5,S. Korea,8320,+84,81.0,6.0,1401.0,6838,59.0,162.3
6,France,6633,,148.0,,12.0,6473,400.0,101.6
7,USA,5704,"+1,041",97.0,11.0,74.0,5533,12.0,17.2
8,Switzerland,2742,+389,27.0,8.0,15.0,2700,,316.8
9,UK,1950,+407,71.0,16.0,52.0,1827,20.0,28.7
10,Netherlands,1705,+292,43.0,19.0,2.0,1660,45.0,99.5
11,Norway,1452,+104,3.0,,1.0,1448,27.0,267.8
12,Austria,1332,+314,4.0,1.0,8.0,1320,12.0,147.9
13,Belgium,1243,+185,10.0,,14.0,1219,33.0,107.3
14,Sweden,1191,+70,8.0,1.0,1.0,1182,12.0,117.9
15,Denmark,977,+63,4.0,,1.0,972,18.0,168.7
16,Japan,878,+45,29.0,1.0,144.0,705,41.0,6.9
17,Diamond Princess,696,,7.0,,456.0,233,15.0,
18,Malaysia,673,+107,2.0,2.0,49.0,622,10.0,20.8
19,Australia,452,+51,5.0,,27.0,420,1.0,17.7
20,Canada,452,+11,5.0,1.0,11.0,436,1.0,12.0
21,Portugal,448,+117,1.0,,3.0,444,18.0,43.9
22,Qatar,439,,,,4.0,435,,152.4
23,Czechia,396,+52,,,3.0,393,2.0,37.0
24,Greece,387,+35,5.0,1.0,14.0,368,11.0,37.1
25,Israel,324,+26,,,11.0,313,5.0,37.4
26,Finland,322,+44,,,10.0,312,2.0,58.1
27,Brazil,301,+67,1.0,1.0,2.0,298,18.0,1.4
28,Slovenia,275,+22,1.0,,,274,4.0,132.3
29,Singapore,266,+23,,,114.0,152,14.0,45.5
30,Bahrain,241,+13,1.0,,81.0,159,3.0,141.6
31,Pakistan,236,+52,1.0,,2.0,233,,1.1
32,Iceland,225,+26,1.0,1.0,5.0,219,1.0,
33,Estonia,225,+20,,,1.0,224,,169.6
34,Ireland,223,,2.0,,5.0,216,6.0,45.2
35,Poland,221,+44,5.0,1.0,,216,3.0,5.8
36,Romania,217,+49,,,19.0,198,5.0,11.3
37,Chile,201,+45,,,,201,3.0,10.5
38,Egypt,196,+30,6.0,2.0,26.0,164,,1.9
39,Philippines,187,+45,12.0,,5.0,170,1.0,1.7
40,Thailand,177,+30,1.0,,41.0,135,1.0,2.5
41,Indonesia,172,+38,7.0,2.0,8.0,157,,0.6
42,Saudi Arabia,171,+38,,,6.0,165,,4.9
43,Hong Kong,168,+13,4.0,,81.0,83,4.0,22.4
44,Iraq,154,+21,11.0,1.0,41.0,102,,3.8
45,India,142,+13,3.0,1.0,14.0,125,,0.1
46,Luxembourg,140,+59,1.0,,,139,10.0,
47,Kuwait,130,+7,,,12.0,118,4.0,30.4
48,Lebanon,120,+11,3.0,,4.0,113,3.0,17.6
49,Peru,117,+31,,,1.0,116,8.0,3.5
50,Russia,114,+21,,,8.0,106,,0.8
51,Ecuador,111,+53,2.0,,,109,2.0,6.3
52,San Marino,102,,9.0,2.0,4.0,89,11.0,
53,UAE,98,,,,26.0,72,2.0,9.9
54,Slovakia,97,+25,,,,97,2.0,17.8
55,Mexico,82,+29,,,4.0,78,1.0,0.6
56,Bulgaria,81,+19,2.0,,,79,,11.7
57,Taiwan,77,+10,1.0,,20.0,56,,3.2
58,Armenia,72,+20,,,1.0,71,2.0,24.3
59,Serbia,72,+15,,,1.0,71,4.0,8.2
60,Panama,69,,1.0,,,68,7.0,16.0
61,Argentina,68,+3,2.0,,3.0,63,1.0,1.5
62,Croatia,67,+10,,,5.0,62,,16.3
63,Vietnam,66,+5,,,16.0,50,,0.7
64,Colombia,65,+11,,,1.0,64,,1.3
65,South Africa,62,,,,,62,,1.0
66,Algeria,60,,5.0,1.0,10.0,45,,1.4
67,Latvia,60,+26,,,1.0,59,,31.8
68,Brunei,56,+2,,,,56,1.0,
69,Albania,55,+4,1.0,,,54,2.0,19.1
70,Hungary,50,+11,1.0,,2.0,47,,5.2
71,Cyprus,49,+3,,,,49,1.0,40.6
72,Faeroe Islands,47,+29,,,,47,,
73,Turkey,47,,,,,47,,0.6
74,Sri Lanka,44,+16,,,1.0,43,,2.1
75,Costa Rica,41,,,,,41,3.0,8.0
76,Palestine,41,+2,,,,41,,8.0
77,Jordan,40,+11,,,1.0,39,,3.9
78,Morocco,38,+1,2.0,1.0,1.0,35,1.0,1.0
79,Malta,38,+8,,,2.0,36,,
80,Belarus,36,,,,3.0,33,,3.8
81,Georgia,34,+1,,,1.0,33,1.0,8.5
82,Cambodia,33,+21,,,1.0,32,,2.0
83,Kazakhstan,33,+23,,,,33,,1.8
84,Venezuela,33,+16,,,,33,,1.2
85,North Macedonia,31,+7,,,1.0,30,1.0,14.9
86,Moldova,30,+1,,,1.0,29,1.0,7.4
87,Uruguay,29,,,,,29,,8.3
88,Azerbaijan,28,+3,1.0,,6.0,21,,2.8
89,Senegal,27,,,,2.0,25,,1.6
90,Bosnia and Herzegovina,27,+2,,,2.0,25,,8.2
91,Oman,24,,,,12.0,12,,4.7
92,Tunisia,24,,,,1.0,23,2.0,2.0
93,Afghanistan,22,+1,,,1.0,21,,0.6
94,Lithuania,22,+4,,,1.0,21,1.0,8.1
95,Dominican Republic,21,,1.0,,,20,,1.9
96,Andorra,16,+2,,,1.0,15,,
97,Martinique,15,,1.0,,,14,,
98,Burkina Faso,15,,,,,15,,0.7
99,Macao,13,+1,,,10.0,3,,
100,Maldives,13,,,,,13,,
101,New Zealand,12,+4,,,,12,,2.5
102,Jamaica,12,,,,2.0,10,,4.1
103,Bolivia,11,,,,,11,,0.9
104,French Guiana,11,,,,,11,,
105,Uzbekistan,11,+3,,,,11,,0.3
106,Bangladesh,10,+2,,,3.0,7,,0.1
107,Cameroon,10,+5,,,,10,,0.4
108,Monaco,9,,,,,9,,
109,Paraguay,9,+1,,,,9,1.0,1.3
110,Réunion,9,,,,,9,,
111,Guatemala,8,,1.0,,,7,,0.4
112,Honduras,8,+2,,,,8,,0.8
113,Guyana,7,,1.0,,,6,,
114,Ukraine,7,,1.0,,,6,,0.2
115,Liechtenstein,7,,,,,7,,
116,Rwanda,7,,,,,7,,0.5
117,Channel Islands,6,,,,,6,,
118,Ethiopia,6,+1,,,,6,,0.1
119,Ghana,6,,,,,6,,0.2
120,Guadeloupe,6,,,,,6,,
121,Cuba,5,+1,,,,5,,0.4
122,Guam,5,+2,,,,5,,
123,Mongolia,5,+1,,,,5,,1.5
124,Puerto Rico,5,,,,,5,,1.7
125,Trinidad and Tobago,5,+1,,,,5,,3.6
126,Ivory Coast,4,,,,,4,,0.2
127,Kenya,4,+1,,,,4,,0.1
128,Seychelles,4,+1,,,,4,,
129,Nigeria,3,+1,,,1.0,2,,
130,Aruba,3,+1,,,,3,,
131,Curaçao,3,+1,,,,3,,
132,DRC,3,,,,,3,,
133,French Polynesia,3,,,,,3,,
134,Gibraltar,3,,,,2.0,1,,
135,St. Barth,3,,,,,3,,
136,Barbados,2,+2,,,,2,,
137,Liberia,2,+1,,,,2,,0.4
138,Namibia,2,,,,,2,,0.8
139,Saint Lucia,2,,,,,2,,
140,Saint Martin,2,,,,,2,,
141,U.S. Virgin Islands,2,+1,,,,2,,
142,Cayman Islands,1,,1.0,,,0,,
143,Sudan,1,,1.0,,,0,,
144,Nepal,1,,,,1.0,0,,
145,Antigua and Barbuda,1,,,,,1,,
146,Bahamas,1,,,,,1,,
147,Benin,1,,,,,1,,0.1
148,Bhutan,1,,,,,1,,
149,CAR,1,,,,,1,,0.2
150,Congo,1,,,,,1,,0.2
151,Equatorial Guinea,1,,,,,1,,0.7
152,Gabon,1,,,,,1,,0.4
153,Greenland,1,,,,,1,,
154,Guinea,1,,,,,1,,0.1
155,Vatican City,1,,,,,1,,
156,Mauritania,1,,,,,1,,0.2
157,Mayotte,1,,,,,1,,
158,St. Vincent Grenadines,1,,,,,1,,
159,Somalia,1,,,,,1,,0.1
160,Suriname,1,,,,,1,,
161,Eswatini,1,,,,,1,,0.9
162,Tanzania,1,,,,,1,,
163,Togo,1,,,,,1,,0.1
164,Total:,194584,12141,7894.0,747.0,81080.0,105610,6730.0,25.0
