,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,World,1795747,"+16,004",110005.0,"+1,226",411921.0,1273821,50533.0,230.0,14.1,,
1,USA,533115,+236,20580.0,+3,30502.0,482033,11471.0,1611.0,62.0,2693758.0,8138.0
2,Spain,166019,"+2,992",16972.0,+366,62391.0,86656,7371.0,3551.0,363.0,355000.0,7593.0
3,Italy,152271,,19468.0,,32534.0,100269,3381.0,2518.0,322.0,963473.0,15935.0
4,France,129654,,13832.0,,26391.0,89431,6883.0,1986.0,212.0,333807.0,5114.0
5,Germany,125452,,2871.0,,57400.0,65181,4895.0,1497.0,34.0,1317887.0,15730.0
6,UK,78991,,9875.0,,344.0,68772,1559.0,1164.0,145.0,334974.0,4934.0
7,Iran,71686,"+1,657",4474.0,+117,43894.0,23318,3930.0,853.0,53.0,263388.0,3136.0
8,Turkey,52167,,1101.0,,2965.0,48101,1626.0,619.0,13.0,340380.0,4036.0
9,Belgium,29647,"+1,629",3600.0,+254,6463.0,19584,1223.0,2558.0,311.0,102151.0,8814.0
10,Netherlands,25587,"+1,174",2737.0,+94,250.0,22600,1384.0,1493.0,160.0,101534.0,5926.0
11,Switzerland,25300,+193,1081.0,+45,12100.0,12119,386.0,2923.0,125.0,190000.0,21954.0
12,Canada,23318,,653.0,,6428.0,16237,557.0,618.0,17.0,401552.0,10639.0
13,Brazil,20984,+22,1141.0,+1,173.0,19670,296.0,99.0,5.0,62985.0,296.0
14,Portugal,16585,+598,504.0,+34,277.0,15804,228.0,1627.0,49.0,162798.0,15966.0
15,Russia,15770,"+2,186",130.0,+24,1291.0,14349,8.0,108.0,0.9,1200000.0,8223.0
16,Austria,13945,+139,350.0,+13,6987.0,6608,243.0,1548.0,39.0,144877.0,16086.0
17,Israel,10878,+135,103.0,+2,1388.0,9387,174.0,1257.0,12.0,117339.0,13557.0
18,S. Korea,10512,+32,214.0,+3,7368.0,2930,55.0,205.0,4.0,514621.0,10038.0
19,Sweden,10483,+332,899.0,+12,381.0,9203,839.0,1038.0,89.0,54700.0,5416.0
20,Ireland,8928,,320.0,,25.0,8583,194.0,1808.0,65.0,53000.0,10734.0
21,India,8504,+58,289.0,+1,972.0,7243,,6.0,0.2,189111.0,137.0
22,Ecuador,7257,,315.0,,411.0,6531,184.0,411.0,18.0,21568.0,1222.0
23,Chile,6927,,73.0,,1864.0,4990,383.0,362.0,4.0,76374.0,3995.0
24,Peru,6848,,181.0,,1739.0,4928,142.0,208.0,5.0,67712.0,2054.0
25,Japan,6748,,108.0,,762.0,5878,117.0,53.0,0.9,68771.0,544.0
26,Norway,6459,+50,123.0,+4,32.0,6304,67.0,1191.0,23.0,126486.0,23332.0
27,Poland,6356,,208.0,,375.0,5773,160.0,168.0,5.0,129560.0,3423.0
28,Australia,6313,+10,59.0,+3,3338.0,2916,81.0,248.0,2.0,353941.0,13880.0
29,Romania,6300,+310,306.0,+15,852.0,5142,204.0,327.0,16.0,62328.0,3240.0
30,Denmark,6174,+178,273.0,+13,2123.0,3778,104.0,1066.0,47.0,70125.0,12107.0
31,Czechia,5905,+3,132.0,+3,422.0,5351,87.0,551.0,12.0,125126.0,11684.0
32,Pakistan,5170,+159,88.0,+2,1026.0,4056,37.0,23.0,0.4,61801.0,280.0
33,Malaysia,4683,+153,76.0,+3,2108.0,2499,66.0,145.0,2.0,71897.0,2221.0
34,Philippines,4648,+220,297.0,+50,197.0,4154,1.0,42.0,3.0,33814.0,309.0
35,Saudi Arabia,4462,+429,59.0,+7,761.0,3642,67.0,128.0,2.0,115585.0,3320.0
36,Indonesia,4241,+399,373.0,+46,359.0,3509,,16.0,1.0,27075.0,99.0
37,Mexico,4219,+375,273.0,+40,1772.0,2174,89.0,33.0,2.0,35479.0,275.0
38,UAE,3736,,20.0,,588.0,3128,1.0,378.0,2.0,648195.0,65538.0
39,Serbia,3380,,74.0,,118.0,3188,145.0,387.0,8.0,16399.0,1877.0
40,Luxembourg,3270,,62.0,,500.0,2708,30.0,5224.0,99.0,28965.0,46272.0
41,Panama,3234,,79.0,,23.0,3132,104.0,750.0,18.0,14588.0,3381.0
42,Qatar,2979,+251,7.0,+1,275.0,2697,37.0,1034.0,2.0,49102.0,17043.0
43,Finland,2974,+69,56.0,+7,300.0,2618,80.0,537.0,10.0,45019.0,8125.0
44,Ukraine,2777,+266,83.0,+10,89.0,2605,45.0,63.0,2.0,30314.0,693.0
45,Dominican Republic,2759,,135.0,,108.0,2516,147.0,254.0,12.0,8469.0,781.0
46,Colombia,2709,,100.0,,214.0,2395,92.0,53.0,2.0,40603.0,798.0
47,Belarus,2578,+352,26.0,+3,203.0,2349,50.0,273.0,3.0,64000.0,6773.0
48,Thailand,2551,+33,38.0,+3,1218.0,1295,61.0,37.0,0.5,71860.0,1030.0
49,Singapore,2299,,8.0,,528.0,1763,31.0,393.0,1.0,72680.0,12423.0
50,Argentina,2142,,90.0,+1,440.0,1612,115.0,47.0,2.0,18027.0,399.0
51,Greece,2081,,98.0,+5,269.0,1714,75.0,200.0,9.0,37344.0,3583.0
52,South Africa,2028,,25.0,,410.0,1593,7.0,34.0,0.4,75053.0,1265.0
