,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
0,USA,188592,+62,4056.0,3.0,7251.0,177285,4576.0,570.0,12.0,Jan 20
1,Italy,105792,,12428.0,,15729.0,77635,4023.0,1750.0,206.0,Jan 29
2,Spain,95923,,8464.0,,19259.0,68200,5607.0,2052.0,181.0,Jan 30
3,Germany,71808,,775.0,,16100.0,54933,2675.0,857.0,9.0,Jan 26
4,France,52128,,3523.0,,9444.0,39161,5565.0,799.0,54.0,Jan 23
5,Iran,44605,,2898.0,,14656.0,27051,3703.0,531.0,35.0,Feb 18
6,UK,25150,,1789.0,,135.0,23226,163.0,370.0,26.0,Jan 30
7,Switzerland,16605,,433.0,,1823.0,14349,301.0,1919.0,50.0,Feb 24
8,Turkey,13531,,214.0,,243.0,13074,847.0,160.0,3.0,Mar 09
9,Belgium,12775,,705.0,,1696.0,10374,1021.0,1102.0,61.0,Feb 03
10,Netherlands,12595,,1039.0,,250.0,11306,1053.0,735.0,61.0,Feb 26
11,Austria,10366,+186,128.0,,1095.0,9143,198.0,1151.0,14.0,Feb 24
12,S. Korea,9887,+101,165.0,3.0,5567.0,4155,55.0,193.0,3.0,Jan 19
13,Canada,8612,,101.0,,1242.0,7269,120.0,228.0,3.0,Jan 24
14,Portugal,7443,,160.0,,43.0,7240,188.0,730.0,16.0,Mar 01
15,Brazil,5812,+95,202.0,1.0,127.0,5483,296.0,27.0,1.0,Feb 24
16,Israel,5591,+233,21.0,1.0,226.0,5344,97.0,646.0,2.0,Feb 20
17,Australia,4862,+99,21.0,1.0,345.0,4496,50.0,191.0,0.8,Jan 24
18,Norway,4651,+10,39.0,,13.0,4599,97.0,858.0,7.0,Feb 25
19,Sweden,4435,,180.0,,16.0,4239,358.0,439.0,18.0,Jan 30
20,Czechia,3330,+22,32.0,1.0,45.0,3253,70.0,311.0,3.0,Feb 29
21,Ireland,3235,,71.0,,5.0,3159,103.0,655.0,14.0,Feb 28
22,Denmark,2860,,90.0,,1.0,2769,145.0,494.0,16.0,Feb 26
23,Russia,2777,+440,24.0,7.0,190.0,2563,8.0,19.0,0.2,Jan 30
24,Malaysia,2766,,43.0,,537.0,2186,94.0,85.0,1.0,Jan 24
25,Chile,2738,,12.0,,156.0,2570,14.0,143.0,0.6,Mar 02
26,Poland,2347,+36,35.0,2.0,7.0,2305,50.0,62.0,0.9,Mar 03
27,Philippines,2311,+227,96.0,8.0,50.0,2165,1.0,21.0,0.9,Jan 29
28,Ecuador,2302,,79.0,,58.0,2165,100.0,130.0,4.0,Feb 28
29,Romania,2245,,85.0,3.0,220.0,1940,62.0,117.0,4.0,Feb 25
30,Japan,2178,,57.0,,424.0,1697,69.0,17.0,0.5,Jan 14
31,Luxembourg,2178,,23.0,,80.0,2075,31.0,3479.0,37.0,Feb 28
32,Pakistan,2042,+104,26.0,,82.0,1934,12.0,9.0,0.1,Feb 25
33,Thailand,1771,+120,12.0,2.0,416.0,1343,23.0,25.0,0.2,Jan 12
34,India,1590,+193,45.0,10.0,148.0,1397,,1.0,0.03,Jan 29
35,Saudi Arabia,1563,,10.0,,165.0,1388,31.0,45.0,0.3,Mar 01
