,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,80894,+13,3237.0,11.0,69614.0,8043,2622.0,56.0
1,Italy,31506,,2503.0,,2941.0,26062,2060.0,521.0
2,Iran,17361,"+1,192",1135.0,147.0,5389.0,10837,,207.0
3,Spain,13910,"+2,084",623.0,90.0,1081.0,12206,563.0,298.0
4,Germany,11302,"+1,935",27.0,1.0,86.0,11189,2.0,135.0
5,S. Korea,8413,+93,84.0,3.0,1540.0,6789,59.0,164.0
6,France,7730,,175.0,,602.0,6953,699.0,118.0
7,USA,7398,+987,116.0,7.0,106.0,7176,12.0,22.0
8,Switzerland,3070,+328,27.0,,15.0,3028,,355.0
9,UK,2626,+676,71.0,,65.0,2490,20.0,39.0
10,Netherlands,2051,+346,58.0,15.0,2.0,1991,45.0,120.0
11,Austria,1646,+314,4.0,,9.0,1633,12.0,183.0
12,Norway,1546,+75,6.0,3.0,1.0,1539,27.0,285.0
13,Belgium,1486,+243,14.0,4.0,31.0,1441,33.0,128.0
14,Sweden,1292,+96,8.0,,1.0,1283,12.0,128.0
15,Denmark,1044,+67,4.0,,1.0,1039,24.0,180.0
16,Japan,899,+21,29.0,,144.0,726,41.0,7.0
17,Malaysia,790,+117,2.0,,60.0,728,15.0,24.0
18,Diamond Princess,712,,7.0,,456.0,249,14.0,
19,Portugal,642,+194,2.0,1.0,4.0,636,18.0,63.0
20,Canada,598,,8.0,,12.0,578,1.0,16.0
21,Australia,565,+110,6.0,1.0,43.0,516,1.0,22.0
22,Czechia,464,+30,,,3.0,461,5.0,43.0
23,Qatar,442,,,,4.0,438,,153.0
24,Israel,433,+96,,,11.0,422,6.0,50.0
25,Greece,387,,5.0,,14.0,368,11.0,37.0
26,Finland,359,+37,,,10.0,349,2.0,65.0
27,Brazil,350,+4,1.0,,2.0,347,18.0,2.0
28,Singapore,313,+47,,,114.0,199,14.0,54.0
29,Ireland,292,,2.0,,5.0,285,6.0,59.0
30,Slovenia,286,+11,1.0,,,285,4.0,138.0
31,Pakistan,272,+25,,,2.0,270,,1.0
32,Estonia,258,+33,,,1.0,257,1.0,194.0
33,Bahrain,255,+14,1.0,,88.0,166,3.0,150.0
34,Poland,251,+13,5.0,,1.0,245,3.0,7.0
35,Iceland,250,+3,,,5.0,245,1.0,733.0
36,Romania,246,+29,,,19.0,227,5.0,13.0
37,Chile,238,+37,,,,238,3.0,12.0
38,Indonesia,227,+55,19.0,12.0,11.0,197,,0.8
39,Thailand,212,+35,1.0,,41.0,170,1.0,3.0
40,Luxembourg,203,+63,2.0,1.0,,201,1.0,324.0
41,Philippines,202,+15,17.0,3.0,4.0,181,1.0,2.0
42,Egypt,196,,6.0,,26.0,164,,2.0
43,Hong Kong,181,+13,4.0,,92.0,85,4.0,24.0
44,Saudi Arabia,171,,,,6.0,165,,5.0
45,Iraq,164,+10,12.0,1.0,41.0,111,,4.0
46,India,155,+12,3.0,,14.0,138,,0.1
47,Ecuador,155,+44,2.0,,,153,2.0,9.0
48,Russia,147,+33,,,8.0,139,,1.0
49,Kuwait,142,+12,,,15.0,127,4.0,33.0
50,Lebanon,133,+9,4.0,,4.0,125,3.0,19.0
51,San Marino,119,,11.0,,4.0,104,11.0,3507.0
52,Peru,117,,,,1.0,116,8.0,4.0
53,South Africa,116,+31,,,,116,,2.0
54,UAE,113,,,,26.0,87,2.0,11.0
55,Slovakia,105,+8,,,,105,2.0,19.0
56,Armenia,102,+24,,,1.0,101,2.0,34.0
57,Taiwan,100,+23,1.0,,20.0,79,,4.0
58,Turkey,98,,1.0,,,97,,1.0
59,Mexico,93,+11,,,4.0,89,1.0,0.7
60,Colombia,93,+28,,,1.0,92,,2.0
61,Bulgaria,92,+11,2.0,,,90,,13.0
62,Panama,86,+17,1.0,,,85,7.0,20.0
63,Serbia,83,+11,,,1.0,82,4.0,9.0
64,Croatia,81,+12,,,5.0,76,,20.0
65,Argentina,79,,2.0,,3.0,74,1.0,2.0
66,Vietnam,75,+9,,,16.0,59,,0.8
67,Algeria,72,+11,6.0,1.0,10.0,56,,2.0
68,Latvia,71,+11,,,1.0,70,,38.0
69,Brunei,68,+12,,,,68,2.0,155.0
70,Albania,59,+4,2.0,1.0,,57,2.0,21.0
71,Hungary,58,+8,1.0,,2.0,55,4.0,6.0
72,Faeroe Islands,58,+11,,,1.0,57,,1187.0
73,Jordan,52,+4,,,1.0,51,,5.0
74,Belarus,51,+15,,,5.0,46,,5.0
75,Sri Lanka,51,+7,,,3.0,48,,2.0
76,Costa Rica,50,,,,,50,3.0,10.0
77,Uruguay,50,,,,,50,,14.0
78,Morocco,49,+5,2.0,,1.0,46,1.0,1.0
79,Cyprus,49,,,,,49,1.0,41.0
80,Malta,48,+10,,,2.0,46,,109.0
81,Palestine,44,,,,,44,,9.0
82,Andorra,39,,,,1.0,38,,505.0
83,Bosnia and Herzegovina,39,+5,,,2.0,37,,12.0
84,Georgia,38,+4,,,1.0,37,1.0,10.0
85,Kazakhstan,36,+3,,,,36,,2.0
86,Venezuela,36,+3,,,,36,,1.0
87,Cambodia,35,+2,,,1.0,34,,2.0
88,North Macedonia,35,+4,,,1.0,34,1.0,17.0
89,Azerbaijan,34,,1.0,,6.0,27,,3.0
90,Lithuania,33,+7,,,1.0,32,1.0,12.0
91,Oman,33,,,,12.0,21,,6.0
92,Senegal,31,+4,,,2.0,29,,2.0
93,Moldova,30,,1.0,1.0,1.0,28,2.0,7.0
94,Tunisia,29,+2,,,1.0,28,2.0,2.0
95,Guadeloupe,27,+9,,,,27,,67.0
96,Afghanistan,22,,,,1.0,21,,0.6
97,Dominican Republic,21,,1.0,,,20,,2.0
98,Burkina Faso,20,+5,1.0,1.0,,19,,1.0
99,New Zealand,20,,,,,20,,4.0
100,Martinique,19,+4,1.0,,,18,,51.0
101,Liechtenstein,19,,,,,19,,498.0
102,Macao,15,+2,,,10.0,5,,23.0
103,Uzbekistan,15,+4,,,,15,,0.4
104,Ukraine,14,,2.0,,,12,,0.3
105,Bangladesh,14,+4,1.0,1.0,3.0,10,,0.09
106,Jamaica,13,,,,2.0,11,,4.0
107,Maldives,13,,,,,13,,24.0
108,Bolivia,12,,,,,12,,1.0
109,Réunion,12,+3,,,,12,,13.0
110,French Guiana,11,,,,,11,,37.0
111,Paraguay,11,+2,,,,11,1.0,2.0
112,Cameroon,10,,,,,10,,0.4
113,Monaco,9,,,,,9,,229.0
114,Honduras,9,+1,,,,9,,0.9
115,Guatemala,8,,1.0,,,7,,0.4
116,Nigeria,8,+5,,,1.0,7,,0.04
117,Gibraltar,8,+5,,,2.0,6,,237.0
118,Guam,8,+3,,,,8,,47.0
119,Rwanda,8,+1,,,,8,,0.6
120,Cuba,7,,,,,7,,0.6
121,DRC,7,+4,,,,7,,0.08
122,Ghana,7,,,,,7,,0.2
123,Kenya,7,+3,,,,7,,0.1
124,Trinidad and Tobago,7,+2,,,,7,,5.0
125,Channel Islands,6,,,,,6,,35.0
126,Ivory Coast,6,+2,,,1.0,5,,0.2
127,Ethiopia,6,,,,,6,,0.05
128,Mongolia,6,+1,,,,6,,2.0
129,Puerto Rico,5,,,,,5,,2.0
130,Guyana,4,,1.0,,,3,,5.0
131,Aruba,4,+1,,,,4,,37.0
132,Equatorial Guinea,4,+3,,,,4,,3.0
133,Seychelles,4,,,,,4,,41.0
134,Curaçao,3,,,,,3,,18.0
135,French Polynesia,3,,,,,3,,11.0
136,Gabon,3,,,,,3,,1.0
137,Kyrgyzstan,3,+3,,,,3,,0.5
138,Mayotte,3,,,,,3,,11.0
139,St. Barth,3,,,,,3,,304.0
140,Saint Martin,3,+1,,,,3,,78.0
141,Tanzania,3,+2,,,,3,,0.05
142,Sudan,2,+1,1.0,,,1,,0.05
143,Barbados,2,,,,,2,,7.0
144,Benin,2,+1,,,,2,,0.2
145,Liberia,2,,,,,2,,0.4
146,Mauritania,2,+1,,,,2,,0.4
147,Montenegro,2,,,,,2,,3.0
148,Namibia,2,,,,,2,,0.8
149,New Caledonia,2,+2,,,,2,,7.0
150,Saint Lucia,2,,,,,2,,11.0
151,U.S. Virgin Islands,2,,,,,2,,19.0
152,Zambia,2,+2,,,,2,,0.1
153,Cayman Islands,1,,1.0,,,0,,15.0
154,Nepal,1,,,,1.0,0,,0.03
155,Antigua and Barbuda,1,,,,,1,,10.0
156,Bahamas,1,,,,,1,,3.0
157,Bhutan,1,,,,,1,,1.0
158,CAR,1,,,,,1,,0.2
159,Congo,1,,,,,1,,0.2
160,Djibouti,1,+1,,,,1,,1.0
161,Gambia,1,,,,,1,,0.4
162,Greenland,1,,,,,1,,18.0
163,Guinea,1,,,,,1,,0.08
164,Vatican City,1,,,,,1,,1248.0
165,Montserrat,1,+1,,,,1,,200.0
166,St. Vincent Grenadines,1,,,,,1,,9.0
167,Somalia,1,,,,,1,,0.06
168,Suriname,1,,,,,1,,2.0
169,Eswatini,1,,,,,1,,0.9
170,Togo,1,,,,,1,,0.1
171,Total:,208185,9967,8272.0,305.0,82902.0,117011,6437.0,26.7
