,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","9,285,935","+28,605","321,400",+936,"6,068,360","+27,797","2,896,175","17,875",,,,,,North America,"
",,
1,,"
Asia
","11,402,300","+112,635","206,516","+1,670","9,692,268","+103,059","1,503,516","20,752",,,,,,Asia,"
",,
2,,"
South America
","8,405,556","+9,073","264,412",+235,"7,285,806","+2,170","855,338","17,974",,,,,,South America,"
",,
3,,"
Europe
","5,611,186","+87,823","227,623",+887,"2,944,841","+23,038","2,438,722","9,753",,,,,,Europe,"
",,
4,,"
Africa
","1,538,428","+3,934","36,944",+59,"1,275,971",+885,"225,513","1,616",,,,,,Africa,"
",,
5,,"
Oceania
","31,872",+11,940,+2,"29,087",+29,"1,845",15,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,651,,55,4,,,,,,,"
",,
7,,World,"36,275,998","+242,081","1,057,850","+3,789","27,296,984","+156,978","7,921,164","67,989","4,654",135.7,,,,All,"
",,
8,1,USA,"7,742,919","+19,767","216,218 ",+396,"4,956,624","+21,079","2,570,077","14,512","23,356",652,"113,701,661","342,970","331,521,024 ",North America,43,"1,533",3
9,2,India,"6,829,678","+75,499","105,519 ",+928,"5,818,100","+76,847","906,059","8,944","4,936",76,"82,271,654","59,462","1,383,604,455 ",Asia,203,"13,112",17
10,3,Brazil,"4,978,531","+7,578","147,759 ",+188,"4,352,871",,"477,901","8,318","23,378",694,"17,900,000","84,053","212,962,134 ",South America,43,"1,441",12
11,4,Russia,"1,248,619","+11,115","21,865 ",+202,"995,275","+6,699","231,479","2,300","8,555",150,"48,700,000","333,673","145,951,318 ",Europe,117,"6,675",3
12,5,Spain,"872,276","+6,645","32,562 ",+76,N/A,N/A,N/A,"1,568","18,654",696,"13,689,776","292,769","46,759,656 ",Europe,54,"1,436",3
13,6,Colombia,"869,808",,"27,017 ",,"770,812",,"71,979","2,220","17,046",529,"3,967,885","77,761","51,026,600 ",South America,59,"1,889",13
14,7,Peru,"832,929",,"32,914 ",,"718,065",,"81,950","1,268","25,169",995,"3,975,007","120,117","33,092,889 ",South America,40,"1,005",8
15,8,Argentina,"824,468",,"21,827 ",,"660,272",,"142,369","4,007","18,198",482,"2,110,994","46,594","45,305,938 ",South America,55,"2,076",21
16,9,Mexico,"794,608","+4,828","82,348 ",+471,"557,478","+3,541","154,782","2,417","6,146",637,"2,021,255","15,633","129,291,789 ",North America,163,"1,570",64
17,10,South Africa,"683,242",,"17,103 ",,"616,857",,"49,282",539,"11,482",287,"4,294,931","72,176","59,506,184 ",Africa,87,"3,479",14
18,11,France,"653,509","+18,746","32,445 ",+80,"99,295",,"521,769","1,426","10,006",497,"11,699,517","179,132","65,312,309 ",Europe,100,"2,013",6
19,12,UK,"544,275","+14,162","42,515 ",+70,N/A,N/A,N/A,410,"8,006",625,"26,417,989","388,606","67,981,342 ",Europe,125,"1,599",3
20,13,Iran,"483,844","+4,019","27,658 ",+239,"397,109","+2,309","59,077","4,274","5,741",328,"4,207,631","49,926","84,276,796 ",Asia,174,"3,047",20
21,14,Chile,"474,440","+1,134","13,090 ",+20,"447,053","+1,635","14,297",818,"24,762",683,"3,548,773","185,219","19,159,831 ",South America,40,"1,464",5
22,15,Iraq,"391,044","+3,923","9,604 ",+73,"319,784","+3,413","61,656",506,"9,666",237,"2,419,252","59,798","40,456,821 ",Asia,103,"4,212",17
23,16,Bangladesh,"373,151","+1,520","5,440 ",+35,"286,631","+1,798","81,080",,"2,260",33,"2,026,808","12,274","165,124,651 ",Asia,443,"30,354",81
24,17,Saudi Arabia,"337,711",+468,"4,947 ",+24,"323,208",+596,"9,556",913,"9,661",142,"6,828,117","195,333","34,956,342 ",Asia,104,"7,066",5
25,18,Italy,"333,940","+3,678","36,061 ",+31,"235,303","+1,204","62,576",337,"5,525",597,"12,069,402","199,700","60,437,808 ",Europe,181,"1,676",5
26,19,Philippines,"329,637","+2,825","5,925 ",+60,"273,723",+437,"49,989","1,758","2,998",54,"3,979,197","36,186","109,965,827 ",Asia,334,"18,560",28
27,20,Turkey,"329,138","+1,581","8,609 ",+56,"288,954","+1,355","31,575","1,411","3,891",102,"11,160,946","131,958","84,579,501 ",Asia,257,"9,825",8
28,21,Pakistan,"316,351",+624,"6,535 ",+12,"301,288",+672,"8,528",499,"1,425",29,"3,730,221","16,802","222,011,887 ",Asia,702,"33,973",60
29,22,Indonesia,"315,714","+4,538","11,472  ",+98,"240,291","+3,854","63,951",,"1,151",42,"3,595,719","13,109","274,290,128 ",Asia,869,"23,910",76
30,23,Germany,"309,744","+2,625","9,648 ",+13,"267,700","+2,100","32,396",447,"3,694",115,"16,999,253","202,720","83,855,794 ",Europe,271,"8,692",5
31,24,Israel,"280,744","+3,718","1,818 ",+21,"216,438","+5,041","62,488",867,"30,524",198,"3,832,435","416,678","9,197,590 ",Asia,33,"5,059",2
32,25,Ukraine,"239,337","+4,753","4,597 ",+77,"105,970","+2,569","128,770",177,"5,482",105,"2,423,031","55,495","43,662,298 ",Europe,182,"9,498",18
33,26,Canada,"172,806","+1,483","9,538 ",+8,"145,403","+1,409","17,865",148,"4,568",252,"7,759,301","205,109","37,830,114 ",North America,219,"3,966",5
34,27,Netherlands,"149,988","+4,989","6,518 ",+36,N/A,N/A,N/A,231,"8,748",380,"2,656,731","154,956","17,145,056 ",Europe,114,"2,630",6
35,28,Romania,"142,570","+2,958","5,203 ",+82,"111,564","+1,666","25,803",612,"7,424",271,"2,568,071","133,735","19,202,752 ",Europe,135,"3,691",7
36,29,Ecuador,"142,056",,"11,702 ",,"120,511",,"9,843",354,"8,020",661,"455,122","25,694","17,713,501 ",South America,125,"1,514",39
37,30,Bolivia,"137,468",+361,"8,156 ",+27,"98,542",+535,"30,770",71,"11,734",696,"309,523","26,421","11,715,002 ",South America,85,"1,436",38
38,31,Morocco,"137,248",,"2,410 ",,"115,354",,"19,484",434,"3,707",65,"2,753,882","74,376","37,026,255 ",Africa,270,"15,364",13
39,32,Belgium,"134,291","+2,088","10,092 ",+14,"19,812",+93,"104,387",189,"11,574",870,"3,448,895","297,238","11,603,126 ",Europe,86,"1,150",3
40,33,Qatar,"127,181",+238,218 ,+2,"124,108",+215,"2,855",55,"45,296",78,"810,027","288,491","2,807,805 ",Asia,22,"12,880",3
41,34,Panama,"116,602",,"2,440 ",,"92,950",,"21,212",116,"26,913",563,"514,367","118,720","4,332,610 ",North America,37,"1,776",8
42,35,Dominican Republic,"116,148",+777,"2,159 ",+10,"92,157",+588,"21,832",190,"10,679",198,"502,680","46,216","10,876,765 ",North America,94,"5,038",22
43,36,Kuwait,"108,743",+475,639 ,+7,"100,776",+597,"7,328",127,"25,365",149,"768,691","179,299","4,287,190 ",Asia,39,"6,709",6
44,37,Kazakhstan,"108,362",+66,"1,746 ",,"103,465",+98,"3,151",221,"5,753",93,"3,045,439","161,681","18,836,090 ",Asia,174,"10,788",6
45,38,Poland,"107,319","+3,003","2,792 ",+75,"75,346","+1,188","29,181",283,"2,836",74,"3,533,697","93,397","37,835,420 ",Europe,353,"13,551",11
46,39,Egypt,"103,902",,"6,001 ",,"97,449",,452,41,"1,010",58,"135,000","1,313","102,838,698 ",Africa,990,"17,137",762
47,40,Oman,"103,465",+817,"1,000 ",+10,"91,329",+54,"11,136",211,"20,129",195,"376,700","73,286","5,140,161 ",Asia,50,"5,140",14
48,41,UAE,"101,840","+1,046",436 ,+1,"91,710","+1,154","9,694",,"10,264",44,"10,434,795","1,051,684","9,921,991 ",Asia,97,"22,757",1
49,42,Sweden,"96,677",,"5,892 ",+5,N/A,N/A,N/A,23,"9,557",582,"1,661,484","164,242","10,116,073 ",Europe,105,"1,717",6
50,43,Guatemala,"95,704",+834,"3,335 ",+25,"84,036",+556,"8,333",5,"5,316",185,"347,374","19,296","18,002,212 ",North America,188,"5,398",52
51,44,Nepal,"94,253","+3,439",578 ,+15,"68,668","+1,126","25,007",,"3,220",20,"1,113,486","38,037","29,273,941 ",Asia,311,"50,647",26
52,45,Czechia,"92,643","+2,621",823 ,+29,"50,600","+1,812","41,220",326,"8,647",77,"1,494,776","139,512","10,714,321 ",Europe,116,"13,019",7
53,46,Japan,"86,543",+496,"1,605 ",+3,"79,676",+605,"5,262",141,685,13,"2,218,653","17,557","126,371,613 ",Asia,"1,460","78,736",57
54,47,Costa Rica,"82,142",,"1,004 ",,"50,020",,"31,118",214,"16,086",197,"245,115","48,001","5,106,475 ",North America,62,"5,086",21
55,48,Belarus,"81,505",+415,874 ,+6,"75,683",+307,"4,948",,"8,626",93,"1,976,828","209,222","9,448,485 ",Europe,116,"10,811",5
56,49,Portugal,"81,256",+944,"2,040 ",+8,"51,037",+325,"28,179",104,"7,975",200,"2,711,918","266,170","10,188,660 ",Europe,125,"4,994",4
57,50,Honduras,"80,662",+642,"2,447 ",+14,"30,131",+363,"48,084",26,"8,110",246,"189,176","19,020","9,945,978 ",North America,123,"4,065",53
58,51,Ethiopia,"80,003",,"1,238 ",,"34,960",,"43,805",282,691,11,"1,312,910","11,348","115,699,779 ",Africa,"1,446","93,457",88
59,52,Venezuela,"79,796",,665 ,,"70,719",,"8,412",198,"2,808",23,"1,969,847","69,326","28,414,129 ",South America,356,"42,728",14
60,53,Bahrain,"73,476",,262 ,,"68,606",,"4,608",71,"42,804",153,"1,498,843","873,155","1,716,583 ",Asia,23,"6,552",1
61,54,Nigeria,"59,583",,"1,113 ",,"51,308",,"7,162",7,287,5,"538,815","2,597","207,460,406 ",Africa,"3,482","186,397",385
62,55,Uzbekistan,"59,579",+236,491 ,+2,"56,165",+107,"2,923",252,"1,773",15,"1,377,915","41,013","33,596,903 ",Asia,564,"68,425",24
63,56,Moldova,"58,794","+1,062","1,406 ",+17,"42,480",+542,"14,908",755,"14,584",349,"302,666","75,077","4,031,427 ",Europe,69,"2,867",13
64,57,Singapore,"57,840",+10,27 ,,"57,624",+12,189,1,"9,866",5,"3,072,368","524,063","5,862,590 ",Asia,101,"217,133",2
65,58,Switzerland,"57,709","+1,077","2,082 ",+1,"47,300",,"8,327",42,"6,655",240,"1,439,599","166,015","8,671,486 ",Europe,150,"4,165",6
66,59,Armenia,"53,755",+672,995 ,+5,"45,110",+178,"7,650",,"18,131",336,"312,823","105,515","2,964,732 ",Asia,55,"2,980",9
67,60,Algeria,"52,520",+121,"1,771 ",+3,"36,857",+94,"13,892",25,"1,192",40,,,"44,058,224 ",Africa,839,"24,878",
68,61,Austria,"50,848","+1,029",830 ,+8,"40,499",+709,"9,519",100,"5,637",92,"1,735,094","192,358","9,020,126 ",Europe,177,"10,868",5
69,62,Lebanon,"48,377","+1,459",433 ,+9,"21,120",+630,"26,824",167,"7,096",64,"927,346","136,031","6,817,150 ",Asia,141,"15,744",7
70,63,Kyrgyzstan,"48,097",+298,"1,069 ",+3,"43,798",+154,"3,230",24,"7,340",163,"276,522","42,201","6,552,435 ",Asia,136,"6,129",24
71,64,Ghana,"46,829",,303 ,,"46,060",,466,4,"1,499",10,"488,427","15,634","31,241,804 ",Africa,667,"103,108",64
72,65,Paraguay,"45,647",,966 ,,"28,546",,"16,135",693,"6,379",135,"293,374","40,999","7,155,690 ",South America,157,"7,408",24
73,66,Palestine,"42,840",+408,355 ,+6,"35,953",+354,"6,532",,"8,347",69,"441,785","86,082","5,132,157 ",Asia,120,"14,457",12
74,67,Azerbaijan,"41,113",+182,602 ,+2,"38,858",+145,"1,653",,"4,045",59,"1,150,658","113,215","10,163,459 ",Asia,247,"16,883",9
75,68,Kenya,"39,586",,743 ,,"27,331",,"11,512",,732,14,"565,336","10,454","54,079,023 ",Africa,"1,366","72,785",96
76,69,Ireland,"39,584",+611,"1,816 ",+5,"23,364",,"14,404",25,"7,993",367,"1,271,317","256,708","4,952,389 ",Europe,125,"2,727",4
77,70,Afghanistan,"39,548",+62,"1,469 ",+2,"33,045",+68,"5,034",93,"1,010",38,"113,020","2,886","39,155,921 ",Asia,990,"26,655",346
78,71,Libya,"39,513","+1,045",608 ,+6,"22,831",+421,"16,074",,"5,730",88,"230,501","33,426","6,895,928 ",Africa,175,"11,342",30
79,72,Serbia,"34,193",+121,758 ,+1,"31,536",,"1,899",20,"3,918",87,"1,173,582","134,464","8,727,827 ",Europe,255,"11,514",7
80,73,Hungary,"33,114",+816,877 ,+24,"9,149",+426,"23,088",41,"3,430",91,"781,023","80,904","9,653,714 ",Europe,292,"11,008",12
81,74,Denmark,"30,710",+331,663 ,,"24,240",+585,"5,807",15,"5,297",114,"4,166,217","718,602","5,797,670 ",Europe,189,"8,745",1
82,75,El Salvador,"29,737",+103,873 ,+4,"24,643",+118,"4,221",32,"4,578",134,"413,036","63,593","6,494,957 ",North America,218,"7,440",16
83,76,Bosnia and Herzegovina,"29,075",+365,908 ,+5,"22,614",+340,"5,553",,"8,877",277,"253,264","77,326","3,275,267 ",Europe,113,"3,607",13
84,77,Australia,"27,182",+8,897 ,+2,"24,937",+20,"1,348",6,"1,063",35,"7,851,776","306,972","25,578,158 ",Australia/Oceania,941,"28,515",3
85,78,Tunisia,"24,542","+2,312",364 ,+43,"5,032",,"19,146",124,"2,071",31,"256,667","21,657","11,851,399 ",Africa,483,"32,559",46
86,79,S. Korea,"24,353",+114,425 ,+3,"22,334",+251,"1,594",102,475,8,"2,378,073","46,373","51,281,062 ",Asia,"2,106","120,661",22
87,80,Bulgaria,"22,306",,862 ,,"15,310",,"6,134",57,"3,217",124,"552,220","79,637","6,934,186 ",Europe,311,"8,044",13
88,81,Myanmar,"21,433","+1,400",510 ,+39,"6,084",+302,"14,839",,393,9,"355,271","6,518","54,507,082 ",Asia,"2,543","106,877",153
89,82,Greece,"20,947",+406,424 ,+4,"9,989",,"10,534",88,"2,012",41,"1,379,036","132,482","10,409,229 ",Europe,497,"24,550",8
90,83,Cameroon,"20,924",,420 ,,"19,764",,740,30,783,16,"149,000","5,577","26,716,655 ",Africa,"1,277","63,611",179
91,84,Jordan,"20,200","+1,199",131 ,+9,"5,575",+189,"14,494",48,"1,975",13,"1,351,112","132,073","10,230,006 ",Asia,506,"78,092",8
92,85,Ivory Coast,"19,903",,120  ,,"19,539",,244,,750,5,"167,083","6,294","26,547,145 ",Africa,"1,334","221,226",159
