,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,81054,+46,3261.0,6.0,72440.0,5353,1845.0,56.0
1,Italy,53578,,4825.0,,6072.0,42681,2857.0,886.0
2,Spain,28572,"+3,076",1725.0,344.0,2125.0,24722,1612.0,611.0
3,USA,26900,"+2,693",348.0,46.0,178.0,26374,708.0,81.0
4,Germany,23129,+765,93.0,9.0,209.0,22827,2.0,276.0
5,Iran,21638,"+1,028",1685.0,129.0,7635.0,12318,,258.0
6,France,14459,,562.0,,1587.0,12310,1525.0,222.0
7,S. Korea,8897,+98,104.0,2.0,2909.0,5884,59.0,174.0
8,Switzerland,7225,+362,80.0,,131.0,7014,141.0,835.0
9,UK,5018,,233.0,,93.0,4692,20.0,74.0
10,Netherlands,3631,,136.0,,2.0,3493,354.0,212.0
11,Belgium,3401,+586,75.0,8.0,263.0,3063,288.0,293.0
12,Austria,3024,+32,8.0,,9.0,3007,15.0,336.0
13,Norway,2234,+70,7.0,,6.0,2221,28.0,412.0
14,Sweden,1770,,20.0,,16.0,1734,71.0,175.0
15,Canada,1328,,19.0,,14.0,1295,1.0,35.0
16,Denmark,1326,,13.0,,1.0,1312,42.0,229.0
17,Australia,1286,+214,7.0,,46.0,1233,2.0,50.0
18,Portugal,1280,,12.0,,5.0,1263,26.0,126.0
19,Malaysia,1183,,9.0,1.0,114.0,1060,26.0,37.0
20,Brazil,1178,,18.0,,2.0,1158,18.0,6.0
21,Japan,1054,,36.0,,215.0,803,55.0,8.0
22,Czechia,1047,+52,,,6.0,1041,7.0,98.0
23,Turkey,947,,21.0,,,926,,11.0
24,Israel,945,+62,1.0,,37.0,907,20.0,109.0
25,Ireland,785,,3.0,,5.0,777,13.0,159.0
26,Diamond Princess,712,,8.0,,567.0,137,15.0,
27,Luxembourg,670,,8.0,,6.0,656,3.0,1070.0
28,Pakistan,645,,3.0,,13.0,629,,3.0
29,Thailand,599,+188,1.0,,44.0,554,7.0,9.0
30,Finland,594,+71,1.0,,10.0,583,2.0,107.0
31,Iceland,568,+95,1.0,,5.0,562,1.0,1665.0
32,Poland,563,+27,7.0,2.0,13.0,543,3.0,15.0
33,Chile,537,,1.0,,8.0,528,7.0,28.0
34,Ecuador,532,,7.0,,3.0,522,2.0,30.0
35,Greece,530,,13.0,,19.0,498,18.0,51.0
36,Indonesia,514,+64,48.0,10.0,29.0,437,,2.0
37,Qatar,481,,,,27.0,454,6.0,167.0
38,Romania,433,+66,2.0,2.0,64.0,367,14.0,23.0
39,Singapore,432,,2.0,,140.0,290,14.0,74.0
40,Saudi Arabia,392,,,,16.0,376,,11.0
41,Slovenia,383,,1.0,,,382,12.0,184.0
42,Philippines,380,+73,25.0,6.0,15.0,340,1.0,3.0
43,India,341,+9,5.0,,24.0,312,,0.2
44,Bahrain,332,+22,1.0,,149.0,182,4.0,195.0
45,Peru,318,,5.0,,1.0,312,5.0,10.0
46,Russia,306,,1.0,,16.0,289,,2.0
47,Estonia,306,,,,2.0,304,,231.0
48,Egypt,294,,10.0,,42.0,242,,3.0
49,Hong Kong,274,,4.0,,100.0,170,4.0,37.0
50,Mexico,251,+48,2.0,,4.0,245,1.0,2.0
51,Panama,245,,3.0,,1.0,241,7.0,57.0
52,South Africa,240,,,,2.0,238,,4.0
53,Croatia,235,+29,1.0,,5.0,229,5.0,57.0
54,Iraq,233,+19,20.0,3.0,57.0,156,,6.0
55,Lebanon,230,,4.0,,8.0,218,4.0,34.0
56,Argentina,225,+67,4.0,,27.0,194,,5.0
57,Colombia,210,+14,1.0,1.0,3.0,206,,4.0
58,Armenia,190,+30,,,2.0,188,2.0,64.0
59,Serbia,188,+17,1.0,,2.0,185,4.0,22.0
60,Kuwait,188,+12,,,27.0,161,5.0,44.0
61,Slovakia,178,,,,7.0,171,2.0,33.0
62,Bulgaria,171,+8,3.0,,3.0,165,3.0,25.0
63,Taiwan,169,+16,2.0,,28.0,139,,7.0
64,San Marino,160,,20.0,,4.0,136,12.0,4715.0
65,UAE,153,,2.0,,38.0,113,2.0,15.0
66,Algeria,139,,15.0,,65.0,59,,3.0
67,Latvia,139,+15,,,1.0,138,,74.0
68,Uruguay,135,+25,,,,135,2.0,39.0
69,Hungary,131,+28,6.0,2.0,16.0,109,6.0,14.0
70,Costa Rica,117,,2.0,,2.0,113,2.0,23.0
71,North Macedonia,114,+29,,,1.0,113,1.0,55.0
72,Dominican Republic,112,,3.0,,,109,,10.0
73,Lithuania,105,+6,1.0,,1.0,103,1.0,39.0
74,Morocco,104,+8,3.0,,3.0,98,1.0,3.0
75,Jordan,100,,,,1.0,99,,10.0
76,Vietnam,94,,,,17.0,77,2.0,1.0
77,Bosnia and Herzegovina,93,,1.0,,2.0,90,1.0,28.0
78,Faeroe Islands,92,,,,3.0,89,,1883.0
79,Andorra,88,,1.0,1.0,1.0,86,2.0,1139.0
80,Cyprus,84,,1.0,,3.0,80,3.0,70.0
81,Brunei,83,,,,1.0,82,2.0,190.0
82,Moldova,80,,1.0,,1.0,78,3.0,20.0
83,Sri Lanka,77,,,,3.0,74,2.0,4.0
84,Albania,76,,2.0,,2.0,72,2.0,26.0
85,Belarus,76,,,,15.0,61,,8.0
86,Tunisia,75,+15,3.0,2.0,1.0,71,7.0,6.0
87,Malta,73,,,,2.0,71,1.0,165.0
88,Venezuela,70,,,,15.0,55,2.0,2.0
89,New Zealand,66,+14,,,,66,,14.0
90,Burkina Faso,64,,3.0,,5.0,56,,3.0
91,Guadeloupe,56,,1.0,,,55,4.0,140.0
92,Senegal,56,,,,5.0,51,,3.0
93,Georgia,54,+5,,,1.0,53,1.0,14.0
94,Kazakhstan,54,,,,,54,,3.0
95,Azerbaijan,53,,1.0,,11.0,41,,5.0
96,Cambodia,53,,,,2.0,51,,3.0
97,Palestine,53,,,,17.0,36,,10.0
98,Oman,52,,,,13.0,39,,10.0
99,Trinidad and Tobago,49,,,,,49,,35.0
100,Ukraine,47,,3.0,,1.0,43,,1.0
101,Réunion,47,,,,,47,,52.0
102,Uzbekistan,42,+1,,,,42,,1.0
103,Cameroon,40,,,,2.0,38,,2.0
104,Martinique,37,,1.0,,,36,7.0,99.0
105,Liechtenstein,37,,,,,37,,970.0
106,Channel Islands,32,,,,,32,,184.0
107,Bangladesh,27,+3,2.0,,3.0,22,,0.2
108,Guam,27,+12,1.0,1.0,,26,,160.0
109,Honduras,26,+2,,,,26,,3.0
110,Afghanistan,24,,,,1.0,23,,0.6
111,DRC,23,,1.0,,,22,,0.3
112,Paraguay,22,,1.0,,,21,1.0,3.0
113,Nigeria,22,,,,1.0,21,,0.1
114,Cuba,21,,1.0,,,20,,2.0
115,Ghana,21,,1.0,,,20,,0.7
116,Puerto Rico,21,,1.0,,,20,,7.0
117,Jamaica,19,,1.0,,2.0,16,,6.0
118,Macao,19,,,,10.0,9,,29.0
119,Bolivia,19,,,,,19,,2.0
120,Guyana,18,,1.0,,,17,,23.0
121,Monaco,18,,,,1.0,17,,459.0
122,French Guiana,18,,,,,18,,60.0
123,Guatemala,17,,1.0,,,16,,0.9
124,Rwanda,17,,,,,17,,1.0
125,Montenegro,16,,,,,16,,25.0
126,Togo,16,,,,,16,,2.0
127,French Polynesia,15,,,,,15,,53.0
128,Mauritius,14,,1.0,,,13,,11.0
129,Barbados,14,,,,,14,,49.0
130,Ivory Coast,14,,,,1.0,13,,0.5
131,Kyrgyzstan,14,,,,,14,,2.0
132,Maldives,13,,,,3.0,10,,24.0
133,Mayotte,11,,,,,11,,40.0
134,Gibraltar,10,,,,2.0,8,,297.0
135,Mongolia,10,,,,,10,,3.0
136,Ethiopia,9,,,,,9,,0.08
137,Aruba,8,+3,,,1.0,7,,75.0
138,Kenya,7,,,,,7,,0.1
139,Seychelles,7,,,,,7,,71.0
140,Equatorial Guinea,6,,,,,6,,4.0
141,Tanzania,6,,,,,6,,0.1
142,U.S. Virgin Islands,6,,,,,6,,57.0
143,Gabon,5,,1.0,,,4,,2.0
144,Isle of Man,5,+3,,,,5,,59.0
145,Saint Martin,5,,,,,5,,129.0
146,Suriname,5,,,,,5,,9.0
147,Bahamas,4,,,,,4,,10.0
148,New Caledonia,4,,,,,4,,14.0
149,Eswatini,4,+3,,,,4,,3.0
150,Cayman Islands,3,,1.0,,,2,,46.0
151,Curaçao,3,,1.0,,,2,,18.0
152,Cabo Verde,3,,,,,3,,5.0
153,CAR,3,,,,,3,,0.6
154,Congo,3,,,,,3,,0.5
155,El Salvador,3,,,,,3,,0.5
156,Liberia,3,,,,,3,,0.6
157,Madagascar,3,,,,,3,,0.1
158,Namibia,3,,,,,3,,1.0
159,St. Barth,3,,,,,3,,304.0
160,Zimbabwe,3,,,,,3,,0.2
161,Sudan,2,,1.0,,,1,,0.05
162,Angola,2,,,,,2,,0.06
163,Benin,2,,,,,2,,0.2
164,Bermuda,2,,,,,2,,32.0
165,Bhutan,2,,,,,2,,3.0
166,Fiji,2,,,,,2,,2.0
167,Greenland,2,,,,,2,,35.0
168,Guinea,2,,,,,2,,0.2
169,Haiti,2,,,,,2,,0.2
170,Mauritania,2,,,,,2,,0.4
171,Nicaragua,2,,,,,2,,0.3
172,Saint Lucia,2,,,,,2,,11.0
173,Zambia,2,,,,,2,,0.1
174,Nepal,1,,,,1.0,0,,0.03
175,Antigua and Barbuda,1,,,,,1,,10.0
176,Chad,1,,,,,1,,0.06
177,Djibouti,1,,,,,1,,1.0
178,Eritrea,1,,,,,1,,0.3
179,Gambia,1,,,,,1,,0.4
180,Vatican City,1,,,,,1,,1248.0
181,Montserrat,1,,,,,1,,200.0
182,Niger,1,,,,,1,,0.04
183,Papua New Guinea,1,,,,,1,,0.1
184,St. Vincent Grenadines,1,,,,,1,,9.0
185,Sint Maarten,1,,,,,1,,23.0
186,Somalia,1,,,,,1,,0.06
187,Timor-Leste,1,,,,,1,,0.8
188,Uganda,1,,,,,1,,0.02
189,Total:,315121,10131,13582.0,575.0,95890.0,205649,9953.0,40.4
