,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,World,2749184,"+26,140",192157.0,"+1,238",757810.0,1799217,58712.0,353.0,24.7,,
1,USA,886709,+267,50243.0,+7,85922.0,750544,14997.0,2679.0,152.0,4775625.0,14428.0
2,Spain,219764,"+6,740",22524.0,+367,92355.0,104885,7705.0,4700.0,482.0,930230.0,19896.0
3,Italy,189973,,25549.0,,57576.0,106848,2267.0,3142.0,423.0,1579909.0,26131.0
4,France,158183,,21856.0,,42088.0,94239,5053.0,2423.0,335.0,463662.0,7103.0
5,Germany,153393,+264,5575.0,,106800.0,41018,2908.0,1831.0,67.0,2072669.0,24738.0
6,UK,138078,,18738.0,,,118996,1559.0,2034.0,276.0,583496.0,8595.0
7,Turkey,101790,,2491.0,,18491.0,80808,1816.0,1207.0,30.0,791906.0,9390.0
8,Iran,88194,"+1,168",5574.0,+93,66599.0,16021,3121.0,1050.0,66.0,399927.0,4761.0
9,Russia,68622,"+5,849",615.0,+60,5568.0,62439,2300.0,470.0,4.0,2550000.0,17474.0
10,Brazil,50230,+738,3343.0,+30,26573.0,20314,8318.0,236.0,16.0,291922.0,1373.0
11,Belgium,44293,"+1,496",6679.0,+189,10122.0,27492,970.0,3822.0,576.0,189067.0,16313.0
12,Canada,42110,,2147.0,,14761.0,25202,557.0,1116.0,57.0,634917.0,16822.0
13,Netherlands,36535,+806,4289.0,+112,,31996,1008.0,2132.0,250.0,187000.0,10913.0
14,Switzerland,28677,+181,1551.0,+2,20600.0,6526,386.0,3313.0,179.0,235252.0,27182.0
15,India,23502,+463,722.0,+1,5012.0,17768,,17.0,0.5,541789.0,393.0
16,Portugal,22353,,820.0,,1201.0,20332,204.0,2192.0,80.0,315758.0,30967.0
17,Peru,20914,,572.0,,7422.0,12920,396.0,634.0,17.0,185238.0,5618.0
18,Ireland,17607,,794.0,,9233.0,7580,147.0,3566.0,161.0,111584.0,22598.0
19,Sweden,17567,+812,2152.0,+131,550.0,14865,533.0,1739.0,213.0,94500.0,9357.0
20,Austria,15071,+69,522.0,,11872.0,2677,169.0,1673.0,58.0,205835.0,22854.0
21,Israel,14882,+79,193.0,+1,5685.0,9004,139.0,1719.0,22.0,240303.0,27763.0
22,Saudi Arabia,13930,,121.0,,1925.0,11884,93.0,400.0,3.0,200000.0,5745.0
23,Japan,12368,,328.0,,1494.0,10546,259.0,98.0,3.0,135983.0,1075.0
24,Singapore,12075,+897,12.0,,924.0,11139,26.0,2064.0,2.0,94796.0,16203.0
25,Chile,11812,,168.0,,5804.0,5840,411.0,618.0,9.0,135147.0,7070.0
26,Mexico,11633,"+1,089",1069.0,+99,2627.0,7937,378.0,90.0,8.0,51297.0,398.0
27,Ecuador,11183,,560.0,,1328.0,9295,141.0,634.0,32.0,34840.0,1975.0
28,Pakistan,11155,+98,237.0,+2,2527.0,8391,111.0,50.0,1.0,131365.0,595.0
