,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
185,Fiji,18,,,,14.0,4,,20.0,,1300.0,1450.0
186,New Caledonia,18,,,,18.0,0,,63.0,,5213.0,18259.0
187,Saint Lucia,18,,,,15.0,3,,98.0,,446.0,2429.0
188,Gambia,17,,1.0,,9.0,7,,7.0,0.4,562.0,233.0
189,St. Vincent Grenadines,17,,,,9.0,8,,153.0,,137.0,1235.0
190,Nicaragua,16,,5.0,,7.0,4,,2.0,0.8,,
191,Curaçao,16,,1.0,,13.0,2,,98.0,6.0,374.0,2279.0
192,Dominica,16,,,,14.0,2,,222.0,,416.0,5779.0
193,Namibia,16,,,,9.0,7,,6.0,,1283.0,505.0
194,Burundi,15,,1.0,,7.0,7,,1.0,0.08,284.0,24.0
195,Saint Kitts and Nevis,15,,,,12.0,3,,282.0,,318.0,5978.0
196,Falkland Islands,13,,,,13.0,0,,3736.0,,388.0,111494.0
197,Turks and Caicos,12,,1.0,,6.0,5,,310.0,26.0,107.0,2764.0
198,Vatican City,12,,,,2.0,10,,14981.0,,,
199,Montserrat,11,,1.0,,7.0,3,1.0,2204.0,200.0,36.0,7212.0
200,Greenland,11,,,,11.0,0,,194.0,,1394.0,24555.0
201,Seychelles,11,,,,8.0,3,,112.0,,,
202,Suriname,10,,1.0,,9.0,0,,17.0,2.0,404.0,689.0
203,MS Zaandam,9,,2.0,,,7,,,,,
204,Comoros,8,,1.0,,,7,,9.0,1.0,,
205,Mauritania,8,,1.0,,6.0,1,,2.0,0.2,1842.0,396.0
206,Papua New Guinea,8,,,,8.0,0,,0.9,,2402.0,268.0
207,British Virgin Islands,7,,1.0,,3.0,3,,232.0,33.0,132.0,4366.0
208,Bhutan,7,,,,5.0,2,,9.0,,11492.0,14894.0
209,Caribbean Netherlands,6,,,,,6,,229.0,,110.0,4195.0
210,St. Barth,6,,,,6.0,0,,607.0,,,
211,Western Sahara,6,,,,5.0,1,,10.0,,,
212,Anguilla,3,,,,3.0,0,,200.0,,,
213,Saint Pierre Miquelon,1,,,,,1,,173.0,,,
214,China,82885,+2,4633.0,,77957.0,295,23.0,58.0,3.0,,
215,Total:,3874410,"+57,028",267921.0,"+3,084",1327816.0,2278673,47972.0,497.1,34.4,,
