,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,World,1323481,"+50,619",73603.0,"+4,178",277272.0,972606,46486.0,170.0,9.4,,
1,USA,352160,"+15,487",10369.0,+753,19247.0,322544,8832.0,1064.0,31.0,1839819.0,5558.0
2,Spain,135032,"+3,386",13169.0,+528,40437.0,81426,6931.0,2888.0,282.0,355000.0,7593.0
3,Italy,132547,"+3,599",16523.0,+636,22837.0,93187,3898.0,2192.0,273.0,721732.0,11937.0
4,Germany,101178,"+1,055",1612.0,+28,28700.0,70866,3936.0,1208.0,19.0,918460.0,10962.0
5,France,98010,"+5,171",8911.0,+833,17250.0,71849,7072.0,1502.0,137.0,224254.0,3436.0
6,Iran,60500,"+2,274",3739.0,+136,24236.0,32525,4083.0,720.0,45.0,186000.0,2214.0
7,UK,51608,"+3,802",5373.0,+439,135.0,46100,1559.0,760.0,79.0,252958.0,3726.0
8,Turkey,30217,"+3,148",649.0,+75,1326.0,28242,1415.0,358.0,8.0,202845.0,2405.0
9,Switzerland,21652,+552,762.0,+47,8056.0,12834,391.0,2502.0,88.0,162500.0,18776.0
10,Belgium,20814,"+1,123",1632.0,+185,3986.0,15196,1257.0,1796.0,141.0,70000.0,6040.0
11,Netherlands,18803,+952,1867.0,+101,250.0,16686,1409.0,1097.0,109.0,75415.0,4401.0
12,Canada,15853,+341,293.0,+13,3128.0,12432,426.0,420.0,8.0,330901.0,8767.0
13,Austria,12280,+229,220.0,+16,3463.0,8597,250.0,1363.0,24.0,111296.0,12357.0
14,Portugal,11730,+452,311.0,+16,140.0,11279,270.0,1150.0,31.0,91794.0,9002.0
15,Brazil,11516,+262,506.0,+20,127.0,10883,296.0,54.0,2.0,54824.0,258.0
16,S. Korea,10284,+47,186.0,+3,6598.0,3500,55.0,201.0,4.0,461233.0,8996.0
17,Israel,8611,+181,56.0,+7,585.0,7970,141.0,995.0,6.0,109724.0,12677.0
18,Sweden,7206,+376,477.0,+76,205.0,6524,590.0,714.0,47.0,36900.0,3654.0
19,Russia,6343,+954,47.0,+2,406.0,5890,8.0,43.0,0.3,758000.0,5194.0
20,Australia,5795,+45,41.0,+4,2432.0,3322,96.0,227.0,2.0,303536.0,11903.0
21,Norway,5760,+73,74.0,+3,32.0,5654,83.0,1062.0,14.0,111299.0,20530.0
22,Ireland,5364,+370,174.0,+16,25.0,5165,165.0,1086.0,35.0,30213.0,6119.0
