,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,World,3744599,"+20,081",258882.0,855.0,1249195.0,2236522,49235.0,480.0,33.2,,
1,USA,1238040,+407,72284.0,13.0,200669.0,965087,16179.0,3740.0,218.0,7727938.0,23347.0
2,Spain,250561,,25613.0,,154718.0,70230,2254.0,5359.0,548.0,1932455.0,41332.0
3,Italy,213013,,29315.0,,85231.0,98467,1427.0,3523.0,485.0,2246666.0,37158.0
4,UK,194990,,29427.0,,,165219,1559.0,2872.0,433.0,1383842.0,20385.0
5,France,170551,,25531.0,,52736.0,92284,3430.0,2613.0,391.0,1100228.0,16856.0
6,Germany,167007,,6993.0,,137400.0,22614,1937.0,1993.0,83.0,2547052.0,30400.0
7,Russia,165929,"+10,559",1537.0,86.0,21327.0,143065,2300.0,1137.0,11.0,4633731.0,31752.0
8,Turkey,129491,,3520.0,,73285.0,52686,1338.0,1535.0,42.0,1204421.0,14281.0
9,Brazil,115953,"+1,238",7958.0,37.0,48221.0,59774,8318.0,546.0,37.0,339552.0,1597.0
10,Iran,99970,,6340.0,,80475.0,13155,2685.0,1190.0,75.0,519543.0,6186.0
11,Canada,62046,,4043.0,,26993.0,31010,502.0,1644.0,107.0,940567.0,24921.0
12,Peru,51189,,1444.0,,15413.0,34332,709.0,1553.0,44.0,406579.0,12331.0
13,Belgium,50781,+272,8339.0,323.0,12731.0,29711,646.0,4382.0,720.0,474176.0,40914.0
14,India,49436,+36,1695.0,2.0,14183.0,33558,,36.0,1.0,1276781.0,925.0
15,Netherlands,41087,,5168.0,,,35669,644.0,2398.0,302.0,235909.0,13768.0
16,Ecuador,31881,,1569.0,,3433.0,26879,159.0,1807.0,89.0,80171.0,4544.0
17,Saudi Arabia,30251,,200.0,,5431.0,24620,143.0,869.0,6.0,376607.0,10818.0
18,Switzerland,30009,,1795.0,,25400.0,2814,121.0,3467.0,207.0,286403.0,33092.0
19,Mexico,26025,"+1,120",2507.0,236.0,16810.0,6708,378.0,202.0,19.0,100041.0,776.0
20,Portugal,25702,,1074.0,,1743.0,22885,134.0,2521.0,105.0,469435.0,46038.0
21,Sweden,23216,,2854.0,,4074.0,16288,435.0,2299.0,283.0,148500.0,14704.0
22,Pakistan,22550,+501,526.0,12.0,6217.0,15807,111.0,102.0,2.0,232582.0,1053.0
23,Chile,22016,,275.0,,10710.0,11031,470.0,1152.0,14.0,222095.0,11618.0
24,Ireland,21983,,1339.0,,13386.0,7258,93.0,4452.0,271.0,214761.0,43493.0
25,Singapore,20198,+788,18.0,,1519.0,18661,24.0,3452.0,3.0,143919.0,24600.0
26,Belarus,19255,+905,112.0,5.0,4388.0,14755,92.0,2038.0,12.0,220045.0,23287.0
27,Qatar,17142,,12.0,,1924.0,15206,72.0,5950.0,4.0,109762.0,38098.0
28,Israel,16314,+25,238.0,,10527.0,5549,90.0,1885.0,27.0,417100.0,48189.0
29,Austria,15684,+34,608.0,2.0,13639.0,1437,97.0,1741.0,68.0,292254.0,32450.0
30,Japan,15253,,556.0,,4496.0,10201,308.0,121.0,4.0,186343.0,1473.0
31,UAE,15192,,146.0,,3153.0,11893,1.0,1536.0,15.0,1200000.0,121330.0
32,Poland,14647,+216,723.0,7.0,4655.0,9269,160.0,387.0,19.0,394270.0,10418.0
33,Romania,14107,+270,858.0,17.0,5788.0,7461,244.0,733.0,45.0,217139.0,11287.0
34,Ukraine,13184,+487,327.0,11.0,2097.0,10760,169.0,301.0,7.0,144283.0,3299.0
35,Indonesia,12438,+367,895.0,23.0,2317.0,9226,,45.0,3.0,121547.0,444.0
36,Bangladesh,11719,+790,186.0,3.0,1403.0,10130,1.0,71.0,1.0,99646.0,605.0
37,S. Korea,10806,+2,255.0,1.0,9333.0,1218,55.0,211.0,5.0,643095.0,12543.0
38,Philippines,10004,+320,658.0,21.0,1506.0,7840,31.0,91.0,6.0,140134.0,1279.0
39,Denmark,9938,+117,503.0,,7296.0,2139,49.0,1716.0,87.0,270680.0,46732.0
40,Serbia,9677,,200.0,,1723.0,7754,51.0,1108.0,23.0,111278.0,12736.0
41,Colombia,8613,,378.0,,2013.0,6222,128.0,169.0,7.0,127105.0,2498.0
42,Dominican Republic,8480,,354.0,,1905.0,6221,144.0,782.0,33.0,33377.0,3077.0
43,Norway,7955,,215.0,,32.0,7708,27.0,1467.0,40.0,189657.0,34984.0
44,Czechia,7899,+3,258.0,1.0,4017.0,3624,59.0,738.0,24.0,278519.0,26008.0
45,South Africa,7572,,148.0,,2746.0,4678,36.0,128.0,2.0,268064.0,4520.0
46,Panama,7523,+136,210.0,7.0,823.0,6490,88.0,1744.0,49.0,36483.0,8455.0
47,Egypt,7201,,452.0,,1730.0,5019,,70.0,4.0,90000.0,879.0
48,Australia,6875,+26,97.0,1.0,5975.0,803,27.0,270.0,4.0,684615.0,26848.0
49,Malaysia,6428,+45,107.0,1.0,4702.0,1619,22.0,199.0,3.0,213220.0,6588.0
50,Kuwait,5804,,40.0,,2032.0,3732,90.0,1359.0,9.0,196397.0,45988.0
51,Finland,5573,+161,246.0,,3500.0,1827,48.0,1006.0,44.0,108112.0,19512.0
52,Morocco,5219,,181.0,,1838.0,3200,1.0,141.0,5.0,49570.0,1343.0
53,Argentina,5020,,264.0,,1472.0,3284,148.0,111.0,6.0,69718.0,1543.0
54,Algeria,4838,,470.0,,2067.0,2301,22.0,110.0,11.0,6500.0,148.0
55,Moldova,4363,,136.0,,1544.0,2683,237.0,1082.0,34.0,20447.0,5069.0
56,Kazakhstan,4298,+93,29.0,,1299.0,2970,40.0,229.0,2.0,320411.0,17064.0
57,Luxembourg,3840,,96.0,,3412.0,332,22.0,6134.0,153.0,49299.0,78755.0
58,Bahrain,3720,,8.0,,1762.0,1950,1.0,2186.0,5.0,155501.0,91387.0
59,Afghanistan,3392,+168,104.0,9.0,458.0,2830,7.0,87.0,3.0,13777.0,354.0
60,Hungary,3111,+46,373.0,10.0,759.0,1979,50.0,322.0,39.0,86743.0,8979.0
61,Thailand,2989,+1,55.0,1.0,2761.0,173,61.0,43.0,0.8,227860.0,3264.0
62,Nigeria,2950,,98.0,,481.0,2371,4.0,14.0,0.5,19512.0,95.0
63,Oman,2903,+168,13.0,,888.0,2002,17.0,568.0,3.0,40459.0,7923.0
64,Armenia,2782,+163,40.0,,1135.0,1607,10.0,939.0,13.0,26929.0,9088.0
65,Ghana,2719,,18.0,,294.0,2407,4.0,88.0,0.6,129461.0,4166.0
66,Greece,2642,,146.0,,1374.0,1122,35.0,253.0,14.0,83750.0,8035.0
67,Iraq,2431,,102.0,,1571.0,758,,60.0,3.0,113484.0,2821.0
68,Uzbekistan,2217,+10,10.0,,1556.0,651,8.0,66.0,0.3,325000.0,9710.0
69,Croatia,2112,,83.0,,1560.0,469,14.0,514.0,20.0,39973.0,9737.0
70,Cameroon,2104,,64.0,,953.0,1087,12.0,79.0,2.0,,
71,Azerbaijan,2060,,26.0,,1508.0,526,18.0,203.0,3.0,164481.0,16222.0
72,Bosnia and Herzegovina,1946,,79.0,,911.0,956,4.0,593.0,24.0,35296.0,10758.0
73,Guinea,1811,,10.0,,498.0,1303,,138.0,0.8,,
74,Bolivia,1802,+121,86.0,4.0,187.0,1529,3.0,154.0,7.0,7651.0,655.0
