,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
0,USA,215071,68.0,5109.0,7.0,8878.0,201084,5005.0,650.0,15.0,Jan 20
1,Italy,110574,,13155.0,,16847.0,80572,4035.0,1829.0,218.0,Jan 29
2,Spain,104118,,9387.0,,22647.0,72084,5872.0,2227.0,201.0,Jan 30
3,Germany,77981,,931.0,,18700.0,58350,3408.0,931.0,11.0,Jan 26
4,France,56989,,4032.0,,10935.0,42022,6017.0,873.0,62.0,Jan 23
5,Iran,47593,,3036.0,,15473.0,29084,3871.0,567.0,36.0,Feb 18
6,UK,29474,,2352.0,,135.0,26987,163.0,434.0,35.0,Jan 30
7,Switzerland,17768,,488.0,,2967.0,14313,348.0,2053.0,56.0,Feb 24
8,Turkey,15679,,277.0,,333.0,15069,847.0,186.0,3.0,Mar 09
9,Belgium,13964,,828.0,,2132.0,11004,1088.0,1205.0,71.0,Feb 03
10,Netherlands,13614,,1173.0,,250.0,12191,1053.0,795.0,68.0,Feb 26
11,Austria,10711,,146.0,,1436.0,9129,215.0,1189.0,16.0,Feb 24
12,S. Korea,9976,89.0,169.0,4.0,5828.0,3979,55.0,195.0,3.0,Jan 19
13,Canada,9731,,114.0,,1736.0,7881,120.0,258.0,3.0,Jan 24
14,Portugal,8251,,187.0,,43.0,8021,230.0,809.0,18.0,Mar 01
15,Brazil,6931,51.0,244.0,2.0,127.0,6560,296.0,33.0,1.0,Feb 24
16,Israel,6092,,26.0,,241.0,5825,95.0,704.0,3.0,Feb 20
17,Australia,5105,57.0,23.0,,345.0,4737,50.0,200.0,0.9,Jan 24
18,Sweden,4947,,239.0,,103.0,4605,393.0,490.0,24.0,Jan 30
19,Norway,4877,,44.0,,13.0,4820,105.0,900.0,8.0,Feb 25
20,Czechia,3589,,39.0,,61.0,3489,70.0,335.0,4.0,Feb 29
21,Ireland,3447,,85.0,,5.0,3357,103.0,698.0,17.0,Feb 28
22,Denmark,3107,,104.0,,894.0,2109,145.0,536.0,18.0,Feb 26
23,Chile,3031,,16.0,,234.0,2781,31.0,159.0,0.8,Mar 02
