,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,USA,276965,"+32,088",7391.0,"+1,320",12283.0,257291,5787.0,837.0,22.0
1,Italy,119827,"+4,585",14681.0,+766,19758.0,85388,4068.0,1982.0,243.0
2,Spain,119199,"+7,134",11198.0,+850,30513.0,77488,6416.0,2549.0,240.0
3,Germany,91159,"+6,365",1275.0,+168,24575.0,65309,3936.0,1088.0,15.0
4,France,64338,"+5,233",6507.0,"+1,120",14008.0,43823,6662.0,986.0,100.0
5,Iran,53183,"+2,715",3294.0,+134,17935.0,31954,4035.0,633.0,39.0
6,UK,38168,"+4,450",3605.0,+684,135.0,34428,163.0,562.0,53.0
7,Turkey,20921,"+2,786",425.0,+69,484.0,20012,1251.0,248.0,5.0
8,Switzerland,19606,+779,591.0,+55,4846.0,14169,348.0,2265.0,68.0
9,Belgium,16770,"+1,422",1143.0,+132,2872.0,12755,1205.0,1447.0,99.0
10,Netherlands,15723,"+1,026",1487.0,+148,250.0,13986,1324.0,918.0,87.0
11,Canada,12375,"+1,092",208.0,+35,2186.0,9981,120.0,328.0,6.0
12,Austria,11524,+395,168.0,+10,2022.0,9334,245.0,1280.0,19.0
13,S. Korea,10062,+86,174.0,+5,6021.0,3867,55.0,196.0,3.0
14,Portugal,9886,+852,246.0,+37,68.0,9572,245.0,970.0,24.0
15,Brazil,9194,"+1,150",363.0,+39,127.0,8704,296.0,43.0,2.0
16,Israel,7428,+571,40.0,+4,403.0,6985,113.0,858.0,5.0
17,Sweden,6131,+563,358.0,+50,205.0,5568,469.0,607.0,35.0
18,Australia,5454,+140,28.0,+3,585.0,4841,85.0,214.0,1.0
19,Norway,5370,+223,59.0,+9,32.0,5279,96.0,991.0,11.0
20,Ireland,4273,+424,120.0,+22,25.0,4128,148.0,865.0,24.0
21,Czechia,4190,+332,53.0,+9,72.0,4065,77.0,391.0,5.0
22,Russia,4149,+601,34.0,+4,281.0,3834,8.0,28.0,0.2
23,Denmark,3757,+371,139.0,+16,1193.0,2425,153.0,649.0,24.0
24,Chile,3737,+333,22.0,+4,427.0,3288,31.0,195.0,1.0
25,Poland,3383,+437,71.0,+14,56.0,3256,50.0,89.0,2.0
26,Ecuador,3368,+205,145.0,+25,65.0,3158,100.0,191.0,8.0
27,Malaysia,3333,+217,53.0,+3,827.0,2453,108.0,103.0,2.0
28,Romania,3183,+445,133.0,+18,283.0,2767,83.0,165.0,7.0
29,Philippines,3018,+385,136.0,+29,52.0,2830,1.0,28.0,1.0
30,Pakistan,2686,+265,40.0,+6,126.0,2520,10.0,12.0,0.2
31,Japan,2617,,63.0,,514.0,2040,60.0,21.0,0.5
32,Luxembourg,2612,+125,31.0,+1,500.0,2081,33.0,4173.0,50.0
33,India,2567,+24,72.0,,192.0,2303,,2.0,0.05
34,Saudi Arabia,2039,+154,25.0,+4,351.0,1663,41.0,59.0,0.7
35,Indonesia,1986,+196,181.0,+11,134.0,1671,,7.0,0.7
36,Thailand,1978,+103,19.0,+4,612.0,1347,23.0,28.0,0.3
37,Panama,1673,+198,41.0,+4,10.0,1622,50.0,388.0,10.0
38,Finland,1615,+97,20.0,+1,300.0,1295,72.0,291.0,4.0
39,Greece,1613,+69,63.0,+10,78.0,1472,92.0,155.0,6.0
40,Peru,1595,+181,61.0,+6,537.0,997,51.0,48.0,2.0
41,Mexico,1510,+132,50.0,+13,633.0,827,1.0,12.0,0.4
42,South Africa,1505,+43,9.0,+4,95.0,1401,7.0,25.0,0.2
43,Dominican Republic,1488,+108,68.0,+8,16.0,1404,147.0,137.0,6.0
44,Serbia,1476,+305,39.0,+8,54.0,1383,81.0,169.0,4.0
45,Iceland,1364,+45,4.0,,309.0,1051,12.0,3997.0,12.0
46,Argentina,1353,+88,42.0,+6,266.0,1045,,30.0,0.9
47,Colombia,1267,+106,25.0,+6,55.0,1187,50.0,25.0,0.5
