,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,USA,277161,,7392.0,,12283.0,257486,5787.0,837.0,22.0
1,Italy,119827,,14681.0,,19758.0,85388,4068.0,1982.0,243.0
2,Spain,119199,,11198.0,,30513.0,77488,6416.0,2549.0,240.0
3,Germany,91159,,1275.0,,24575.0,65309,3936.0,1088.0,15.0
4,France,64338,,6507.0,,14008.0,43823,6662.0,986.0,100.0
5,Iran,53183,,3294.0,,17935.0,31954,4035.0,633.0,39.0
6,UK,38168,,3605.0,,135.0,34428,163.0,562.0,53.0
7,Turkey,20921,,425.0,,484.0,20012,1251.0,248.0,5.0
8,Switzerland,19606,,591.0,,4846.0,14169,348.0,2265.0,68.0
9,Belgium,16770,,1143.0,,2872.0,12755,1205.0,1447.0,99.0
10,Netherlands,15723,,1487.0,,250.0,13986,1324.0,918.0,87.0
11,Canada,12375,,208.0,,2186.0,9981,120.0,328.0,6.0
12,Austria,11524,,168.0,,2022.0,9334,245.0,1280.0,19.0
13,S. Korea,10156,94.0,177.0,3.0,6325.0,3654,55.0,198.0,3.0
14,Portugal,9886,,246.0,,68.0,9572,245.0,970.0,24.0
15,Brazil,9216,22.0,365.0,2.0,127.0,8724,296.0,43.0,2.0
16,Israel,7428,,40.0,,403.0,6985,113.0,858.0,5.0
17,Sweden,6131,,358.0,,205.0,5568,469.0,607.0,35.0
18,Australia,5454,,28.0,,585.0,4841,85.0,214.0,1.0
19,Norway,5370,,59.0,,32.0,5279,96.0,991.0,11.0
20,Ireland,4273,,120.0,,25.0,4128,148.0,865.0,24.0
21,Czechia,4190,,53.0,,72.0,4065,77.0,391.0,5.0
22,Russia,4149,,34.0,,281.0,3834,8.0,28.0,0.2
23,Denmark,3757,,139.0,,1193.0,2425,153.0,649.0,24.0
24,Chile,3737,,22.0,,427.0,3288,31.0,195.0,1.0
