,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
171,Fiji,1,,,,,1,,1.0
172,Gambia,1,,,,,1,,0.4
173,Guinea,1,,,,,1,,0.08
174,Vatican City,1,,,,,1,,1248.0
175,Isle of Man,1,,,,,1,,12.0
176,Montserrat,1,,,,,1,,200.0
177,Nicaragua,1,,,,,1,,0.2
178,Niger,1,,,,,1,,0.04
179,Papua New Guinea,1,+1,,,,1,,0.1
180,St. Vincent Grenadines,1,,,,,1,,9.0
181,Sint Maarten,1,,,,,1,,23.0
182,Somalia,1,,,,,1,,0.06
183,Eswatini,1,,,,,1,,0.9
184,Total:,254801,9907,10447.0,419.0,89908.0,154446,7467.0,32.7
