,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","8,959,502","+8,467","312,969",+493,"5,793,546","+4,978","2,852,987","17,533",,,,,,North America,"
",,
1,,"
Asia
","10,779,598","+27,838","197,010",+475,"9,053,284","+21,437","1,529,304","20,807",,,,,,Asia,"
",,
2,,"
South America
","8,144,605",+405,"257,848",+36,"7,014,049",+636,"872,708","17,343",,,,,,South America,"
",,
3,,"
Europe
","5,121,610","+26,811","223,621",+392,"2,574,325","+15,095","2,323,664","8,841",,,,,,Europe,"
",,
4,,"
Africa
","1,498,604","+1,627","36,157",+11,"1,239,701",+251,"222,746","1,551",,,,,,Africa,"
",,
5,,"
Oceania
","31,407",+13,931,+2,"28,646",+14,"1,830",18,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,651,,55,4,,,,,,,"
",,
7,,World,"34,536,047","+65,161","1,028,551","+1,409","25,704,202","+42,411","7,803,294","66,097","4,431",132.0,,,,All,"
",,
8,1,USA,"7,497,300","+2,629","212,694 ",+34,"4,737,374",+753,"2,547,232","14,190","22,617",642,"108,435,362","327,111","331,494,557 ",North America,44,"1,559",3
9,2,India,"6,397,896","+5,936","99,833 ",+29,"5,352,078","+3,425","945,985","8,944","4,625",72,"76,717,728","55,455","1,383,419,254 ",Asia,216,"13,857",18
10,3,Brazil,"4,849,229",,"144,767 ",,"4,212,772",,"491,690","8,318","22,773",680,"17,900,000","84,061","212,941,524 ",South America,44,"1,471",12
11,4,Russia,"1,194,643","+9,412","21,077 ",+186,"970,296","+6,054","203,270","2,300","8,185",144,"46,823,879","320,820","145,950,466 ",Europe,122,"6,925",3
12,5,Colombia,"835,339",,"26,196 ",,"751,691",,"57,452","2,220","16,373",513,"3,776,280","74,017","51,019,195 ",South America,61,"1,948",14
13,6,Peru,"818,297",,"32,535 ",,"690,528",,"95,234","1,353","24,732",983,"3,908,125","118,118","33,086,613 ",South America,40,"1,017",8
14,7,Spain,"778,607",,"31,973 ",,N/A,N/A,N/A,"1,561","16,651",684,"12,723,989","272,116","46,759,410 ",Europe,60,"1,462",4
15,8,Argentina,"765,002",,"20,288 ",,"603,140",,"141,574","3,799","16,887",448,"2,002,975","44,216","45,300,278 ",South America,59,"2,233",23
16,9,Mexico,"748,315","+5,099","78,078 ",+432,"537,475","+3,589","132,762","2,466","5,789",604,"1,968,556","15,228","129,273,294 ",North America,173,"1,656",66
17,10,South Africa,"676,084",,"16,866 ",,"609,584",,"49,634",539,"11,364",283,"4,209,049","70,745","59,495,970 ",Africa,88,"3,528",14
18,11,France,"577,505",,"32,019 ",,"96,797",,"448,689","1,238","8,842",490,"11,020,523","168,741","65,310,341 ",Europe,113,"2,040",6
