,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
0,China,79252,428.0,2835.0,47.0,37397,39020.0,7664.0
1,S. Korea,2337,571.0,16.0,3.0,2297,24.0,7.0
2,Italy,889,234.0,21.0,4.0,822,46.0,64.0
3,Diamond Princess,705,,6.0,2.0,689,10.0,36.0
4,Iran,388,143.0,34.0,8.0,281,73.0,
5,Japan,234,20.0,5.0,1.0,197,32.0,20.0
6,Singapore,98,2.0,,,29,69.0,8.0
7,Hong Kong,93,1.0,2.0,,73,18.0,6.0
8,USA,63,3.0,,,57,6.0,1.0
9,Germany,60,11.0,,,44,16.0,2.0
10,France,57,19.0,2.0,,44,11.0,1.0
11,Kuwait,45,2.0,,,45,,
12,Thailand,41,1.0,,,13,28.0,2.0
13,Bahrain,38,5.0,,,38,,
14,Taiwan,34,2.0,1.0,,28,5.0,1.0
15,Spain,33,8.0,,,31,2.0,2.0
16,Australia,25,2.0,,,10,15.0,
17,Malaysia,25,3.0,,,5,20.0,
18,U.K.,20,4.0,,,12,8.0,
19,U.A.E.,19,,,,14,5.0,2.0
20,Vietnam,16,,,,0,16.0,
21,Canada,15,1.0,,,12,3.0,
22,Switzerland,15,7.0,,,15,,
23,Sweden,11,4.0,,,11,,
24,Macao,10,,,,4,6.0,
25,Iraq,8,1.0,,,8,,
26,Israel,7,4.0,,,6,1.0,
27,Austria,6,1.0,,,6,,
28,Norway,6,2.0,,,6,,
29,Oman,6,,,,6,,
30,Croatia,5,2.0,,,5,,
31,Greece,4,1.0,,,4,,
32,Lebanon,4,1.0,,,4,,
33,Philippines,3,,1.0,,0,2.0,
34,Finland,3,1.0,,,2,1.0,
35,India,3,,,,0,3.0,
36,Romania,3,2.0,,,2,1.0,
37,Denmark,2,1.0,,,2,,
38,Georgia,2,1.0,,,2,,
39,Mexico,2,2.0,,,2,,
40,Netherlands,2,1.0,,,2,,
41,Pakistan,2,,,,2,,
42,Russia,2,,,,0,2.0,
43,Afghanistan,1,,,,1,,
44,Algeria,1,,,,1,,
45,Azerbaijan,1,1.0,,,1,,
46,Belarus,1,1.0,,,1,,
47,Belgium,1,,,,0,1.0,
48,Brazil,1,,,,1,,
49,Cambodia,1,,,,0,1.0,
50,Egypt,1,,,,0,1.0,
51,Estonia,1,,,,1,,
52,Iceland,1,1.0,,,1,,
53,Lithuania,1,1.0,,,1,,
54,North Macedonia,1,,,,1,,
55,Monaco,1,1.0,,,1,,
56,Nepal,1,,,,0,1.0,
57,New Zealand,1,1.0,,,1,,
58,Nigeria,1,1.0,,,1,,
59,San Marino,1,,,,1,,
60,Sri Lanka,1,,,,0,1.0,
61,Total:,84611,1498.0,2923.0,65.0,42240,39448.0,7816.0
