,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
0,China,79828,4.0,2870.0,,34832,42126.0,7365.0
1,S. Korea,3736,586.0,21.0,4.0,3685,30.0,10.0
2,Italy,1694,566.0,41.0,12.0,1570,83.0,140.0
3,Iran,978,385.0,54.0,11.0,749,175.0,
4,Diamond Princess,705,,7.0,1.0,688,10.0,36.0
5,Japan,256,15.0,6.0,1.0,208,42.0,19.0
6,France,130,30.0,2.0,,116,12.0,9.0
7,Germany,130,51.0,,,114,16.0,2.0
8,Singapore,106,4.0,,,32,74.0,7.0
9,Hong Kong,100,5.0,2.0,,62,36.0,6.0
10,Spain,84,26.0,,,82,2.0,3.0
11,USA,75,7.0,1.0,,65,9.0,4.0
12,Bahrain,47,6.0,,,47,,
13,Kuwait,46,1.0,,,46,,
14,Thailand,42,,1.0,1.0,11,30.0,1.0
15,Taiwan,40,1.0,1.0,,27,12.0,1.0
16,U.K.,36,13.0,,,28,8.0,
17,Australia,29,4.0,1.0,1.0,13,15.0,
18,Malaysia,29,4.0,,,7,22.0,
19,Canada,24,4.0,,,20,4.0,
20,Switzerland,24,5.0,,,23,1.0,
21,U.A.E.,21,,,,16,5.0,2.0
22,Iraq,19,6.0,,,19,,
23,Norway,19,4.0,,,19,,
24,Vietnam,16,,,,0,16.0,
25,Austria,14,4.0,,,14,,
26,Sweden,14,1.0,,,14,,
27,Macao,10,,,,4,6.0,
28,Israel,10,3.0,,,9,1.0,
29,Lebanon,10,3.0,,,10,,
30,Netherlands,10,3.0,,,10,,1.0
31,Croatia,7,1.0,,,7,,
32,Greece,7,,,,7,,
33,Ecuador,6,5.0,,,6,,1.0
34,Finland,6,3.0,,,5,1.0,
35,Oman,6,,,,5,1.0,
36,Mexico,5,1.0,,,5,,
37,Denmark,4,1.0,,,4,,
38,Pakistan,4,,,,4,,
39,Philippines,3,,1.0,,0,2.0,
40,Azerbaijan,3,,,,3,,
41,Czechia,3,3.0,,,3,,
42,Georgia,3,,,,3,,
43,Iceland,3,2.0,,,3,,
44,India,3,,,,0,3.0,
45,Qatar,3,2.0,,,3,,
46,Romania,3,,,,2,1.0,
47,Algeria,2,1.0,,,2,,
48,Belgium,2,1.0,,,1,1.0,
49,Brazil,2,,,,2,,
50,Egypt,2,1.0,,,1,1.0,
51,Russia,2,,,,0,2.0,
52,Afghanistan,1,,,,1,,
53,Armenia,1,1.0,,,1,,
54,Belarus,1,,,,1,,
55,Cambodia,1,,,,0,1.0,
56,Dominican Republic,1,1.0,,,1,,
57,Estonia,1,,,,1,,
58,Ireland,1,,,,1,,
59,Lithuania,1,,,,1,,
60,Luxembourg,1,,,,1,,
61,North Macedonia,1,,,,1,,
62,Monaco,1,,,,1,,
63,Nepal,1,,,,0,1.0,
64,New Zealand,1,,,,1,,
65,Nigeria,1,,,,1,,
66,San Marino,1,,,,1,,1.0
67,Sri Lanka,1,,,,0,1.0,
68,Total:,88377,1764.0,3008.0,31.0,42619,42750.0,7608.0
