,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","2,136,094","+15,308","128,286","+1,132","797,792","+6,658","1,210,016","19,285",,,,,,North America,"
",,
1,,"
South America
","955,274","+9,544","42,918",+260,"449,237","+54,578","463,119","11,404",,,,,,South America,"
",,
2,,"
Europe
","2,027,607","+16,458","176,426",+869,"1,027,853","+14,799","823,328","8,595",,,,,,Europe,"
",,
3,,"
Asia
","1,226,205","+31,978","32,450",+619,"748,357","+17,467","445,398","14,514",,,,,,Asia,"
",,
4,,"
Africa
","161,298","+1,460","4,540",+20,"70,215","+1,230","86,543",435,,,,,,Africa,"
",,
5,,"
Oceania
","8,839",+8,124,,"8,222",+14,493,5,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,651,,55,4,,,,,,,"
",,
7,,World,"6,516,038","+74,756","384,759","+2,900","3,102,327","+94,746","3,028,952","54,242",836,49.4,,,,All,"
",,
8,1,USA,"1,890,939","+9,734","108,599 ",+540,"649,189","+3,215","1,133,151","16,920","5,715",328,"18,874,077","57,047","330,854,064 ",North America,175,"3,047",18
9,2,Brazil,"560,737","+4,069","31,417 ",+139,"253,570","+12,943","275,750","8,318","2,639",148,"930,013","4,378","212,442,762 ",South America,379,"6,762",228
10,3,Russia,"432,277","+8,536","5,215 ",+178,"195,957","+8,972","231,105","2,300","2,962",36,"11,426,045","78,298","145,929,848 ",Europe,338,"27,983",13
11,4,Spain,"287,012",,"27,127 ",,N/A,N/A,N/A,617,"6,139",580,"4,063,843","86,921","46,753,443 ",Europe,163,"1,724",12
12,5,UK,"279,856","+1,871","39,728 ",+359,N/A,N/A,N/A,"1,559","4,124",585,"4,786,219","70,532","67,858,826 ",Europe,242,"1,708",14
13,6,Italy,"233,836",+321,"33,601 ",+71,"160,938",+846,"39,297",353,"3,867",556,"3,999,591","66,144","60,468,295 ",Europe,259,"1,800",15
14,7,India,"216,752","+9,561","6,088 ",+259,"104,071","+3,786","106,593","8,944",157,4,"4,103,233","2,976","1,378,937,377 ",Asia,"6,362","226,501",336
15,8,Germany,"184,220",+129,"8,680 ",+6,"167,300",+900,"8,240",689,"2,199",104,"4,348,880","51,918","83,763,806 ",Europe,455,"9,650",19
16,9,Peru,"174,884",,"4,767 ",,"69,257",,"100,860",964,"5,310",145,"1,092,646","33,176","32,934,728 ",South America,188,"6,909",30
17,10,Turkey,"166,422",+867,"4,609 ",+24,"130,852",+931,"30,961",612,"1,975",55,"2,155,349","25,578","84,267,248 ",Asia,506,"18,283",39
18,11,Iran,"160,696","+3,134","8,012 ",+70,"125,206","+2,129","27,478","2,557","1,915",95,"997,009","11,882","83,906,701 ",Asia,522,"10,473",84
19,12,France,"151,677",+352,"29,021 ",+81,"69,455",+643,"53,201","1,210","2,324",445,"1,384,633","21,216","65,262,729 ",Europe,430,"2,249",47
20,13,Chile,"113,628","+4,942","1,275 ",+87,"86,173","+41,227","26,180","1,446","5,948",67,"628,318","32,890","19,103,405 ",South America,168,"14,983",30
21,14,Mexico,"97,326","+3,891","10,637 ",+470,"70,308","+2,817","16,381",378,755,83,"293,078","2,275","128,825,735 ",North America,"1,324","12,111",440
22,15,Canada,"93,040",+630,"7,495 ",+100,"50,685",+328,"34,860","1,709","2,467",199,"1,724,250","45,716","37,716,316 ",North America,405,"5,032",22
23,16,Saudi Arabia,"91,182","+2,171",579 ,+30,"68,159","+2,369","22,444","1,321","2,622",17,"870,963","25,050","34,769,565 ",Asia,381,"60,051",40
24,17,Pakistan,"80,463","+4,065","1,688 ",+67,"28,923","+1,813","49,852",111,365,8,"595,344","2,700","220,532,862 ",Asia,"2,741","130,647",370
25,18,Qatar,"62,160","+1,901",45 ,+2,"37,542","+1,506","24,573",237,"22,138",16,"236,437","84,207","2,807,805 ",Asia,45,"62,396",12
26,19,Belgium,"58,685",+70,"9,522 ",+17,"15,959",+25,"33,204",172,"5,065",822,"884,386","76,334","11,585,802 ",Europe,197,"1,217",13
27,20,Bangladesh,"55,140","+2,695",746 ,+37,"11,590",+470,"42,804",1,335,5,"345,583","2,100","164,560,234 ",Asia,"2,984","220,590",476
28,21,Netherlands,"46,733",+86,"5,977 ",+10,N/A,N/A,N/A,116,"2,728",349,"368,529","21,511","17,132,042 ",Europe,367,"2,866",46
29,22,Belarus,"45,116",+861,248 ,+5,"20,171",+976,"24,697",92,"4,774",26,"573,699","60,712","9,449,551 ",Europe,209,"38,103",16
30,23,Sweden,"40,803","+2,214","4,542 ",+74,N/A,N/A,N/A,308,"4,042",450,"275,500","27,292","10,094,432 ",Europe,247,"2,222",37
31,24,Ecuador,"40,414",,"3,438 ",,"20,019",,"16,957",252,"2,293",195,"118,754","6,739","17,621,217 ",South America,436,"5,125",148
32,25,Singapore,"36,405",+569,24 ,,"23,582",+407,"12,799",5,"6,227",4,"408,495","69,867","5,846,771 ",Asia,161,"243,615",14
33,26,UAE,"36,359",+571,270 ,+1,"19,153",+427,"16,936",1,"3,680",27,"2,145,493","217,136","9,880,861 ",Asia,272,"36,596",5
34,27,South Africa,"35,812",,755 ,,"18,313",,"16,744",208,604,13,"761,534","12,853","59,248,777 ",Africa,"1,654","78,475",78
35,28,Portugal,"33,261",+366,"1,447 ",+11,"20,079",+210,"11,735",56,"3,261",142,"847,181","83,066","10,198,850 ",Europe,307,"7,048",12
