,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","7,700,604","+33,058","281,049",+608,"4,594,694","+39,610","2,824,861","18,564",,,,,,North America,"
",,
1,,"
Asia
","7,857,641","+100,335","153,760","+1,641","6,349,183","+96,829","1,354,698","19,177",,,,,,Asia,"
",,
2,,"
South America
","6,747,445","+29,411","218,949",+969,"5,385,882","+63,119","1,142,614","15,050",,,,,,South America,"
",,
3,,"
Europe
","3,831,179","+26,207","210,280",+263,"2,168,113","+8,051","1,452,786","6,072",,,,,,Europe,"
",,
4,,"
Africa
","1,312,179","+6,927","31,575",+218,"1,049,512","+9,058","231,092","1,434",,,,,,Africa,"
",,
5,,"
Oceania
","29,346",+56,793,+9,"24,876",+138,"3,677",41,,,,,,Australia/Oceania,"
39,32,Dominican Republic,"99,898",+565,"1,864 ",+19,"73,228",+661,"24,806",210,"9,192",172,"394,791","36,325","10,868,152 ",North America,109,"5,831",28
40,33,Panama,"97,578",+535,"2,099 ",+13,"70,247",+586,"25,232",149,"22,550",485,"369,420","85,371","4,327,225 ",North America,44,"2,062",12
41,34,Romania,"95,897",+883,"3,926 ",+33,"40,454",+147,"51,517",465,"4,991",204,"1,945,738","101,273","19,212,864 ",Europe,200,"4,894",10
42,35,Kuwait,"90,387",+805,546 ,+2,"81,037",+516,"8,804",90,"21,108",128,"648,051","151,337","4,282,183 ",Asia,47,"7,843",7
43,36,Belgium,"88,367",+542,"9,907 ",+1,"18,567",+12,"59,893",53,"7,618",854,"2,419,095","208,558","11,599,139 ",Europe,131,"1,171",5
44,37,Oman,"87,328",+256,734 ,+6,"82,805",+399,"3,789",160,"17,024",143,"309,212","60,277","5,129,838 ",Asia,59,"6,989",17
45,38,Sweden,"85,558",,"5,837 ",+5,N/A,N/A,N/A,13,"8,462",577,"1,124,269","111,192","10,111,092 ",Europe,118,"1,732",9
46,39,Guatemala,"77,828",+145,"2,862 ",+10,"66,584",+453,"8,382",5,"4,330",159,"259,883","14,457","17,975,915 ",North America,231,"6,281",69
47,40,Netherlands,"75,584",+797,"6,243 ",,N/A,N/A,N/A,42,"4,409",364,"1,648,103","96,144","17,142,061 ",Europe,227,"2,746",10
48,41,UAE,"74,454",+470,390 ,+2,"66,533",+438,"7,531",,"7,511",39,"7,632,984","770,034","9,912,524 ",Asia,133,"25,417",1
49,42,Morocco,"73,780","+1,386","1,394 ",+33,"56,096",+822,"16,290",201,"1,995",38,"2,070,053","55,960","36,991,599 ",Africa,501,"26,536",18
50,43,Belarus,"73,031",+172,716 ,+5,"71,883",+19,432,,"7,729",76,"1,591,247","168,409","9,448,730 ",Europe,129,"13,197",6
51,44,Japan,"71,856",+437,"1,363 ",+6,"62,536",+460,"7,957",209,568,11,"1,596,561","12,631","126,402,156 ",Asia,"1,759","92,738",79
52,45,Poland,"71,126",+302,"2,124 ",+4,"55,113",+857,"13,889",81,"1,880",56,"2,841,344","75,091","37,838,691 ",Europe,532,"17,815",13
53,46,Honduras,"64,764",+412,"2,007 ",+1,"13,418",+303,"49,339",32,"6,520",202,"153,065","15,409","9,933,487 ",North America,153,"4,949",65
54,47,Portugal,"60,507",+249,"1,843 ",+3,"43,016",+63,"15,648",49,"5,937",181,"2,153,615","211,325","10,191,005 ",Europe,168,"5,530",5
55,48,Ethiopia,"59,648",+976,933  ,+15,"21,789",+482,"36,926",309,517,8,"1,063,454","9,210","115,473,464 ",Africa,"1,936","123,766",109
56,49,Singapore,"57,044",+22,27 ,,"56,408",+75,609,,"9,736",5,"2,068,284","353,013","5,858,949 ",Asia,103,"216,998",3
57,50,Bahrain,"56,076",+661,200 ,+1,"51,240",+294,"4,636",31,"32,757",117,"1,183,388","691,284","1,711,870 ",Asia,31,"8,559",1
58,51,Nigeria,"55,160",+155,"1,061 ",+4,"43,231",+218,"10,868",7,266,5,"424,186","2,049","207,054,356 ",Africa,"3,754","195,150",488
59,52,Venezuela,"54,350","+1,061",436 ,+8,"43,753","+1,747","10,161",111,"1,912",15,"1,805,766","63,537","28,420,486 ",South America,523,"65,185",16
60,53,Costa Rica,"48,780",+833,510 ,+32,"19,083",+872,"29,187",213,"9,559",100,"166,786","32,685","5,102,793 ",North America,105,"10,005",31
61,54,Nepal,"47,236",+979,300 ,+11,"30,677","+1,736","16,259",,"1,616",10,"777,563","26,599","29,232,364 ",Asia,619,"97,441",38
62,55,Algeria,"46,653",+289,"1,562 ",+6,"32,985",+240,"12,106",44,"1,060",36,,,"43,995,401 ",Africa,943,"28,166",
63,56,Ghana,"44,869",+92,283 ,,"43,801",+108,785,5,"1,439",9,"446,867","14,327","31,190,307 ",Africa,695,"110,213",70
64,57,Armenia,"44,845",+62,900 ,+3,"40,121",+32,"3,824",,"15,128",304,"219,177","73,939","2,964,294 ",Asia,66,"3,294",14
65,58,Switzerland,"44,592",+191,"2,014 ",+1,"37,700",+600,"4,878",25,"5,145",232,"1,103,149","127,289","8,666,478 ",Europe,194,"4,303",8
66,59,Kyrgyzstan,"44,458",+55,"1,060 ",,"39,960",+134,"3,438",24,"6,794",162,"267,718","40,911","6,543,898 ",Asia,147,"6,173",24
67,60,Uzbekistan,"43,893",+306,352 ,+5,"41,531",+306,"2,010",219,"1,308",10,"1,377,915","41,060","33,558,454 ",Asia,765,"95,337",24
68,61,Moldova,"40,055",+258,"1,074 ",+11,"27,799",,"11,182",549,"9,934",266,"210,553","52,218","4,032,167 ",Europe,101,"3,754",19
69,62,Afghanistan,"38,494",+96,"1,415 ",+3,"30,557",+20,"6,522",93,985,36,"105,053","2,688","39,086,286 ",Asia,"1,015","27,623",372
70,63,Azerbaijan,"37,418",+89,551 ,+3,"34,837",+132,"2,030",,"3,684",54,"967,040","95,216","10,156,225 ",Asia,271,"18,432",11
71,64,Kenya,"35,205",+102,599 ,+2,"21,310",+80,"13,296",44,652,11,"474,477","8,789","53,984,957 ",Africa,"1,533","90,125",114
72,65,Serbia,"31,941",+36,725 ,+1,"30,637",,579,33,"3,659",83,"984,798","112,798","8,730,602 ",Europe,273,"12,042",9
73,66,Ireland,"29,774",+102,"1,777 ",,"23,364",,"4,633",7,"6,017",359,"906,432","183,191","4,948,020 ",Europe,166,"2,784",5
74,67,Austria,"29,561",+290,746 ,+10,"25,300",+257,"3,515",29,"3,279",83,"1,266,223","140,441","9,016,062 ",Europe,305,"12,086",7
75,68,Czechia,"28,716",+560,437 ,+1,"19,855",+802,"8,424",54,"2,681",41,"971,264","90,664","10,712,751 ",Europe,373,"24,514",11
76,69,Palestine,"26,779",+652,184 ,+3,"17,270",+427,"9,325",,"5,227",36,"306,621","59,855","5,122,736 ",Asia,191,"27,841",17
77,70,El Salvador,"26,413",+105,764 ,+5,"16,137",+322,"9,512",237,"4,068",118,"332,664","51,239","6,492,369 ",North America,246,"8,498",20
78,71,Australia,"26,322",+43,762 ,+9,"22,603",+136,"2,957",32,"1,030",30,"6,691,350","261,844","25,554,723 ",Australia/Oceania,971,"33,536",4
79,72,Paraguay,"23,353",+867,449 ,+14,"11,524",+391,"11,380",101,"3,267",63,"211,956","29,649","7,148,749 ",South America,306,"15,921",34
80,73,Bosnia and Herzegovina,"21,660",+100,664 ,+9,"14,830",+121,"6,166",,"6,610",203,"198,511","60,579","3,276,875 ",Europe,151,"4,935",17
81,74,S. Korea,"21,296",+119,336 ,+2,"16,297",+151,"4,663",162,415,7,"2,051,297","40,004","51,277,577 ",Asia,"2,408","152,612",25
