,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","9,123,590","+42,225","316,028",+783,"5,926,215","+33,932","2,881,347","17,391",,,,,,North America,"
",,
1,,"
Asia
","11,085,955","+108,480","201,504","+1,650","9,369,439","+122,122","1,515,012","20,788",,,,,,Asia,"
",,
2,,"
South America
","8,286,827","+29,812","261,432",+976,"7,140,947","+45,010","884,448","17,446",,,,,,South America,"
",,
3,,"
Europe
","5,336,200","+59,387","225,053",+427,"2,883,242","+19,237","2,227,905","9,121",,,,,,Europe,"
",,
4,,"
Africa
","1,522,928","+8,084","36,569",+170,"1,260,391","+7,035","225,968","1,633",,,,,,Africa,"
",,
5,,"
Oceania
","31,554",+20,936,+1,"28,791",+21,"1,827",18,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,651,,55,4,,,,,,,"
",,
7,,World,"35,387,775","+248,008","1,041,537","+4,007","26,609,676","+227,357","7,736,562","66,401","4,540",133.6,,,,All,"
",,
8,1,USA,"7,635,804","+33,339","214,609 ",+330,"4,844,656","+26,092","2,576,539","14,175","23,033",647,"111,468,680","336,245","331,510,437 ",North America,43,"1,545",3
9,2,India,"6,622,180","+74,767","102,714 ",+902,"5,583,453","+76,721","936,013","8,944","4,786",74,"78,992,534","57,095","1,383,530,375 ",Asia,209,"13,470",18
10,3,Brazil,"4,915,289","+8,456","146,375 ",+364,"4,263,208","+14,634","505,706","8,318","23,081",687,"17,900,000","84,056","212,953,890 ",South America,43,"1,455",12
11,4,Russia,"1,215,001","+10,499","21,358 ",+107,"979,143","+3,284","214,500","2,300","8,325",146,"47,683,832","326,711","145,950,977 ",Europe,120,"6,834",3
12,5,Colombia,"855,052","+6,905","26,712 ",+156,"761,674","+3,873","66,666","2,220","16,758",524,"3,894,289","76,323","51,023,638 ",South America,60,"1,910",13
13,6,Peru,"828,169","+3,184","32,742 ",+77,"706,223","+5,355","89,204","1,287","25,027",989,"3,952,298","119,439","33,090,379 ",South America,40,"1,011",8
14,7,Spain,"810,807",,"32,086 ",,N/A,N/A,N/A,"1,566","17,340",686,"12,723,989","272,115","46,759,558 ",Europe,58,"1,457",4
15,8,Argentina,"798,486","+7,668","21,018 ",+223,"636,672","+10,558","140,796","3,950","17,625",464,"2,064,250","45,565","45,303,674 ",South America,57,"2,155",22
16,9,Mexico,"757,953","+4,863","78,880  ",+388,"545,530","+4,012","133,543","2,324","5,863",610,"1,997,375","15,449","129,284,391 ",North America,171,"1,639",65
17,10,South Africa,"681,289","+1,573","16,976 ",+38,"614,781","+2,018","49,532",539,"11,450",285,"4,269,626","71,756","59,502,099 ",Africa,87,"3,505",14
18,11,France,"619,190","+12,565","32,230 ",+32,"97,778",,"489,182","1,276","9,481",493,"11,469,737","175,616","65,311,522 ",Europe,105,"2,026",6
19,12,UK,"502,978","+7,982","42,350 ",+33,N/A,N/A,N/A,368,"7,399",623,"25,048,460","368,471","67,979,397 ",Europe,135,"1,605",3
20,13,Iran,"471,772","+3,653","26,957 ",+211,"389,966","+2,291","54,849","4,154","5,598",320,"4,123,173","48,928","84,270,921 ",Asia,179,"3,126",20
21,14,Chile,"470,179","+1,708","12,979 ",+60,"442,070","+1,189","15,130",856,"24,541",677,"3,466,553","180,937","19,158,936 ",South America,41,"1,476",6
22,15,Iraq,"379,141","+3,210","9,399 ",+52,"307,482","+3,817","62,260",523,"9,373",232,"2,349,433","58,080","40,451,877 ",Asia,107,"4,304",17
23,16,Bangladesh,"368,690","+1,125","5,348 ",+23,"281,656","+1,587","81,686",,"2,233",32,"1,989,664","12,050","165,115,692 ",Asia,448,"30,874",83
24,17,Saudi Arabia,"336,387",+390,"4,875 ",+25,"321,485",+511,"10,027",955,"9,624",139,"6,678,019","191,055","34,953,378 ",Asia,104,"7,170",5
25,18,Italy,"325,329","+2,578","35,986 ",+18,"231,914",+697,"57,429",303,"5,383",595,"11,784,105","194,977","60,438,292 ",Europe,186,"1,679",5
26,19,Turkey,"324,443","+1,429","8,441 ",+57,"285,050","+1,182","30,952","1,475","3,836",100,"10,806,285","127,772","84,574,545 ",Asia,261,"10,019",8
27,20,Philippines,"322,497","+3,190","5,776 ",+100,"273,079","+18,065","43,642","1,758","2,933",53,"3,873,843","35,230","109,957,856 ",Asia,341,"19,037",28
28,21,Pakistan,"314,616",+632,"6,513 ",+6,"298,968",+375,"9,135",513,"1,417",29,"3,644,762","16,419","221,988,411 ",Asia,706,"34,084",61
29,22,Indonesia,"303,498","+3,992","11,151 ",+96,"228,453","+3,401","63,894",,"1,107",41,"3,488,141","12,718","274,274,332 ",Asia,904,"24,596",79
30,23,Germany,"301,571","+1,543","9,602 ",+5,"261,900","+1,100","30,069",373,"3,596",115,"16,999,253","202,724","83,854,334 ",Europe,278,"8,733",5
31,24,Israel,"266,775","+2,332","1,719 ",+37,"195,629","+4,378","69,427",900,"29,005",187,"3,703,125","402,619","9,197,590 ",Asia,34,"5,351",2
32,25,Ukraine,"226,462","+4,140","4,397 ",+44,"100,107","+1,370","121,958",177,"5,187",101,"2,362,857","54,115","43,663,726 ",Europe,193,"9,930",18
33,26,Canada,"166,155","+1,684","9,481 ",+19,"140,243","+1,376","16,431",126,"4,392",251,"7,563,615","199,946","37,828,308 ",North America,228,"3,990",5
34,27,Ecuador,"141,034",+683,"11,647 ",+50,"120,511","+8,215","8,876",354,"7,963",658,"453,823","25,622","17,712,036 ",South America,126,"1,521",39
35,28,Bolivia,"136,569",+350,"8,073 ",+28,"97,105",+451,"31,391",71,"11,658",689,"306,481","26,163","11,714,131 ",South America,86,"1,451",38
36,29,Romania,"135,900","+1,835","5,003 ",+56,"108,135","+1,077","22,762",598,"7,077",261,"2,510,209","130,717","19,203,449 ",Europe,141,"3,838",8
37,30,Netherlands,"135,892","+4,003","6,454 ",+5,N/A,N/A,N/A,174,"7,926",376,"2,449,577","142,875","17,144,850 ",Europe,126,"2,656",7
38,31,Morocco,"133,272","+2,044","2,330 ",+37,"111,036","+2,349","19,906",461,"3,600",63,"2,711,203","73,229","37,023,865 ",Africa,278,"15,890",14
39,32,Belgium,"127,623","+3,389","10,044 ",+7,"19,645",+74,"97,934",184,"10,999",866,"3,368,218","290,292","11,602,851 ",Europe,91,"1,155",3
40,33,Qatar,"126,498",+159,216 ,,"123,475",+173,"2,807",58,"45,052",77,"795,768","283,413","2,807,805 ",Asia,22,"12,999",4
41,34,Panama,"115,286",+633,"2,423 ",+9,"91,809",+614,"21,054",110,"26,611",559,"504,299","116,406","4,332,239 ",North America,38,"1,788",9
42,35,Dominican Republic,"114,480",+554,"2,134 ",+6,"90,366",+731,"21,980",170,"10,526",196,"493,091","45,337","10,876,171 ",North America,95,"5,097",22
43,36,Kazakhstan,"108,177",+71,"1,725 ",,"103,205",+95,"3,247",221,"5,743",92,"2,964,281","157,383","18,834,863 ",Asia,174,"10,919",6
