,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,80880,+36,3213.0,14.0,67771.0,9896,3226.0,56.2
1,Italy,24747,,1809.0,,2335.0,20603,1672.0,409.3
2,Iran,14991,"+1,053",853.0,129.0,4590.0,9548,,178.5
3,Spain,8794,+806,297.0,3.0,517.0,7980,272.0,188.1
4,S. Korea,8236,+74,75.0,,1137.0,7024,59.0,160.6
5,Germany,6248,+435,13.0,,46.0,6189,2.0,74.6
6,France,5423,,127.0,,12.0,5284,400.0,83.1
7,USA,3806,+126,69.0,1.0,73.0,3664,10.0,11.5
8,Switzerland,2218,+1,15.0,1.0,4.0,2199,,256.3
9,UK,1391,,35.0,,20.0,1336,20.0,20.5
10,Norway,1292,+36,3.0,,1.0,1288,27.0,238.3
11,Netherlands,1135,,20.0,,2.0,1113,45.0,66.2
12,Belgium,1058,+172,5.0,1.0,1.0,1052,33.0,91.3
13,Sweden,1046,+6,6.0,3.0,1.0,1039,2.0,103.6
14,Austria,1018,+158,2.0,1.0,8.0,1008,1.0,113.0
15,Denmark,898,+34,4.0,2.0,1.0,893,2.0,155.0
16,Japan,845,+6,27.0,3.0,144.0,674,36.0,6.7
17,Diamond Princess,696,,7.0,,456.0,233,15.0,
18,Malaysia,566,+138,,,42.0,524,9.0,17.5
19,Qatar,401,,,,4.0,397,,139.2
20,Australia,375,+75,5.0,,27.0,343,1.0,14.7
21,Canada,341,,1.0,,11.0,329,1.0,9.0
22,Greece,331,,4.0,,8.0,319,5.0,31.8
23,Czechia,298,+5,,,,298,2.0,27.8
24,Finland,278,+34,,,10.0,268,1.0,50.2
25,Israel,255,+42,,,4.0,251,4.0,29.5
26,Portugal,245,,,,3.0,242,9.0,24.0
27,Singapore,243,+17,,,109.0,134,11.0,41.5
28,Bahrain,221,+7,1.0,1.0,77.0,143,1.0,129.9
29,Slovenia,219,,1.0,,,218,3.0,105.3
30,Estonia,205,+34,,,1.0,204,,154.5
31,Brazil,203,+3,,,2.0,201,2.0,1.0
32,Iceland,180,,,,,180,1.0,
33,Ireland,170,,2.0,,5.0,163,6.0,34.4
34,Romania,158,+19,,,9.0,149,1.0,8.2
35,Poland,150,+25,3.0,,,147,3.0,4.0
36,Hong Kong,149,,4.0,,81.0,64,4.0,19.9
37,Thailand,147,+33,1.0,,35.0,111,1.0,2.1
38,Philippines,142,+2,12.0,,5.0,125,1.0,1.3
39,Indonesia,134,+17,5.0,,8.0,121,,0.5
40,India,129,+15,2.0,,13.0,114,,0.1
41,Egypt,126,,2.0,,32.0,92,,1.2
42,Iraq,124,,10.0,,26.0,88,,3.1
43,Kuwait,123,+11,,,9.0,114,4.0,28.8
44,Saudi Arabia,118,,,,3.0,115,,3.4
45,San Marino,109,,7.0,,4.0,98,11.0,
46,Lebanon,109,,3.0,,1.0,105,3.0,16.0
47,UAE,98,,,,23.0,75,2.0,9.9
48,Pakistan,94,+41,,,2.0,92,,0.4
49,Luxembourg,81,+4,1.0,,,80,10.0,
50,Chile,75,,,,,75,,3.9
51,Peru,71,,,,,71,,2.2
52,Russia,63,,,,8.0,55,,0.4
53,South Africa,62,+1,,,,62,,1.0
54,Slovakia,61,,,,,61,,11.2
55,Taiwan,59,,1.0,,20.0,38,,2.5
56,Vietnam,59,+2,,,16.0,43,,0.6
57,Argentina,56,,2.0,,3.0,51,1.0,1.2
58,Croatia,56,+7,,,3.0,53,,13.6
59,Panama,55,,1.0,,,54,,12.7
60,Serbia,55,+7,,,1.0,54,2.0,6.3
61,Algeria,54,,4.0,,10.0,40,,1.2
62,Brunei,54,+4,,,,54,,
63,Mexico,53,+10,,,4.0,49,1.0,0.4
64,Bulgaria,52,+1,2.0,,,50,,7.5
65,Albania,51,+9,1.0,,,50,2.0,17.7
66,Colombia,45,+11,,,,45,,0.9
67,Hungary,39,+7,1.0,,1.0,37,,4.0
68,Palestine,39,+1,,,,39,,7.6
69,Ecuador,37,,2.0,,,35,1.0,2.1
70,Belarus,36,+9,,,3.0,33,,3.8
71,Costa Rica,35,,,,,35,3.0,6.9
72,Latvia,34,+4,,,1.0,33,,18.0
73,Georgia,33,,,,1.0,32,1.0,8.3
74,Cyprus,33,,,,,33,1.0,27.3
75,Armenia,30,+2,,,1.0,29,2.0,10.1
76,Malta,30,+9,,,2.0,28,,
77,Morocco,29,+1,1.0,,1.0,27,1.0,0.8
78,Azerbaijan,25,+2,1.0,,6.0,18,,2.5
79,Senegal,24,,,,2.0,22,,1.4
80,Bosnia and Herzegovina,24,,,,,24,,7.3
81,Moldova,23,,,,,23,1.0,5.7
82,Oman,22,,,,9.0,13,,4.3
83,Sri Lanka,22,+4,,,1.0,21,,1.0
84,Afghanistan,21,+5,,,1.0,20,,0.5
85,Tunisia,20,,,,,20,2.0,1.7
86,North Macedonia,19,,,,1.0,18,,9.1
87,Faeroe Islands,18,+7,,,,18,,
88,Turkey,18,,,,,18,,0.2
89,Lithuania,17,+3,,,1.0,16,,6.2
90,Venezuela,17,,,,,17,,0.6
91,Jordan,16,+4,,,1.0,15,,1.6
92,Burkina Faso,15,+12,,,,15,,0.7
93,Martinique,15,+5,,,,15,,
94,Maldives,13,,,,,13,,
95,Cambodia,12,,,,1.0,11,,0.7
96,Macao,11,,,,10.0,1,,
97,Dominican Republic,11,,,,,11,,1.0
98,Bolivia,11,+1,,,,11,,0.9
99,Jamaica,10,,,,2.0,8,,3.4
100,Kazakhstan,9,,,,,9,,0.5
101,Réunion,9,+2,,,,9,,
102,New Zealand,8,,,,,8,,1.7
103,Bangladesh,8,+3,,,3.0,5,,
104,Paraguay,8,,,,,8,1.0,1.1
105,Uruguay,8,+2,,,,8,,2.3
106,Guyana,7,+3,1.0,,,6,,
107,French Guiana,7,,,,,7,,
108,Liechtenstein,7,,,,,7,,
109,Monaco,6,+4,,,,6,,
110,Ghana,6,,,,,6,,0.2
111,Guadeloupe,6,+1,,,,6,,
112,Honduras,6,+3,,,,6,,0.6
113,Uzbekistan,6,+2,,,,6,,0.2
114,Ukraine,5,+2,1.0,,,4,,0.1
115,Andorra,5,,,,,5,,
116,Ethiopia,5,+1,,,,5,,
117,Puerto Rico,5,,,,,5,,1.7
118,Rwanda,5,,,,,5,,0.4
119,Cameroon,4,,,,,4,,0.2
120,Ivory Coast,4,,,,,4,,0.2
121,Cuba,4,,,,,4,,0.4
122,Trinidad and Tobago,4,+2,,,,4,,2.9
123,Channel Islands,3,,,,,3,,
124,French Polynesia,3,,,,,3,,
125,Guam,3,,,,,3,,
126,Kenya,3,,,,,3,,0.1
127,St. Barth,3,+2,,,,3,,
128,Seychelles,3,,,,,3,,
129,Guatemala,2,+1,1.0,,,1,,0.1
130,Nigeria,2,,,,1.0,1,,
131,Aruba,2,,,,,2,,
132,Curaçao,2,,,,,2,,
133,DRC,2,,,,,2,,
134,Namibia,2,,,,,2,,0.8
135,Saint Lucia,2,,,,,2,,
136,Saint Martin,2,,,,,2,,
137,Cayman Islands,1,,1.0,1.0,,0,,
138,Sudan,1,,1.0,,,0,,
139,Nepal,1,,,,1.0,0,,
140,Antigua and Barbuda,1,,,,,1,,
141,Bahamas,1,,,,,1,,
142,Bhutan,1,,,,,1,,
143,CAR,1,,,,,1,,0.2
144,Congo,1,,,,,1,,0.2
145,Equatorial Guinea,1,,,,,1,,0.7
146,Gabon,1,,,,,1,,0.4
147,Gibraltar,1,,,,1.0,0,,
148,Guinea,1,,,,,1,,0.1
149,Vatican City,1,,,,,1,,
150,Liberia,1,+1,,,,1,,0.2
151,Mauritania,1,,,,,1,,0.2
152,Mayotte,1,,,,,1,,
153,Mongolia,1,,,,,1,,0.3
154,St. Vincent Grenadines,1,,,,,1,,
155,Suriname,1,,,,,1,,
156,Eswatini,1,,,,,1,,0.9
157,Togo,1,,,,,1,,0.1
158,U.S. Virgin Islands,1,,,,,1,,
159,Total:,173182,3622,6665.0,160.0,77789.0,88728,5937.0,22.2
