,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","9,494,592","+30,941","325,521",+730,"6,230,503","+15,395","2,938,568","18,252",,,,,,North America,"
",,
1,,"
Asia
","11,676,804","+54,763","210,791",+800,"9,957,976","+39,751","1,508,037","20,872",,,,,,Asia,"
",,
2,,"
South America
","8,581,717","+3,063","269,345",+99,"7,439,594","+2,292","872,778","17,483",,,,,,South America,"
",,
3,,"
Europe
","5,896,186","+60,314","230,150",+607,"3,008,901","+18,411","2,657,135","10,317",,,,,,Europe,"
",,
4,,"
Africa
","1,569,534","+4,760","37,748",+59,"1,302,089","+2,659","229,697","1,664",,,,,,Africa,"
",,
5,,"
Oceania
","32,477",+19,941,,"29,394",+16,"2,142",10,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,659,+8,47,4,,,,,,,"
",,
7,,World,"37,252,031","+153,860","1,074,511","+2,295","27,969,116","+78,532","8,208,404","68,602","4,779",137.8,,,,All,"
",,
8,1,USA,"7,915,700","+21,222","218,902 ",+255,"5,071,257","+6,957","2,625,541","14,781","23,876",660,"116,871,039","352,513","331,536,904 ",North America,42,"1,515",3
9,2,India,"6,997,852","+20,844","107,568 ",+118,"6,003,244","+17,739","887,040","8,944","5,057",78,"85,798,698","62,006","1,383,715,576 ",Asia,198,"12,864",16
10,3,Brazil,"5,057,190",,"149,692 ",,"4,433,595",,"473,903","8,318","23,746",703,"17,900,000","84,048","212,974,500 ",South America,42,"1,423",12
11,4,Russia,"1,285,084","+12,846","22,454 ",+197,"1,016,202","+6,781","246,428","2,300","8,805",154,"50,305,243","344,670","145,951,829 ",Europe,114,"6,500",3
12,5,Colombia,"894,300",,"27,495 ",,"780,547",,"86,258","2,220","17,525",539,"4,097,223","80,289","51,031,042 ",South America,57,"1,856",12
13,6,Spain,"890,367",,"32,929 ",,N/A,N/A,N/A,"1,590","19,041",704,"13,689,776","292,768","46,759,804 ",Europe,53,"1,420",3
14,7,Argentina,"871,468",,"23,225 ",,"697,141",,"151,102","4,092","19,234",513,"2,191,450","48,366","45,309,334 ",South America,52,"1,951",21
15,8,Peru,"843,355",,"33,158 ",,"733,000",,"77,197","1,235","25,482","1,002","4,027,591","121,692","33,096,655 ",South America,39,998,8
16,9,Mexico,"809,751","+5,263","83,507 ",+411,"588,085","+4,482","138,159","2,537","6,262",646,"2,068,647","15,998","129,302,885 ",North America,160,"1,548",63
17,10,France,"691,977",,"32,583 ",,"100,828",,"558,566","1,448","10,595",499,"12,061,094","184,665","65,313,489 ",Europe,94,"2,005",5
18,11,South Africa,"688,352",,"17,547 ",,"620,081",,"50,724",546,"11,567",295,"4,360,105","73,264","59,512,313 ",Africa,86,"3,392",14
19,12,UK,"575,679",,"42,679 ",,N/A,N/A,N/A,436,"8,468",628,"26,987,470","396,966","67,984,259 ",Europe,118,"1,593",3
20,13,Iran,"496,253","+3,875","28,293 ",+195,"403,950","+2,571","64,010","4,439","5,888",336,"4,284,413","50,832","84,285,608 ",Asia,170,"2,979",20
21,14,Chile,"479,595","+1,826","13,272 ",+52,"452,054","+1,757","14,269",817,"25,030",693,"3,654,041","190,700","19,161,175 ",South America,40,"1,444",5
22,15,Iraq,"400,124","+2,344","9,790 ",+55,"332,330","+4,233","58,004",530,"9,888",242,"2,470,645","61,057","40,464,237 ",Asia,101,"4,133",16
23,16,Bangladesh,"377,073","+1,203","5,500 ",+23,"291,365","+1,453","80,208",,"2,283",33,"2,061,528","12,484","165,138,090 ",Asia,438,"30,025",80
24,17,Italy,"349,494","+5,724","36,140 ",+29,"238,525",+976,"74,829",390,"5,783",598,"12,460,055","206,166","60,437,083 ",Europe,173,"1,672",5
25,18,Saudi Arabia,"338,944",+405,"5,018 ",+22,"324,737",+455,"9,189",842,"9,695",144,"6,976,541","199,553","34,960,790 ",Asia,103,"6,967",5
26,19,Philippines,"336,926","+2,249","6,238 ",+87,"276,094",+842,"54,594","1,758","3,064",57,"4,091,156","37,200","109,977,783 ",Asia,326,"17,630",27
27,20,Turkey,"334,031","+1,649","8,778 ",+56,"293,145","+1,391","32,108","1,414","3,949",104,"11,506,414","136,031","84,586,936 ",Asia,253,"9,636",7
28,21,Indonesia,"328,952","+4,294","11,765 ",+88,"251,481","+3,814","65,706",,"1,199",43,"3,726,476","13,585","274,313,821 ",Asia,834,"23,316",74
29,22,Germany,"322,194","+1,716","9,690 ",+3,"273,500","+1,700","39,004",532,"3,842",116,"18,129,900","216,198","83,857,984 ",Europe,260,"8,654",5
30,23,Pakistan,"318,266",+671,"6,558 ",+6,"303,062",+354,"8,646",475,"1,433",30,"3,828,952","17,244","222,047,102 ",Asia,698,"33,859",58
31,24,Israel,"289,799","+1,941","1,914 ",+28,"225,718",+470,"62,167",845,"31,508",208,"3,955,593","430,068","9,197,590 ",Asia,32,"4,805",2
32,25,Ukraine,"256,266","+5,728","4,887 ",+108,"112,570","+1,920","138,809",177,"5,870",112,"2,522,360","57,773","43,660,156 ",Europe,170,"8,934",17
33,26,Canada,"180,026","+1,909","9,606 ",+21,"151,335","+1,811","19,085",154,"4,758",254,"8,047,974","212,725","37,832,824 ",North America,210,"3,938",5
34,27,Netherlands,"168,280","+6,499","6,567 ",+23,N/A,N/A,N/A,250,"9,815",383,"2,656,731","154,953","17,145,366 ",Europe,102,"2,611",6
35,28,Romania,"152,403","+3,517","5,358 ",+59,"116,628","+1,836","30,417",629,"7,937",279,"2,656,828","138,364","19,201,705 ",Europe,126,"3,584",7
36,29,Morocco,"149,841","+3,443","2,572 ",+42,"124,854","+1,832","22,415",445,"4,046",69,"2,853,784","77,067","37,029,840 ",Africa,247,"14,397",13
37,30,Belgium,"148,981","+5,385","10,151 ",+25,"20,072",+91,"118,758",212,"12,839",875,"3,593,469","309,687","11,603,539 ",Europe,78,"1,143",3
38,31,Ecuador,"146,828",+980,"12,188 ",+13,"120,511",,"14,129",361,"8,288",688,"465,886","26,298","17,715,698 ",South America,121,"1,454",38
39,32,Bolivia,"138,226",+257,"8,262 ",+34,"100,347",+535,"29,617",71,"11,798",705,"313,195","26,732","11,716,307 ",South America,85,"1,418",37
40,33,Qatar,"127,778",+178,219 ,,"124,767",+208,"2,792",54,"45,508",78,"825,511","294,006","2,807,805 ",Asia,22,"12,821",3
41,34,Poland,"121,638","+5,300","2,972 ",+53,"78,982","+1,107","39,684",346,"3,215",79,"3,608,622","95,378","37,835,081 ",Europe,311,"12,731",10
42,35,Panama,"118,841",,"2,474 ",,"94,962",,"21,405",114,"27,426",571,"533,146","123,038","4,333,167 ",North America,36,"1,751",8
43,36,Dominican Republic,"118,014",+557,"2,167 ",+2,"93,627",+566,"22,220",176,"10,849",199,"515,598","47,400","10,877,656 ",North America,92,"5,020",21
44,37,Czechia,"111,978","+2,604",934 ,+29,"53,202",+29,"57,842",412,"10,451",87,"1,574,957","146,993","10,714,483 ",Europe,96,"11,472",7
45,38,Kuwait,"110,568",+492,655 ,+6,"102,722",+698,"7,191",139,"25,787",153,"779,538","181,808","4,287,708 ",Asia,39,"6,546",6
46,39,Kazakhstan,"108,663",+102,"1,746 ",,"103,910",+152,"3,007",221,"5,768",93,"3,045,439","161,665","18,837,931 ",Asia,173,"10,789",6
47,40,Nepal,"105,684","+5,008",614 ,+14,"74,252","+1,229","30,818",,"3,610",21,"1,164,557","39,776","29,278,242 ",Asia,277,"47,684",25
48,41,UAE,"105,133","+1,129",443 ,+1,"95,973","+1,070","8,717",,"10,595",45,"10,807,148","1,089,104","9,922,970 ",Asia,94,"22,399",1
49,42,Egypt,"104,262",,"6,029 ",,"97,592",,641,41,"1,014",59,"135,000","1,313","102,854,542 ",Africa,987,"17,060",762
50,43,Oman,"104,129",,"1,009 ",,"91,731",,"11,389",214,"20,254",196,"376,700","73,270","5,141,229 ",Asia,49,"5,095",14
51,44,Sweden,"98,451",,"5,894 ",,N/A,N/A,N/A,26,"9,732",583,"1,789,328","176,871","10,116,588 ",Europe,103,"1,716",6
52,45,Guatemala,"97,544",+609,"3,365 ",+9,"86,046",+703,"8,133",5,"5,418",187,"360,917","20,045","18,004,932 ",North America,185,"5,351",50
53,46,Japan,"88,233",+594,"1,624 ",+8,"81,356",+623,"5,253",147,698,13,"2,286,070","18,091","126,368,454 ",Asia,"1,432","77,813",55
54,47,Costa Rica,"86,053",,"1,055 ",,"52,327",,"32,671",197,"16,850",207,"254,262","49,788","5,106,856 ",North America,59,"4,841",20
55,48,Portugal,"85,574","+1,646","2,067 ",+5,"52,803",+639,"30,704",125,"8,399",203,"2,791,429","273,981","10,188,417 ",Europe,119,"4,929",4
56,49,Ethiopia,"82,662",,"1,271 ",,"37,102",,"44,289",243,714,11,"1,335,856","11,544","115,723,191 ",Africa,"1,400","91,049",87
