,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","10,219,954","+10,030","337,221",+654,"6,804,056","+7,309","3,078,677","19,232",,,,,,North America,"
",,
1,,"
Asia
","12,742,307","+53,831","227,870",+847,"11,131,284","+42,373","1,383,153","20,947",,,,,,Asia,"
",,
2,,"
South America
","9,096,264",+147,"282,089",+24,"8,060,229",+569,"753,946","17,460",,,,,,South America,"
",,
3,,"
Europe
","7,398,534","+78,385","242,836",+902,"3,296,429","+30,397","3,859,269","14,195",,,,,,Europe,"
",,
4,,"
Africa
","1,676,301","+1,465","40,326",+37,"1,377,730","+1,131","258,245","1,931",,,,,,Africa,"
",,
5,,"
Oceania
","34,549",+41,955,,"30,778",+23,"2,816",21,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,659,,47,4,,,,,,,"
",,
7,,World,"41,168,630","+143,899","1,131,312","+2,464","30,701,165","+81,802","9,336,153","73,790","5,282",145.1,,,,All,"
",,
8,1,USA,"8,524,139","+3,189","226,273 ",+89,"5,548,054","+2,435","2,749,812","15,733","25,706",682,"127,881,423","385,655","331,595,130 ",North America,39,"1,465",3
9,2,India,"7,669,023","+19,865","116,052 ",+102,"6,811,403","+18,853","741,568","8,944","5,541",84,"97,200,379","70,225","1,384,123,019 ",Asia,180,"11,927",14
10,3,Brazil,"5,274,817",,"154,888 ",,"4,721,593",,"398,336","8,318","24,762",727,"17,900,000","84,030","213,019,842 ",South America,40,"1,375",12
11,4,Russia,"1,447,335","+15,700","24,952 ",+317,"1,096,560","+10,952","325,823","2,300","9,916",171,"55,171,784","378,009","145,953,703 ",Europe,101,"5,849",3
12,5,Spain,"1,029,668",,"34,210 ",,N/A,N/A,N/A,"1,911","22,020",732,"15,503,165","331,545","46,760,347 ",Europe,45,"1,367",3
13,6,Argentina,"1,018,999",,"27,100 ",,"829,647",,"162,252","4,451","22,484",598,"2,663,880","58,777","45,321,786 ",South America,44,"1,672",17
14,7,Colombia,"974,139",,"29,272 ",,"876,731",,"68,136","2,115","19,083",573,"4,516,832","88,483","51,047,333 ",South America,52,"1,744",11
15,8,France,"930,745",,"33,885 ",,"106,839",,"790,021","2,177","14,249",519,"13,894,126","212,716","65,317,818 ",Europe,70,"1,928",5
16,9,Peru,"874,118",,"33,875 ",,"788,494",,"51,749","1,090","26,400","1,023","4,270,800","128,986","33,110,463 ",South America,38,977,8
17,10,Mexico,"860,714","+5,788","86,893 ",+555,"627,584","+4,090","146,237","2,617","6,654",672,"2,207,837","17,070","129,343,572 ",North America,150,"1,489",59
18,11,UK,"762,542",,"43,967 ",,N/A,N/A,N/A,629,"11,215",647,"30,187,915","443,973","67,994,955 ",Europe,89,"1,546",2
19,12,South Africa,"706,304",,"18,656 ",,"639,568",,"48,080",546,"11,864",313,"4,581,346","76,952","59,534,785 ",Africa,84,"3,191",13
20,13,Iran,"545,286","+5,616","31,346 ",+312,"438,709","+4,033","75,231","4,861","6,467",372,"4,599,554","54,550","84,317,918 ",Asia,155,"2,690",18
