,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","6,944,465","+4,934","259,459",+246,"3,887,337","+3,813","2,797,669","21,099",,,,,,North America,"
",,
1,,"
South America
","5,765,689",+722,"189,127",+67,"4,295,973","+1,509","1,280,589","14,910",,,,,,South America,"
",,
2,,"
Asia
","6,314,853","+16,590","130,419",+178,"4,994,505","+14,251","1,189,929","18,997",,,,,,Asia,"
",,
3,,"
Europe
","3,362,717","+7,979","205,405",+101,"1,990,859","+5,181","1,166,453","5,192",,,,,,Europe,"
",,
4,,"
Africa
","1,193,032",+618,"27,843",+12,"909,850",+126,"255,339","1,218",,,,,,Africa,"
",,
5,,"
Oceania
","27,349",+113,544,+15,"21,567",+371,"5,238",50,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,651,,55,4,,,,,,,"
",,
7,,World,"23,608,826","+30,956","812,812",+619,"16,100,742","+25,251","6,695,272","61,470","3,029",104.3,,,,All,"
",,
8,1,USA,"5,874,295",+149,"180,605 ",+1,"3,167,164",+101,"2,526,526","16,717","17,732",545,"76,160,545","229,892","331,288,117 ",North America,56,"1,834",4
9,2,Brazil,"3,605,783",,"114,772 ",,"2,709,638",,"781,373","8,318","16,946",539,"14,144,344","66,474","212,780,766 ",South America,59,"1,854",15
10,3,India,"3,110,761","+5,576","57,715 ",+23,"2,338,899","+2,103","714,147","8,944","2,251",42,"35,902,137","25,979","1,381,974,682 ",Asia,444,"23,945",38
11,4,Russia,"961,493","+4,744","16,448 ",+65,"773,095","+2,456","171,950","2,300","6,588",113,"34,600,000","237,078","145,943,820 ",Europe,152,"8,873",4
12,5,South Africa,"609,773",,"13,059 ",,"506,470",,"90,244",539,"10,263",220,"3,553,425","59,806","59,416,296 ",Africa,97,"4,550",17
