,"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region
0,China,77666,7.0,2664.0,1.0,27656.0,9126.0,Asia
1,S. Korea,977,144.0,11.0,3.0,22.0,6.0,Asia
2,Diamond Princess,691,,4.0,1.0,10.0,35.0,
3,Italy,323,94.0,11.0,4.0,2.0,19.0,Europe
4,Japan,161,2.0,1.0,,23.0,7.0,Asia
5,Iran,95,34.0,16.0,4.0,25.0,,Asia
6,Singapore,91,1.0,,,58.0,7.0,Asia
7,Hong Kong,85,4.0,2.0,,18.0,6.0,Asia
8,USA,57,4.0,,,6.0,,N.America
9,Thailand,37,2.0,,,22.0,2.0,Asia
10,Taiwan,31,1.0,1.0,,5.0,1.0,Asia
11,Bahrain,23,21.0,,,,,Asia
12,Australia,22,,,,15.0,,Oceania
13,Malaysia,22,,,,20.0,,Asia
14,Germany,18,2.0,,,15.0,1.0,Europe
15,Vietnam,16,,,,16.0,,Asia
16,France,14,2.0,1.0,,11.0,,Europe
17,U.K.,13,,,,8.0,,Europe
18,U.A.E.,13,,,,3.0,2.0,Asia
19,Canada,11,,,,3.0,,N.America
20,Kuwait,11,6.0,,,,,Asia
21,Macao,10,,,,5.0,,Asia
22,Spain,7,4.0,,,2.0,,Europe
23,Iraq,5,4.0,,,,,Asia
24,Oman,4,2.0,,,,,Asia
25,Philippines,3,,1.0,,2.0,,Asia
26,India,3,,,,3.0,,Asia
27,Austria,2,2.0,,,,,Europe
28,Israel,2,,,,,,Asia
29,Russia,2,,,,2.0,,Europe
30,Afghanistan,1,,,,,,Asia
31,Algeria,1,1.0,,,,,Africa
32,Belgium,1,,,,1.0,,Europe
33,Cambodia,1,,,,1.0,,Asia
34,Croatia,1,1.0,,,,,Europe
35,Egypt,1,,,,1.0,,Africa
36,Finland,1,,,,1.0,,Europe
37,Lebanon,1,,,,,,Asia
38,Nepal,1,,,,1.0,,Asia
39,Sri Lanka,1,,,,1.0,,Asia
40,Sweden,1,,,,,,Europe
41,Switzerland,1,1.0,,,,,Europe
