,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","11,141,458","+9,182","351,518",+553,"7,382,397","+5,927","3,407,543","20,853",,,,,,North America,"
",,
1,,"
Asia
","13,616,980","+25,730","242,176",+635,"12,081,245","+22,396","1,293,559","21,481",,,,,,Asia,"
",,
2,,"
South America
","9,634,528",+147,"293,948",+10,"8,596,664",+419,"743,916","18,074",,,,,,South America,"
",,
3,,"
Europe
","9,798,071","+86,316","264,196","+1,106","3,757,159","+33,599","5,776,716","20,841",,,,,,Europe,"
",,
4,,"
Africa
","1,786,697","+2,262","42,773",+55,"1,455,834",+782,"288,090","2,294",,,,,,Africa,"
",,
5,,"
Oceania
","37,471",+15,970,,"32,662",+79,"3,839",25,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,659,,47,4,,,,,,,"
",,
7,,World,"46,015,926","+123,652","1,195,596","+2,359","33,306,620","+63,202","11,513,710","83,572","5,903",153.4,,,,All,"
",,
8,1,USA,"9,318,653","+2,356","235,182 ",+23,"6,025,299",+787,"3,058,172","17,150","28,098",709,"142,955,188","431,045","331,648,064 ",North America,36,"1,410",2
9,2,India,"8,137,119",+953,"121,681 ",,"7,432,829","+1,918","582,609","8,944","5,877",88,"108,796,064","78,582","1,384,493,422 ",Asia,170,"11,378",13
10,3,Brazil,"5,519,528",,"159,562 ",,"4,966,264",,"393,702","8,318","25,906",749,"21,900,000","102,787","213,061,062 ",South America,39,"1,335",10
11,4,Russia,"1,618,116","+18,140","27,990 ",+334,"1,215,414","+14,854","374,712","2,300","11,086",192,"60,400,000","413,825","145,955,407 ",Europe,90,"5,215",2
12,5,France,"1,331,984",,"36,565 ",,"116,533",,"1,178,886","3,377","20,391",560,"15,836,818","242,443","65,321,753 ",Europe,49,"1,786",4
13,6,Spain,"1,264,517",,"35,878 ",,N/A,N/A,N/A,"2,482","27,042",767,"16,690,076","356,924","46,760,840 ",Europe,37,"1,303",3
14,7,Argentina,"1,157,179",,"30,792 ",,"961,101",,"165,286","4,981","25,526",679,"2,980,105","65,738","45,333,107 ",South America,39,"1,472",15
15,8,Colombia,"1,063,151",,"31,135 ",,"959,433",,"72,583","2,283","20,821",610,"4,992,137","97,766","51,062,142 ",South America,48,"1,640",10
16,9,UK,"989,745",,"46,229  ",,N/A,N/A,N/A,975,"14,554",680,"33,470,217","492,175","68,004,678 ",Europe,69,"1,471",2
17,10,Mexico,"918,811","+6,000","91,289 ",+516,"673,457","+4,790","154,065","2,838","7,102",706,"2,386,284","18,444","129,380,561 ",North America,141,"1,417",54
18,11,Peru,"900,180",,"34,411 ",,"822,316",,"43,453","1,055","27,177","1,039","4,489,872","135,551","33,123,015 ",South America,37,963,7
19,12,South Africa,"723,682",,"19,230 ",,"653,052",,"51,400",546,"12,151",323,"4,800,823","80,611","59,555,214 ",Africa,82,"3,097",12
20,13,Italy,"647,674",,"38,321 ",,"283,567",,"325,786","1,746","10,717",634,"15,568,575","257,621","60,432,001 ",Europe,93,"1,577",4
21,14,Iran,"612,772","+7,820","34,864 ",+386,"481,930","+4,630","95,978","5,185","7,265",413,"4,929,005","58,437","84,347,290 ",Asia,138,"2,419",17
22,15,Germany,"517,720",,"10,523 ",,"345,700",,"161,497","1,839","6,173",125,"21,882,967","260,905","83,873,315 ",Europe,162,"7,970",4
23,16,Chile,"508,571",,"14,158 ",,"485,152",,"9,261",764,"26,529",739,"4,269,503","222,711","19,170,579 ",South America,38,"1,354",4
24,17,Iraq,"470,633",,"10,862 ",,"397,241",,"62,530",442,"11,616",268,"2,849,335","70,326","40,516,151 ",Asia,86,"3,730",14
25,18,Belgium,"412,314","+20,056","11,452 ",+144,"24,906",+463,"375,956","1,105","35,525",987,"4,898,435","422,045","11,606,426 ",Europe,28,"1,013",2
26,19,Indonesia,"410,088","+3,143","13,869 ",+87,"337,801","+3,506","58,418",,"1,494",51,"4,517,739","16,459","274,479,674 ",Asia,669,"19,791",61
27,20,Bangladesh,"407,684","+1,320","5,923 ",+18,"324,145","+1,442","77,616",,"2,467",36,"2,336,262","14,139","165,232,159 ",Asia,405,"27,897",71
28,21,Ukraine,"387,481","+8,752","7,196 ",+155,"158,928","+3,902","221,357",177,"8,878",165,"3,176,397","72,778","43,645,160 ",Europe,113,"6,065",14
29,22,Philippines,"380,729","+1,803","7,221 ",+36,"331,046",+606,"42,462","1,483","3,459",66,"4,784,960","43,475","110,061,476 ",Asia,289,"15,242",23
30,23,Turkey,"373,154",,"10,177 ",,"322,465",,"40,512","1,966","4,409",120,"13,877,705","163,964","84,638,978 ",Asia,227,"8,317",6
31,24,Poland,"362,731","+21,897","5,631 ",+280,"140,280","+5,556","216,820","1,305","9,588",149,"4,653,611","123,005","37,832,712 ",Europe,104,"6,719",8
32,25,Saudi Arabia,"346,880",,"5,383 ",,"333,409",,"8,088",766,"9,913",154,"8,001,276","228,661","34,991,919 ",Asia,101,"6,500",4
33,26,Netherlands,"341,374",,"7,345 ",,N/A,N/A,N/A,580,"19,908",428,"3,327,701","194,063","17,147,535 ",Europe,50,"2,335",5
34,27,Pakistan,"332,993",+807,"6,806 ",+11,"314,066",+539,"12,121",669,"1,498",31,"4,431,225","19,934","222,293,606 ",Asia,668,"32,661",50
35,28,Czechia,"323,673",,"3,078 ",,"137,575",,"183,020","1,068","30,206",287,"2,244,603","209,470","10,715,620 ",Europe,33,"3,481",5
36,29,Israel,"313,701",,"2,514 ",,"299,822",,"11,365",429,"34,107",273,"4,585,409","498,545","9,197,590 ",Asia,29,"3,659",2
37,30,Romania,"241,339","+5,753","6,968 ",+101,"172,513","+4,616","61,858",923,"12,573",363,"3,242,748","168,943","19,194,382 ",Europe,80,"2,755",6
38,31,Canada,"231,999",,"10,110 ",,"193,937",,"27,952",228,"6,129",267,"9,753,158","257,667","37,851,790 ",North America,163,"3,744",4
39,32,Morocco,"215,294",,"3,625 ",,"177,925",,"33,744",819,"5,810",98,"3,305,323","89,201","37,054,935 ",Africa,172,"10,222",11
40,33,Nepal,"170,743","+2,508",937 ,+17,"131,222","+2,264","38,584",,"5,826",32,"1,443,343","49,247","29,308,350 ",Asia,172,"31,279",20
41,34,Ecuador,"167,147",,"12,632 ",,"141,759",,"12,756",336,"9,427",712,"541,502","30,540","17,731,079 ",South America,106,"1,404",33
42,35,Switzerland,"154,251",,"2,277 ",,"65,200",,"86,774",234,"17,780",262,"1,933,386","222,853","8,675,630 ",Europe,56,"3,810",4
43,36,Bolivia,"141,631",+147,"8,715 ",+10,"111,178",+419,"21,738",71,"12,079",743,"333,282","28,424","11,725,445 ",South America,83,"1,345",35
44,37,Portugal,"137,272",,"2,468 ",,"77,449",,"57,355",275,"13,476",242,"3,361,537","329,992","10,186,719 ",Europe,74,"4,128",3
45,38,Panama,"132,867",,"2,688 ",,"109,369",,"20,810",111,"30,635",620,"662,367","152,722","4,337,067 ",North America,33,"1,613",7
46,39,UAE,"132,629","+1,121",495 ,+5,"128,902","+1,295","3,232",,"13,357",50,"13,184,160","1,327,733","9,929,825 ",Asia,75,"20,060",1
47,40,Qatar,"132,556",+213,232 ,,"129,583",+234,"2,741",36,"47,210",83,"975,530","347,435","2,807,805 ",Asia,21,"12,103",3
48,41,Dominican Republic,"126,332",,"2,236 ",,"104,486",,"19,610",174,"11,607",205,"588,002","54,025","10,883,893 ",North America,86,"4,868",19
49,42,Kuwait,"125,926",+589,779 ,+6,"116,862",+660,"8,285",110,"29,344",182,"916,525","213,576","4,291,333 ",Asia,34,"5,509",5
50,43,Sweden,"124,355",,"5,938 ",,N/A,N/A,N/A,59,"12,288",587,"2,242,469","221,584","10,120,195 ",Europe,81,"1,704",5
51,44,Oman,"114,434",,"1,208 ",,"103,060",,"10,166",185,"22,226",235,"376,700","73,164","5,148,705 ",Asia,45,"4,262",14
52,45,Kazakhstan,"111,953",+461,"1,825 ",,"106,310",+123,"3,818",221,"5,939",97,"3,309,626","175,569","18,850,814 ",Asia,168,"10,329",6
53,46,Costa Rica,"108,866",,"1,371 ",,"66,202",,"41,293",186,"21,306",268,"308,063","60,292","5,109,523 ",North America,47,"3,727",17
54,47,Egypt,"107,376",,"6,258 ",,"99,353",,"1,765",41,"1,043",61,"135,000","1,311","102,965,454 ",Africa,959,"16,453",763
55,48,Guatemala,"107,339",,"3,714 ",,"96,752",,"6,873",5,"5,955",206,"430,041","23,859","18,023,974 ",North America,168,"4,853",42
56,49,Japan,"99,622",,"1,744 ",,"91,890",,"5,988",156,788,14,"2,681,667","21,225","126,346,336 ",Asia,"1,268","72,446",47
57,50,Austria,"99,576",,"1,082 ",,"64,987",,"33,507",263,"11,035",120,"2,203,993","244,251","9,023,489 ",Europe,91,"8,340",4
58,51,Belarus,"97,499",,977 ,,"85,982",,"10,540",,"10,319",103,"2,470,207","261,445","9,448,282 ",Europe,97,"9,671",4
59,52,Honduras,"96,888",+738,"2,669 ",+8,"40,129",+325,"54,090",23,"9,731",268,"227,440","22,844","9,956,316 ",North America,103,"3,730",44
60,53,Ethiopia,"95,789",,"1,464 ",,"51,713",,"42,612",327,827,13,"1,474,983","12,728","115,887,075 ",Africa,"1,210","79,158",79
61,54,Venezuela,"91,589",,793 ,,"86,335",,"4,461",117,"3,224",28,"2,127,032","74,872","28,408,869 ",South America,310,"35,825",13
62,55,Armenia,"89,813","+2,381","1,341 ",+41,"55,317","+1,001","33,155",,"30,290",452,"402,588","135,776","2,965,094 ",Asia,33,"2,211",7
63,56,Bahrain,"81,466",,320 ,+1,"78,365",,"2,781",19,"47,351",186,"1,741,755","1,012,364","1,720,483 ",Asia,21,"5,377",1
64,57,Lebanon,"79,529",,625 ,,"40,352",,"38,552",270,"11,669",92,"1,212,828","177,960","6,815,156 ",Asia,86,"10,904",6
65,58,Hungary,"75,321","+3,908","1,750 ",+51,"19,032","+1,079","54,539",281,"7,804",181,"1,065,143","110,353","9,652,112 ",Europe,128,"5,515",9
66,59,Moldova,"75,201",,"1,766 ",,"55,190",,"18,245",789,"18,657",438,"370,107","91,819","4,030,815 ",Europe,54,"2,282",11
67,60,Jordan,"69,306",,772 ,,"7,600",,"60,934",55,"6,770",75,"1,837,854","179,537","10,236,643 ",Asia,148,"13,260",6
68,61,Uzbekistan,"66,628",,563 ,,"63,864",,"2,201",252,"1,981",17,"1,377,915","40,974","33,628,723 ",Asia,505,"59,731",24
69,62,Nigeria,"62,691",,"1,144 ",,"58,430",,"3,117",7,302,6,"620,758","2,987","207,796,448 ",Africa,"3,315","181,640",335
70,63,Paraguay,"62,596",,"1,387 ",,"42,337",,"18,872",122,"8,741",194,"361,696","50,506","7,161,435 ",South America,114,"5,163",20
