,"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region
0,China,76290,826.0,2345.0,109.0,20740.0,11477.0,Asia
1,Diamond Princess,634,,2.0,,17.0,27.0,
2,S. Korea,346,137.0,2.0,,17.0,9.0,Asia
3,Japan,110,1.0,1.0,,22.0,5.0,Asia
4,Singapore,86,,,,47.0,5.0,Asia
5,Hong Kong,69,,2.0,,6.0,6.0,Asia
6,Thailand,35,,,,19.0,2.0,Asia
7,USA *,35,,,,6.0,,N.America
8,Taiwan,26,,1.0,,2.0,1.0,Asia
9,Italy,22,1.0,1.0,,1.0,6.0,Europe
10,Malaysia,22,,,,17.0,,Asia
11,Australia,21,2.0,,,11.0,,Oceania
12,Iran,18,,4.0,,,,Asia
13,Germany,16,,,,14.0,,Europe
14,Vietnam,16,,,,15.0,,Asia
15,France,12,,1.0,,7.0,,Europe
16,U.A.E.,11,,,,3.0,1.0,Asia
17,Macao,10,,,,6.0,,Asia
18,Canada,9,,,,3.0,,N.America
19,U.K.,9,,,,8.0,,Europe
20,Philippines,3,,1.0,,2.0,,Asia
21,India,3,,,,3.0,,Asia
22,Russia,2,,,,2.0,,Europe
23,Spain,2,,,,2.0,,Europe
24,Belgium,1,,,,1.0,,Europe
25,Cambodia,1,,,,1.0,,Asia
26,Egypt,1,,,,1.0,,Africa
27,Finland,1,,,,1.0,,Europe
28,Israel,1,,,,,,Asia
29,Lebanon,1,,,,,,Asia
30,Nepal,1,,,,1.0,,Asia
31,Sri Lanka,1,,,,1.0,,Asia
32,Sweden,1,,,,,,Europe
