,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","12,215,561","+114,840","364,534","+1,058","7,927,510","+47,436","3,923,517","22,179",,,,,,North America,"
",,
1,,"
Asia
","14,425,591","+94,889","255,356","+1,500","12,881,188","+92,987","1,289,047","23,041",,,,,,Asia,"
",,
2,,"
South America
","9,997,865","+29,675","302,485",+640,"8,934,690","+27,369","760,690","17,710",,,,,,South America,"
",,
3,,"
Europe
","12,145,825","+217,518","292,872","+2,326","4,408,990","+57,175","7,443,963","27,151",,,,,,Europe,"
",,
4,,"
Africa
","1,893,619","+12,490","45,434",+238,"1,595,468","+10,046","252,717","2,434",,,,,,Africa,"
",,
5,,"
Oceania
","40,312",+14,980,,"32,851",+17,"6,481",26,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,659,,47,4,,,,,,,"
",,
7,,World,"50,719,494","+469,426","1,261,676","+5,762","35,781,356","+235,030","13,676,462","92,545","6,507",161.9,,,,All,"
",,
8,1,USA,"10,287,066","+101,558","243,756 ",+500,"6,482,816","+38,731","3,560,494","18,434","31,014",735,"157,499,250","474,831","331,695,704 ",North America,32,"1,361",2
9,2,India,"8,553,864","+46,661","126,653 ",+491,"7,915,660","+48,369","511,551","8,944","6,177",91,"117,736,791","85,019","1,384,826,785 ",Asia,162,"10,934",12
10,3,Brazil,"5,664,115","+10,554","162,397 ",+111,"5,064,344",,"437,374","8,318","26,580",762,"21,900,000","102,770","213,098,160 ",South America,38,"1,312",10
11,4,France,"1,787,324","+38,619","40,439 ",+270,"128,614",+676,"1,618,271","4,539","27,360",619,"17,891,276","273,880","65,325,294 ",Europe,37,"1,615",4
12,5,Russia,"1,774,334","+20,498","30,537 ",+286,"1,324,419","+11,492","419,378","2,300","12,157",209,"64,600,000","442,596","145,956,940 ",Europe,82,"4,780",2
