,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","6,248,710","+7,255","238,792",+942,"3,375,340","+5,263","2,634,578","24,604",,,,,,North America,"
",,
1,,"
South America
","4,887,320","+1,693","163,440",+49,"3,486,335",+930,"1,237,545","14,735",,,,,,South America,"
",,
2,,"
Asia
","5,220,766","+13,868","112,815",+244,"3,964,986","+10,824","1,142,965","18,873",,,,,,Asia,"
",,
3,,"
Europe
","3,091,074","+7,069","206,973",+154,"1,857,446","+9,708","1,026,655","5,190",,,,,,Europe,"
",,
4,,"
Africa
","1,069,093",,"23,912",,"761,639",+20,"283,542","1,207",,,,,,Africa,"
",,
5,,"
Oceania
","24,073",+414,378,+21,"14,092",+6,"9,603",52,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,651,,55,4,,,,,,,"
",,
7,,World,"20,541,757","+30,299","746,325","+1,410","13,460,489","+26,751","6,334,943","64,665","2,635",95.7,,,,All,"
",,
8,1,USA,"5,305,957",,"167,749 ",,"2,755,608",+260,"2,382,600","17,339","16,019",506,"66,942,357","202,106","331,224,597 ",North America,62,"1,975",5
9,2,Brazil,"3,112,393",,"103,099 ",,"2,243,124",,"766,170","8,318","14,631",485,"13,231,548","62,198","212,731,302 ",South America,68,"2,063",16
10,3,India,"2,332,908","+4,503","46,216 ",+28,"1,640,362","+2,261","646,330","8,944","1,689",33,"26,015,297","18,831","1,381,530,198 ",Asia,592,"29,893",53
11,4,Russia,"902,701","+5,102","15,260 ",+129,"710,298","+7,123","177,143","2,300","6,185",105,"31,300,000","214,469","145,941,776 ",Europe,162,"9,564",5
12,5,South Africa,"566,109",,"10,751 ",,"426,125",,"129,233",539,"9,532",181,"3,278,977","55,209","59,391,781 ",Africa,105,"5,524",18
13,6,Mexico,"492,522","+6,686","53,929 ",+926,"332,800","+4,807","105,793","3,832","3,815",418,"1,112,114","8,615","129,084,654 ",North America,262,"2,394",116
14,7,Peru,"489,680",,"21,501 ",,"335,756",,"132,423","1,496","14,829",651,"2,612,599","79,115","33,022,595 ",South America,67,"1,536",13
15,8,Colombia,"410,453",,"13,475 ",,"230,427",,"166,551","1,493","8,057",265,"1,982,831","38,922","50,943,667 ",South America,124,"3,781",26
