,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,81008,,3255.0,,71740.0,6013,1927.0,56.0
1,Italy,53578,"+6,557",4825.0,793.0,6072.0,42681,2857.0,886.0
2,Spain,25496,"+3,925",1378.0,285.0,2125.0,21993,1612.0,545.0
3,USA,23513,"+4,130",290.0,34.0,171.0,23052,64.0,71.0
4,Germany,22255,"+2,407",84.0,16.0,209.0,21962,2.0,266.0
5,Iran,20610,+966,1556.0,123.0,7635.0,11419,,245.0
6,France,14459,"+1,847",562.0,112.0,1587.0,12310,1525.0,222.0
7,S. Korea,8799,+147,102.0,8.0,2612.0,6085,59.0,172.0
8,Switzerland,6863,"+1,248",80.0,24.0,131.0,6652,141.0,793.0
9,UK,5018,"+1,035",233.0,56.0,93.0,4692,20.0,74.0
10,Netherlands,3631,+637,136.0,30.0,2.0,3493,354.0,212.0
11,Austria,2992,+343,8.0,2.0,9.0,2975,15.0,332.0
12,Belgium,2815,+558,67.0,30.0,263.0,2485,288.0,243.0
13,Norway,2164,+205,7.0,,6.0,2151,28.0,399.0
14,Sweden,1770,+131,20.0,4.0,16.0,1734,71.0,175.0
15,Canada,1328,+241,19.0,7.0,14.0,1295,1.0,35.0
16,Denmark,1326,+71,13.0,4.0,1.0,1312,42.0,229.0
17,Portugal,1280,+260,12.0,6.0,5.0,1263,26.0,126.0
18,Malaysia,1183,+153,8.0,5.0,114.0,1061,26.0,37.0
19,Brazil,1128,+158,18.0,7.0,2.0,1108,18.0,5.0
20,Australia,1072,+144,7.0,,46.0,1019,2.0,42.0
21,Japan,1054,+47,36.0,1.0,215.0,803,55.0,8.0
22,Czechia,995,+162,,,6.0,989,7.0,93.0
23,Turkey,947,+277,21.0,12.0,,926,,11.0
24,Israel,883,+178,1.0,,36.0,846,15.0,102.0
25,Ireland,785,+102,3.0,,5.0,777,13.0,159.0
26,Diamond Princess,712,,8.0,,567.0,137,15.0,
27,Luxembourg,670,+186,8.0,3.0,6.0,656,3.0,1070.0
28,Pakistan,645,+144,3.0,,13.0,629,,3.0
29,Chile,537,+103,1.0,1.0,8.0,528,7.0,28.0
30,Poland,536,+111,5.0,,13.0,518,3.0,14.0
31,Ecuador,532,+106,7.0,,3.0,522,2.0,30.0
32,Greece,530,+35,13.0,3.0,19.0,498,18.0,51.0
33,Finland,523,+73,1.0,1.0,10.0,512,2.0,94.0
34,Qatar,481,+11,,,27.0,454,6.0,167.0
35,Iceland,473,+64,1.0,1.0,5.0,467,1.0,1386.0
36,Indonesia,450,+81,38.0,6.0,20.0,392,,2.0
37,Singapore,432,+47,2.0,2.0,140.0,290,14.0,74.0
38,Thailand,411,+89,1.0,,44.0,366,7.0,6.0
39,Saudi Arabia,392,+48,,,16.0,376,,11.0
40,Slovenia,383,+42,1.0,,,382,12.0,184.0
41,Romania,367,+59,,,52.0,315,14.0,19.0
42,India,332,+83,5.0,,23.0,304,,0.2
43,Peru,318,+55,5.0,1.0,1.0,312,5.0,10.0
