,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,World,1529975,"+12,015",89427.0,972.0,337276.0,1103272,48203.0,196.0,11.5,,
1,USA,435160,+233,14797.0,9.0,22891.0,397472,9279.0,1315.0,45.0,2226116.0,6725.0
2,Spain,152446,"+4,226",15238.0,446.0,52165.0,85043,7069.0,3261.0,326.0,355000.0,7593.0
3,Italy,139422,,17669.0,,26491.0,95262,3693.0,2306.0,292.0,807125.0,13349.0
4,Germany,113296,,2349.0,,46300.0,64647,4895.0,1352.0,28.0,1317887.0,15730.0
5,France,112950,,10869.0,,21254.0,80827,7148.0,1730.0,167.0,224254.0,3436.0
6,Iran,64586,,3993.0,,29812.0,30781,3987.0,769.0,48.0,211136.0,2514.0
7,UK,60733,,7097.0,,135.0,53501,1559.0,895.0,105.0,282074.0,4155.0
8,Turkey,38226,,812.0,,1846.0,35568,1492.0,453.0,10.0,247768.0,2938.0
9,Belgium,24983,"+1,580",2523.0,283.0,5164.0,17296,1285.0,2156.0,218.0,84248.0,7269.0
10,Switzerland,23514,+234,913.0,18.0,9800.0,12801,391.0,2717.0,105.0,171938.0,19867.0
11,Netherlands,20549,,2248.0,,250.0,18051,1424.0,1199.0,131.0,101534.0,5926.0
12,Canada,19438,,435.0,8.0,4653.0,14350,518.0,515.0,12.0,370315.0,9812.0
13,Brazil,16238,+50,823.0,3.0,173.0,15242,296.0,76.0,4.0,54824.0,258.0
14,Portugal,13141,,380.0,,196.0,12565,245.0,1289.0,37.0,131127.0,12860.0
15,Austria,13074,+132,295.0,22.0,5240.0,7539,266.0,1452.0,33.0,126287.0,14022.0
16,S. Korea,10423,+39,204.0,4.0,6973.0,3246,55.0,203.0,4.0,477304.0,9310.0
17,Russia,10131,"+1,459",76.0,13.0,698.0,9357,8.0,69.0,0.5,1004719.0,6885.0
18,Israel,9755,+351,79.0,6.0,864.0,8812,165.0,1127.0,9.0,117339.0,13557.0
19,Sweden,8419,,687.0,,205.0,7527,678.0,834.0,68.0,54700.0,5416.0
20,India,6237,+321,186.0,8.0,569.0,5482,,5.0,0.1,167235.0,121.0
21,Australia,6104,+52,51.0,1.0,2987.0,3066,81.0,239.0,2.0,330134.0,12946.0
22,Ireland,6074,,235.0,,25.0,5814,165.0,1230.0,48.0,42484.0,8604.0
23,Norway,6042,,101.0,,32.0,5909,78.0,1115.0,19.0,113896.0,21009.0
24,Chile,5546,,48.0,,1115.0,4383,362.0,290.0,3.0,60391.0,3159.0
25,Denmark,5402,,218.0,,1621.0,3563,127.0,933.0,38.0,64002.0,11050.0
26,Poland,5341,+136,164.0,5.0,284.0,4893,160.0,141.0,4.0,107597.0,2843.0
27,Czechia,5335,+23,104.0,5.0,243.0,4988,96.0,498.0,10.0,106845.0,9977.0
28,Romania,5202,+441,229.0,9.0,647.0,4326,178.0,270.0,12.0,51802.0,2693.0
29,Japan,4667,,94.0,,632.0,3941,99.0,37.0,0.7,61498.0,486.0
30,Ecuador,4450,,242.0,,140.0,4068,146.0,252.0,14.0,14406.0,817.0
31,Pakistan,4414,+151,63.0,2.0,572.0,3779,31.0,20.0,0.3,44896.0,203.0
32,Peru,4342,,121.0,,1333.0,2888,113.0,132.0,4.0,39599.0,1201.0
33,Malaysia,4228,+109,67.0,2.0,1608.0,2553,72.0,131.0,2.0,63367.0,1958.0
34,Philippines,4076,+206,203.0,21.0,124.0,3749,1.0,37.0,2.0,24500.0,224.0
35,Indonesia,3293,+337,280.0,40.0,252.0,2761,,12.0,1.0,14354.0,52.0
36,Mexico,3181,+396,174.0,33.0,633.0,2374,89.0,25.0,1.0,25410.0,197.0
