,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,World,3467466,"+69,372",243750.0,"+4,302",1113549.0,2110167,50869.0,445.0,31.3,,
1,USA,1152328,"+21,298",66921.0,"+1,168",170179.0,915228,16481.0,3481.0,202.0,6888582.0,20811.0
2,Spain,245567,"+2,588",25100.0,+276,146233.0,74234,2386.0,5252.0,537.0,1528833.0,32699.0
3,Italy,209328,"+1,900",28710.0,+474,79914.0,100704,1539.0,3462.0,475.0,2108837.0,34879.0
4,UK,182260,"+4,806",28131.0,+621,,153785,1559.0,2685.0,414.0,1129907.0,16644.0
5,France,168396,"+1,050",24760.0,+166,50562.0,93074,3827.0,2580.0,379.0,1100228.0,16856.0
6,Germany,164602,+525,6755.0,+19,129000.0,28847,2105.0,1965.0,81.0,2547052.0,30400.0
7,Turkey,124375,"+1,983",3336.0,+78,58259.0,62780,1445.0,1475.0,40.0,1111366.0,13177.0
8,Russia,124054,"+9,623",1222.0,+53,15013.0,107819,2300.0,850.0,8.0,3945518.0,27036.0
9,Iran,96448,+802,6156.0,+65,77350.0,12942,2787.0,1148.0,73.0,484541.0,5769.0
10,Brazil,92865,+756,6491.0,+81,38039.0,48335,8318.0,437.0,31.0,339552.0,1597.0
11,Canada,56580,"+1,519",3560.0,+169,23316.0,29704,557.0,1499.0,94.0,832222.0,22050.0
12,Belgium,49517,+485,7765.0,+62,12211.0,29541,689.0,4273.0,670.0,260996.0,22520.0
13,Peru,42534,"+2,075",1200.0,+76,12434.0,28900,671.0,1290.0,36.0,355604.0,10785.0
14,Netherlands,40236,+445,4987.0,+94,,34999,708.0,2348.0,291.0,225899.0,13184.0
15,India,39699,"+2,442",1323.0,+100,10819.0,27557,,29.0,1.0,976363.0,708.0
16,Switzerland,29817,+112,1762.0,+8,23900.0,4155,141.0,3445.0,204.0,276000.0,31890.0
17,Ecuador,27464,"+1,128",1371.0,+308,2132.0,23961,149.0,1557.0,78.0,73929.0,4190.0
18,Saudi Arabia,25459,"+1,362",176.0,+7,3765.0,21518,139.0,731.0,5.0,339775.0,9760.0
19,Portugal,25190,+203,1023.0,+16,1671.0,22496,150.0,2470.0,100.0,426836.0,41860.0
20,Sweden,22082,+562,2669.0,+16,1005.0,18408,531.0,2186.0,264.0,119500.0,11833.0
21,Ireland,21176,+343,1286.0,+21,13386.0,6504,99.0,4289.0,260.0,169377.0,34302.0
22,Mexico,20739,"+1,515",1972.0,+113,12377.0,6390,378.0,161.0,15.0,91188.0,707.0
23,Pakistan,19022,+930,437.0,+20,4753.0,13832,111.0,86.0,2.0,193859.0,878.0
24,Chile,18435,"+1,427",247.0,+13,9572.0,8616,425.0,964.0,13.0,199400.0,10431.0
25,Singapore,17548,+447,17.0,+1,1347.0,16184,24.0,2999.0,3.0,143919.0,24600.0
26,Israel,16185,+84,229.0,+4,9593.0,6363,105.0,1870.0,26.0,390022.0,45060.0
27,Belarus,15828,+911,97.0,+4,3117.0,12614,92.0,1675.0,10.0,195430.0,20682.0
28,Austria,15558,+27,596.0,+7,13180.0,1782,114.0,1727.0,66.0,269619.0,29936.0
29,Qatar,14872,+776,12.0,,1534.0,13326,72.0,5162.0,4.0,101728.0,35309.0
30,Japan,14305,,455.0,,2975.0,10875,328.0,113.0,4.0,174150.0,1377.0
31,UAE,13599,+561,119.0,+8,2664.0,10816,1.0,1375.0,12.0,1200000.0,121330.0
32,Poland,13375,+270,664.0,+13,3762.0,8949,160.0,353.0,18.0,366013.0,9671.0
33,Romania,12732,+165,771.0,+27,4547.0,7414,265.0,662.0,40.0,190540.0,9905.0
34,Ukraine,11411,+550,279.0,+7,1498.0,9634,151.0,261.0,6.0,122752.0,2807.0
35,Indonesia,10843,+292,831.0,+31,1665.0,8347,,40.0,3.0,107943.0,395.0
36,S. Korea,10780,+6,250.0,+2,9123.0,1407,55.0,210.0,5.0,623069.0,12153.0
37,Denmark,9407,+96,475.0,+15,6889.0,2043,60.0,1624.0,82.0,221912.0,38312.0
38,Serbia,9362,+157,189.0,+4,1426.0,7747,57.0,1071.0,22.0,96637.0,11060.0
39,Philippines,8928,+156,603.0,+24,1124.0,7201,31.0,81.0,6.0,115012.0,1050.0
40,Bangladesh,8790,+552,175.0,+5,177.0,8438,1.0,53.0,1.0,76066.0,462.0
41,Norway,7801,+18,211.0,+1,32.0,7558,37.0,1439.0,39.0,172586.0,31835.0
42,Czechia,7750,+13,245.0,+5,3446.0,4059,67.0,724.0,23.0,253826.0,23702.0
43,Dominican Republic,7578,+290,326.0,+13,1481.0,5771,144.0,699.0,30.0,30102.0,2775.0
44,Colombia,7006,,314.0,,1551.0,5141,118.0,138.0,6.0,108950.0,2141.0
45,Australia,6783,+16,93.0,,5789.0,901,28.0,266.0,4.0,611583.0,23984.0
46,Panama,6720,+188,192.0,+4,622.0,5906,85.0,1557.0,44.0,31895.0,7392.0
47,South Africa,6336,+385,123.0,+7,2549.0,3664,36.0,107.0,2.0,230686.0,3890.0
48,Egypt,6193,+298,415.0,+9,1522.0,4256,,61.0,4.0,90000.0,879.0
49,Malaysia,6176,+105,103.0,,4326.0,1747,31.0,191.0,3.0,184213.0,5692.0
50,Finland,5176,+125,220.0,+2,3000.0,1956,52.0,934.0,40.0,101800.0,18373.0
51,Morocco,4729,+160,173.0,+2,1256.0,3300,1.0,128.0,5.0,39367.0,1067.0
52,Kuwait,4619,+242,33.0,+3,1703.0,2883,69.0,1082.0,8.0,179000.0,41915.0
53,Argentina,4532,,229.0,+4,1320.0,2983,157.0,100.0,5.0,63866.0,1413.0
54,Algeria,4295,+141,459.0,+6,1872.0,1964,22.0,98.0,10.0,6500.0,148.0
55,Moldova,4052,+72,124.0,+2,1334.0,2594,237.0,1004.0,31.0,11763.0,2916.0
56,Kazakhstan,3857,+260,25.0,,985.0,2847,41.0,205.0,1.0,282862.0,15065.0
57,Luxembourg,3812,+10,92.0,,3318.0,402,23.0,6090.0,147.0,47460.0,75817.0
58,Bahrain,3284,+114,8.0,,1568.0,1708,1.0,1930.0,5.0,139354.0,81897.0
59,Thailand,2966,+6,54.0,,2732.0,180,61.0,42.0,0.8,178083.0,2551.0
60,Hungary,2942,+79,335.0,+12,625.0,1982,52.0,305.0,35.0,79551.0,8235.0
61,Greece,2620,+8,143.0,+3,1374.0,1103,37.0,251.0,14.0,78207.0,7503.0
62,Oman,2483,+36,12.0,+1,750.0,1721,17.0,486.0,2.0,40459.0,7923.0
63,Afghanistan,2469,+134,72.0,+4,331.0,2066,7.0,63.0,2.0,11068.0,284.0
64,Armenia,2273,+125,33.0,,1010.0,1230,10.0,767.0,11.0,23142.0,7810.0
65,Iraq,2219,+66,95.0,+1,1473.0,651,,55.0,2.0,98253.0,2443.0
66,Nigeria,2170,,68.0,,351.0,1751,2.0,11.0,0.3,16588.0,80.0
67,Ghana,2169,+95,18.0,+1,229.0,1922,4.0,70.0,0.6,113497.0,3653.0
68,Uzbekistan,2118,+32,9.0,,1271.0,838,8.0,63.0,0.3,242536.0,7247.0
69,Croatia,2088,+3,77.0,+2,1463.0,548,17.0,509.0,19.0,37557.0,9148.0
70,Cameroon,2077,+245,64.0,+3,953.0,1060,12.0,78.0,2.0,,
71,Azerbaijan,1894,+40,25.0,,1411.0,458,17.0,187.0,2.0,152597.0,15050.0
72,Bosnia and Herzegovina,1839,+58,72.0,+2,779.0,988,4.0,561.0,22.0,32783.0,9992.0
73,Iceland,1798,,10.0,,1706.0,82,,5269.0,29.0,50002.0,146529.0
74,Estonia,1699,+5,53.0,+1,256.0,1390,7.0,1281.0,40.0,54464.0,41057.0
75,Cuba,1611,+74,66.0,+2,765.0,780,10.0,142.0,6.0,51506.0,4547.0
76,Bulgaria,1594,+39,72.0,+4,287.0,1235,43.0,229.0,10.0,47636.0,6856.0
77,Guinea,1537,,7.0,,342.0,1188,,117.0,0.5,,
78,North Macedonia,1506,+12,82.0,+1,852.0,572,21.0,723.0,39.0,16997.0,8158.0
79,New Zealand,1485,+6,20.0,+1,1263.0,202,,308.0,4.0,145589.0,30191.0
80,Slovenia,1439,+5,94.0,+2,239.0,1106,21.0,692.0,45.0,55020.0,26465.0
81,Slovakia,1407,+4,24.0,+1,608.0,775,5.0,258.0,4.0,94770.0,17358.0
82,Lithuania,1406,+7,46.0,+1,632.0,728,17.0,516.0,17.0,138270.0,50792.0
83,Ivory Coast,1333,,15.0,,597.0,721,,51.0,0.6,10073.0,382.0
84,Bolivia,1229,+62,66.0,+4,134.0,1029,3.0,105.0,6.0,5791.0,496.0
85,Senegal,1115,+91,9.0,,368.0,738,1.0,67.0,0.5,466.0,28.0
86,Djibouti,1112,+15,2.0,,686.0,424,,1126.0,2.0,13856.0,14024.0
87,Hong Kong,1040,,4.0,,864.0,172,4.0,139.0,0.5,154989.0,20674.0
88,Tunisia,998,,41.0,,316.0,641,24.0,84.0,3.0,23526.0,1991.0
89,Honduras,899,+95,75.0,,112.0,712,10.0,91.0,8.0,3643.0,368.0
90,Latvia,871,+1,16.0,,348.0,507,2.0,462.0,8.0,63102.0,33455.0
91,Cyprus,864,+7,15.0,,296.0,553,15.0,716.0,12.0,62267.0,51573.0
92,Albania,789,+7,31.0,,519.0,239,4.0,274.0,11.0,8669.0,3012.0
93,Kyrgyzstan,769,+13,8.0,,527.0,234,12.0,118.0,1.0,51472.0,7889.0
94,Andorra,747,+2,44.0,+1,472.0,231,17.0,9668.0,569.0,1673.0,21653.0
95,Lebanon,733,+4,25.0,+1,197.0,511,43.0,107.0,4.0,37880.0,5550.0
96,Costa Rica,733,+8,6.0,,372.0,355,6.0,144.0,1.0,13632.0,2676.0
