,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
0,USA,142746,+286,2489.0,5.0,4562.0,135695,2970.0,431.0,8.0,Jan 20
1,Italy,97689,,10779.0,,13030.0,73880,3906.0,1616.0,178.0,Jan 29
2,Spain,85195,"+5,085",7340.0,537.0,16780.0,61075,5231.0,1822.0,157.0,Jan 30
3,Germany,62435,,541.0,,9211.0,52683,1979.0,745.0,6.0,Jan 26
4,Iran,41495,"+3,186",2757.0,117.0,13911.0,24827,3511.0,494.0,33.0,Feb 18
5,France,40174,,2606.0,,7202.0,30366,4632.0,615.0,40.0,Jan 23
6,UK,19522,,1228.0,,135.0,18159,163.0,288.0,18.0,Jan 30
7,Switzerland,15069,+240,312.0,12.0,1823.0,12934,301.0,1741.0,36.0,Feb 24
8,Belgium,11899,"+1,063",513.0,82.0,1527.0,9859,927.0,1027.0,44.0,Feb 03
9,Netherlands,10866,,771.0,,250.0,9845,972.0,634.0,45.0,Feb 26
10,S. Korea,9661,+78,158.0,6.0,5228.0,4275,59.0,188.0,3.0,Jan 19
11,Turkey,9217,,131.0,,105.0,8981,568.0,109.0,2.0,Mar 09
12,Austria,9103,+315,108.0,22.0,636.0,8359,193.0,1011.0,12.0,Feb 24
13,Canada,6320,,65.0,,573.0,5682,120.0,167.0,2.0,Jan 24
14,Portugal,5962,,119.0,,43.0,5800,89.0,585.0,12.0,Mar 01
15,Israel,4347,+100,16.0,1.0,134.0,4197,80.0,502.0,2.0,Feb 20
16,Norway,4313,+29,29.0,3.0,7.0,4277,91.0,796.0,5.0,Feb 25
17,Brazil,4256,,136.0,,6.0,4114,296.0,20.0,0.6,Feb 24
18,Australia,4245,+82,18.0,1.0,244.0,3983,28.0,166.0,0.7,Jan 24
19,Sweden,3700,,110.0,,16.0,3574,281.0,366.0,11.0,Jan 30
20,Czechia,2859,+42,17.0,1.0,11.0,2831,52.0,267.0,2.0,Feb 29
21,Malaysia,2626,+156,37.0,2.0,479.0,2110,94.0,81.0,1.0,Jan 24
22,Ireland,2615,,46.0,,5.0,2564,59.0,530.0,9.0,Feb 28
23,Denmark,2555,+160,72.0,,1.0,2482,113.0,441.0,12.0,Feb 26
24,Chile,2139,,7.0,,75.0,2057,7.0,112.0,0.4,Mar 02
25,Romania,1952,+137,44.0,1.0,206.0,1702,31.0,101.0,2.0,Feb 25
26,Luxembourg,1950,,21.0,,40.0,1889,25.0,3115.0,34.0,Feb 28
27,Ecuador,1924,,58.0,,3.0,1863,58.0,109.0,3.0,Feb 28
28,Poland,1905,+43,26.0,4.0,7.0,1872,3.0,50.0,0.7,Mar 03
29,Japan,1866,,54.0,,424.0,1388,56.0,15.0,0.4,Jan 14
30,Russia,1836,+302,9.0,1.0,66.0,1761,8.0,13.0,0.06,Jan 30
31,Pakistan,1625,+28,18.0,4.0,29.0,1578,11.0,7.0,0.08,Feb 25
32,Philippines,1546,+128,78.0,7.0,42.0,1426,1.0,14.0,0.7,Jan 29
33,Thailand,1524,+136,9.0,2.0,229.0,1286,11.0,22.0,0.1,Jan 12
34,Indonesia,1414,+129,122.0,8.0,75.0,1217,,5.0,0.4,Mar 01
35,Finland,1343,+103,11.0,,10.0,1322,32.0,242.0,2.0,Jan 28
36,Saudi Arabia,1299,,8.0,,66.0,1225,12.0,37.0,0.2,Mar 01
37,South Africa,1280,,2.0,,31.0,1247,7.0,22.0,0.03,Mar 04
38,Greece,1156,,39.0,,52.0,1065,66.0,111.0,4.0,Feb 25
39,India,1071,+47,29.0,2.0,100.0,942,,0.8,0.02,Jan 29
40,Iceland,1020,,2.0,,135.0,883,25.0,2989.0,6.0,Feb 27
41,Mexico,993,+145,20.0,4.0,35.0,938,1.0,8.0,0.2,Feb 27
42,Panama,989,,24.0,,4.0,961,36.0,229.0,6.0,Mar 09
43,Dominican Republic,859,,39.0,,3.0,817,,79.0,4.0,Feb 29
44,Peru,852,,18.0,,16.0,818,40.0,26.0,0.5,Mar 05
45,Singapore,844,,3.0,,212.0,629,19.0,144.0,0.5,Jan 22
46,Argentina,820,,20.0,,91.0,709,,18.0,0.4,Mar 02
47,Slovenia,756,+26,11.0,,10.0,735,28.0,364.0,5.0,Mar 03
48,Serbia,741,,14.0,1.0,42.0,685,25.0,85.0,2.0,Mar 05
49,Croatia,715,+2,6.0,,55.0,654,26.0,174.0,1.0,Feb 24
50,Estonia,715,+36,3.0,,20.0,692,10.0,539.0,2.0,Feb 26
51,Diamond Princess,712,,10.0,,603.0,99,15.0,,,Feb 04
52,Colombia,702,,10.0,,10.0,682,29.0,14.0,0.2,Mar 05
53,Hong Kong,642,,4.0,,118.0,520,5.0,86.0,0.5,Jan 22
54,Qatar,634,,1.0,,48.0,585,6.0,220.0,0.3,Feb 28
55,Egypt,609,,40.0,,132.0,437,,6.0,0.4,Feb 13
56,New Zealand,589,+75,1.0,,63.0,525,2.0,122.0,0.2,Feb 27
57,UAE,570,,3.0,,58.0,509,2.0,58.0,0.3,Jan 28
58,Iraq,547,,42.0,,143.0,362,,14.0,1.0,Feb 21
59,Morocco,516,+37,27.0,1.0,13.0,476,1.0,14.0,0.7,Mar 01
60,Bahrain,515,+16,4.0,,279.0,232,2.0,303.0,2.0,Feb 23
61,Algeria,511,,31.0,,31.0,449,,12.0,0.7,Feb 24
62,Lithuania,484,+24,7.0,,1.0,476,2.0,178.0,3.0,Feb 27
63,Armenia,482,+58,3.0,,30.0,449,15.0,163.0,1.0,Feb 29
64,Ukraine,480,+5,11.0,1.0,6.0,463,,11.0,0.3,Mar 02
65,Hungary,447,+39,15.0,2.0,34.0,398,6.0,46.0,2.0,Mar 03
