,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","5,609,697","+20,939","221,454",+926,"2,895,515","+6,844","2,492,728","26,059",,,,,,North America,"
",,
1,,"
South America
","4,192,732","+2,004","145,644",+103,"2,839,117","+2,913","1,207,971","14,322",,,,,,South America,"
",,
2,,"
Asia
","4,422,054","+47,197","98,814",+718,"3,271,955","+33,493","1,051,285","19,080",,,,,,Asia,"
",,
3,,"
Europe
","2,896,786","+11,219","203,776",+178,"1,747,827","+5,879","945,183","5,149",,,,,,Europe,"
",,
4,,"
Africa
","949,993","+1,263","20,041",+23,"607,381","+1,061","322,571","1,135",,,,,,Africa,"
",,
5,,"
Oceania
","19,709",+663,233,+7,"12,074",+218,"7,402",46,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,651,,55,4,,,,,,,"
",,
7,,World,"18,091,692","+83,285","689,977","+1,955","11,374,520","+50,408","6,027,195","65,795","2,321",88.5,,,,All,"
",,
8,1,USA,"4,774,551","+10,233","157,997 ",+99,"2,363,219",+316,"2,253,335","18,720","14,417",477,"59,248,588","178,906","331,171,664 ",North America,69,"2,096",6
9,2,Brazil,"2,708,876",,"93,616 ",,"1,884,051",,"731,209","8,318","12,736",440,"13,096,132","61,574","212,690,082 ",South America,79,"2,272",16
10,3,India,"1,780,268","+28,349","37,690 ",+287,"1,165,442","+18,563","577,136","8,944","1,289",27,"19,821,831","14,352","1,381,159,795 ",Asia,776,"36,645",70
11,4,Russia,"850,870","+5,427","14,128 ",+70,"650,173","+3,649","186,569","2,300","5,830",97,"28,793,260","197,295","145,940,072 ",Europe,172,"10,330",5
12,5,South Africa,"503,290",,"8,153  ",,"342,461",,"152,676",539,"8,477",137,"3,001,985","50,563","59,371,352 ",Africa,118,"7,282",20
13,6,Mexico,"434,193","+9,556","47,472 ",+784,"284,847","+6,229","101,874","3,994","3,365",368,"999,697","7,747","129,047,665 ",North America,297,"2,718",129
14,7,Peru,"422,183",,"19,408 ",,"290,835",,"111,940","1,416","12,790",588,"2,377,948","72,037","33,010,043 ",South America,78,"1,701",14
15,8,Chile,"357,658",,"9,533 ",,"330,507",,"17,618","1,445","18,696",498,"1,648,390","86,167","19,130,274 ",South America,53,"2,007",12
16,9,Spain,"335,602",,"28,445 ",,N/A,N/A,N/A,617,"7,178",608,"6,678,414","142,834","46,756,402 ",Europe,139,"1,644",7
17,10,Iran,"309,437","+2,685","17,190 ",+208,"268,102","+2,272","24,145","4,089","3,680",204,"2,508,418","29,833","84,082,937 ",Asia,272,"4,891",34
18,11,Colombia,"306,181",,"10,330 ",,"160,708",,"135,143","1,493","6,012",203,"1,609,729","31,607","50,928,858 ",South America,166,"4,930",32
19,12,UK,"303,952",,"46,193 ",,N/A,N/A,N/A,86,"4,475",680,"16,280,223","239,707","67,917,167 ",Europe,223,"1,470",4
20,13,Pakistan,"279,698",+552,"5,976 ",+6,"248,577",+550,"25,145","1,064","1,264",27,"2,010,170","9,086","221,237,160 ",Asia,791,"37,021",110
21,14,Saudi Arabia,"278,835","+1,357","2,917 ",+30,"240,081","+2,533","35,837","2,011","7,999",84,"3,432,354","98,465","34,858,507 ",Asia,125,"11,950",10
22,15,Italy,"247,832",,"35,146 ",,"200,229",,"12,457",43,"4,100",581,"6,873,496","113,698","60,453,777 ",Europe,244,"1,720",9
23,16,Bangladesh,"240,746",+886,"3,154 ",+22,"136,839",+586,"100,753",,"1,461",19,"1,189,295","7,215","164,829,004 ",Asia,685,"52,260",139
24,17,Turkey,"231,869",,"5,710 ",,"215,516",,"10,643",586,"2,747",68,"4,845,669","57,402","84,415,940 ",Asia,364,"14,784",17
25,18,Germany,"211,208",+131,"9,226 ",,"193,600",,"8,382",261,"2,520",110,"8,006,135","95,530","83,807,610 ",Europe,397,"9,084",10
26,19,Argentina,"196,543",,"3,612 ",+16,"89,026","+2,527","103,905","1,128","4,345",80,"736,007","16,272","45,231,224 ",South America,230,"12,522",61
27,20,France,"187,919",,"30,265 ",,"81,500",,"76,154",371,"2,878",464,"2,982,302","45,680","65,286,338 ",Europe,347,"2,157",22
28,21,Iraq,"129,151","+2,447","4,868 ",+63,"91,886","+2,611","32,397",498,"3,205",121,"1,029,159","25,541","40,293,665 ",Asia,312,"8,277",39
29,22,Canada,"116,599",,"8,941 ",,"101,436",,"6,222","2,249","3,087",237,"4,098,752","108,517","37,770,506 ",North America,324,"4,224",9
30,23,Indonesia,"111,455","+1,519","5,236 ",+43,"68,975","+1,056","37,244",,407,19,"1,537,413","5,616","273,768,876 ",Asia,"2,456","52,286",178
31,24,Qatar,"111,107",+196,177 ,+3,"107,779",+201,"3,151",76,"39,571",63,"500,536","178,266","2,807,805 ",Asia,25,"15,863",6
32,25,Philippines,"103,185","+5,032","2,059 ",+20,"65,557",+300,"35,569",351,941,19,"1,536,626","14,007","109,702,792 ",Asia,"1,063","53,280",71
33,26,Egypt,"94,316",,"4,834 ",,"41,137",,"48,345",41,920,47,"135,000","1,317","102,490,117 ",Africa,"1,087","21,202",759
34,27,Kazakhstan,"91,593","+1,226",793 ,,"61,839","+1,014","28,961",221,"4,873",42,"2,079,540","110,640","18,795,599 ",Asia,205,"23,702",9
35,28,Ecuador,"86,232",,"5,736 ",,"36,213",,"44,283",369,"4,881",325,"246,028","13,927","17,665,162 ",South America,205,"3,080",72
36,29,Sweden,"80,422",,"5,743 ",,N/A,N/A,N/A,40,"7,959",568,"810,356","80,196","10,104,737 ",Europe,126,"1,759",12
37,30,Oman,"79,159",,421 ,,"61,421",,"17,317",187,"15,471",82,"305,651","59,736","5,116,667 ",Asia,65,"12,154",17
38,31,Bolivia,"78,793","+2,004","3,064 ",+87,"23,968",+386,"51,761",71,"6,742",262,"168,175","14,391","11,686,283 ",South America,148,"3,814",69
39,32,Israel,"72,315",+97,531 ,+5,"45,631",+529,"26,153",340,"7,862",58,"1,781,967","193,743","9,197,590 ",Asia,127,"17,321",5
40,33,Ukraine,"72,168","+1,112","1,725 ",+16,"39,543",+235,"30,900",128,"1,651",39,"1,058,383","24,214","43,709,428 ",Europe,606,"25,339",41
41,34,Dominican Republic,"71,415",,"1,170 ",,"37,509",,"32,736",284,"6,578",108,"260,171","23,963","10,857,163 ",North America,152,"9,280",42
42,35,Belgium,"69,402",+651,"9,845 ",+4,"17,573",+27,"41,984",56,"5,986",849,"1,694,349","146,140","11,594,051 ",Europe,167,"1,178",7
43,36,Belarus,"68,067",+121,567 ,+4,"62,896",+210,"4,604",,"7,204",60,"1,319,976","139,694","9,449,043 ",Europe,139,"16,665",7
44,37,Kuwait,"67,911",+463,457 ,+4,"59,213",+688,"8,241",129,"15,883",107,"509,561","119,173","4,275,795 ",Asia,63,"9,356",8
45,38,Panama,"66,383",,"1,449 ",,"40,081",,"24,853",166,"15,365",335,"226,596","52,448","4,320,353 ",North America,65,"2,982",19
46,39,UAE,"60,999",+239,351 ,,"54,615",+360,"6,033",,"6,161",35,"5,162,080","521,399","9,900,447 ",Asia,162,"28,206",2
