,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,80824,11.0,3189.0,13.0,65566.0,12069,4020.0,56.2
1,Italy,17660,,1266.0,,1439.0,14955,1328.0,292.1
2,Iran,11364,,514.0,,3529.0,7321,,135.3
3,S. Korea,8086,107.0,72.0,5.0,714.0,7300,59.0,157.7
4,Spain,5232,,133.0,,193.0,4906,272.0,111.9
5,Germany,3675,,8.0,,46.0,3621,9.0,43.9
6,France,3661,,79.0,,12.0,3570,154.0,56.1
7,USA,2329,82.0,50.0,1.0,41.0,2238,10.0,7.0
8,Switzerland,1139,,11.0,,4.0,1124,,131.6
9,Norway,996,,1.0,,1.0,994,27.0,183.7
10,Sweden,821,7.0,1.0,,1.0,819,2.0,81.3
11,Netherlands,804,,10.0,,2.0,792,45.0,46.9
12,Denmark,804,,,,1.0,803,2.0,138.8
13,UK,798,,11.0,,18.0,769,20.0,11.8
14,Japan,738,4.0,21.0,,118.0,599,29.0,5.8
15,Diamond Princess,696,,7.0,,325.0,364,32.0,
16,Austria,602,98.0,1.0,,6.0,595,1.0,66.8
17,Belgium,559,,3.0,,1.0,555,2.0,48.2
18,Qatar,320,,,,,320,,111.1
19,Australia,226,27.0,3.0,,26.0,197,1.0,8.9
20,Bahrain,210,,,,44.0,166,1.0,123.4
21,Canada,200,2.0,1.0,,11.0,188,1.0,5.3
22,Singapore,200,,,,97.0,103,11.0,34.2
23,Malaysia,197,,,,32.0,165,4.0,6.1
24,Greece,190,,1.0,,2.0,187,2.0,18.2
25,Finland,156,1.0,,,1.0,155,,28.2
26,Israel,154,11.0,,,4.0,150,3.0,17.8
27,Brazil,151,,,,1.0,150,2.0,0.7
28,Czechia,150,9.0,,,,150,2.0,14.0
29,Slovenia,141,,,,,141,4.0,67.8
30,Hong Kong,138,6.0,4.0,,78.0,56,4.0,18.4
31,Iceland,138,4.0,,,,138,,
32,Portugal,112,,,,1.0,111,1.0,11.0
33,Iraq,101,,9.0,,24.0,68,,2.5
34,Kuwait,100,,,,5.0,95,4.0,23.4
35,Romania,97,2.0,,,7.0,90,1.0,5.0
36,Egypt,93,,2.0,,27.0,64,,0.9
37,Ireland,90,,1.0,,,89,6.0,18.2
38,Saudi Arabia,86,,,,1.0,85,,2.5
39,UAE,85,,,,20.0,65,2.0,8.6
40,Poland,84,16.0,2.0,,,82,3.0,2.2
41,Lebanon,83,6.0,3.0,,1.0,79,3.0,12.2
42,India,83,1.0,2.0,,10.0,71,,0.1
43,San Marino,80,,5.0,,2.0,73,3.0,
44,Estonia,79,,,,,79,,59.6
