,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,80761,26.0,3136.0,17.0,60115.0,17510,4794.0,56.1
1,Italy,10149,977.0,631.0,168.0,1004.0,8514,877.0,167.9
2,Iran,8042,881.0,291.0,54.0,2731.0,5020,,95.7
3,S. Korea,7513,35.0,58.0,5.0,247.0,7208,54.0,146.5
4,France,1784,372.0,33.0,3.0,12.0,1739,86.0,27.3
5,Spain,1690,459.0,35.0,5.0,135.0,1520,101.0,36.1
6,Germany,1458,234.0,2.0,,18.0,1438,9.0,17.4
7,USA,873,169.0,28.0,2.0,15.0,830,8.0,2.6
8,Diamond Princess,696,,7.0,,245.0,444,32.0,
9,Japan,581,51.0,10.0,1.0,102.0,469,31.0,4.6
10,Switzerland,497,123.0,3.0,1.0,3.0,491,,57.4
11,Netherlands,382,61.0,4.0,,,378,1.0,22.3
12,UK,373,52.0,6.0,1.0,18.0,349,,5.5
13,Sweden,351,91.0,,,1.0,350,2.0,34.8
14,Norway,339,112.0,,,1.0,338,,62.5
15,Belgium,267,28.0,,,1.0,266,2.0,23.0
16,Denmark,262,172.0,,,1.0,261,,45.2
17,Austria,182,51.0,,,4.0,178,1.0,20.2
18,Singapore,166,6.0,,,93.0,73,10.0,28.4
19,Malaysia,129,12.0,,,87.0,42,2.0,4.0
20,Hong Kong,121,5.0,3.0,,59.0,59,6.0,16.1
21,Bahrain,110,1.0,,,30.0,80,1.0,64.6
22,Australia,103,10.0,3.0,,22.0,78,1.0,4.0
23,Greece,89,5.0,,,,89,1.0,8.5
24,Canada,80,3.0,1.0,,8.0,71,1.0,2.1
25,Iceland,76,11.0,,,1.0,75,,
26,UAE,74,15.0,,,12.0,62,2.0,7.5
27,Iraq,71,,7.0,,15.0,49,,1.8
28,Kuwait,69,4.0,,,1.0,68,3.0,16.2
29,Czechia,61,23.0,,,,61,,5.7
30,Egypt,59,,1.0,,1.0,57,,0.6
31,Israel,58,8.0,,,4.0,54,1.0,6.7
32,India,56,9.0,,,4.0,52,,
33,Thailand,53,3.0,1.0,,33.0,19,1.0,0.8
