,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
0,China,80270,119.0,2981.0,38.0,27406,49883.0,6416.0
1,S. Korea,5328,142.0,32.0,,5262,34.0,27.0
2,Italy,2502,,79.0,,2263,160.0,229.0
3,Iran,2336,,77.0,,1824,435.0,
4,Diamond Princess,706,,6.0,,600,100.0,36.0
5,Japan,293,,6.0,,244,43.0,23.0
6,France,212,,4.0,,196,12.0,8.0
7,Germany,203,,,,187,16.0,2.0
8,Spain,165,,1.0,,162,2.0,3.0
9,USA,124,,9.0,,106,9.0,7.0
10,Singapore,110,,,,32,78.0,7.0
11,Hong Kong,101,,2.0,,62,37.0,6.0
12,Switzerland,58,,,,56,2.0,
13,Kuwait,56,,,,56,,
14,U.K.,51,,,,43,8.0,
15,Bahrain,49,,,,49,,
16,Thailand,43,,1.0,,12,30.0,1.0
17,Taiwan,42,,1.0,,29,12.0,
18,Australia,39,,1.0,,17,21.0,1.0
19,Malaysia,36,,,,14,22.0,
20,Canada,33,3.0,,,26,7.0,
21,Norway,33,,,,33,,
22,Iraq,32,,,,32,,
23,Sweden,30,,,,29,1.0,
24,U.A.E.,27,,,,22,5.0,2.0
25,Austria,24,,,,24,,
26,Netherlands,23,,,,23,,1.0
27,Vietnam,16,,,,0,16.0,
28,Iceland,14,,,,13,1.0,
29,Belgium,13,,,,12,1.0,
30,Lebanon,13,,,,13,,
31,Israel,12,,,,11,1.0,
32,Oman,12,,,,10,2.0,
33,San Marino,10,,1.0,,9,,1.0
34,Macao,10,,,,1,9.0,
35,Denmark,10,,,,10,,
36,Croatia,9,,,,9,,
37,Algeria,8,,,,8,,
38,Qatar,8,,,,8,,
39,Ecuador,7,,,,7,,1.0
40,Finland,7,,,,6,1.0,
41,Greece,7,,,,7,,
42,India,6,,,,3,3.0,
43,Mexico,6,,,,5,1.0,
44,Czechia,5,,,,5,,
45,Pakistan,5,,,,5,,
46,Portugal,4,,,,4,,
47,Romania,4,,,,3,1.0,
48,Philippines,3,,1.0,,0,2.0,
49,Azerbaijan,3,,,,3,,
50,Georgia,3,,,,3,,
51,Russia,3,,,,1,2.0,
52,Brazil,2,,,,2,,
53,Egypt,2,,,,1,1.0,
54,Estonia,2,,,,2,,
55,Indonesia,2,,,,2,,
56,Ireland,2,,,,2,,
57,New Zealand,2,,,,2,,
58,Senegal,2,,,,2,,
59,Afghanistan,1,,,,1,,
60,Andorra,1,,,,1,,
61,Armenia,1,,,,1,,
62,Belarus,1,,,,1,,
63,Cambodia,1,,,,0,1.0,
64,Dominican Republic,1,,,,1,,
65,Jordan,1,,,,1,,
66,Latvia,1,,,,1,,
67,Lithuania,1,,,,1,,
68,Luxembourg,1,,,,1,,
69,North Macedonia,1,,,,1,,
70,Monaco,1,,,,1,,
71,Morocco,1,,,,1,,
72,Nepal,1,,,,0,1.0,
73,Nigeria,1,,,,1,,
74,Saudi Arabia,1,,,,1,,
75,Sri Lanka,1,,,,0,1.0,
76,Tunisia,1,,,,1,,
77,Ukraine,1,,,,1,,
78,Argentina,1,,,,1,,
79,Chile,1,,,,1,,
80,Liechtenstein,1,,,,1,,
81,Total:,93160,264.0,3202.0,38.0,38997,50961.0,6771.0
