,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
71,71.0,Guinea,3067,,18.0,,1575.0,1474.0,18.0,234.0,1.0,10304.0,787.0,13089690.0
72,72.0,Thailand,3037,,56.0,,2910.0,71.0,61.0,44.0,0.8,328073.0,4701.0,69781150.0
73,73.0,Uzbekistan,3028,+64,13.0,,2492.0,523.0,4.0,91.0,0.4,460000.0,13767.0,33413938.0
74,74.0,Senegal,2909,+97,33.0,,1311.0,1565.0,6.0,174.0,2.0,32883.0,1970.0,16690729.0
75,75.0,Greece,2874,+21,169.0,+1,1374.0,1331.0,19.0,276.0,16.0,147958.0,14188.0,10428331.0
76,76.0,Tajikistan,2551,+201,44.0,,1089.0,1418.0,,268.0,5.0,,,9512290.0
77,77.0,Guatemala,2512,+247,48.0,+3,222.0,2242.0,5.0,141.0,3.0,25464.0,1424.0,17877078.0
78,78.0,Bosnia and Herzegovina,2372,+22,141.0,+1,1614.0,617.0,4.0,723.0,43.0,57507.0,17517.0,3282920.0
79,79.0,Bulgaria,2372,+41,125.0,+5,769.0,1478.0,29.0,341.0,18.0,71605.0,10297.0,6953796.0
80,80.0,Ivory Coast,2341,+40,29.0,,1146.0,1166.0,,89.0,1.0,22233.0,845.0,26300113.0
81,81.0,Djibouti,2270,+223,10.0,,1064.0,1196.0,,2301.0,10.0,22097.0,22403.0,986363.0
82,82.0,Croatia,2243,+6,99.0,+2,2011.0,133.0,5.0,546.0,24.0,59911.0,14584.0,4107874.0
83,83.0,DRC,1945,+110,63.0,+2,312.0,1570.0,,22.0,0.7,,,89226763.0
84,84.0,North Macedonia,1921,+23,112.0,+1,1387.0,422.0,21.0,922.0,54.0,24018.0,11528.0,2083383.0
85,85.0,Cuba,1916,+8,81.0,+1,1631.0,204.0,4.0,169.0,7.0,90911.0,8026.0,11327348.0
86,86.0,Estonia,1807,+7,64.0,,1508.0,235.0,2.0,1362.0,48.0,74604.0,56244.0,1326440.0
87,87.0,Iceland,1803,,10.0,,1791.0,2.0,,5287.0,29.0,58225.0,170748.0,341000.0
88,88.0,El Salvador,1725,+85,33.0,,562.0,1130.0,26.0,266.0,5.0,67663.0,10438.0,6482643.0
89,89.0,Lithuania,1604,+11,61.0,,1111.0,432.0,17.0,588.0,22.0,259043.0,95025.0,2726052.0
90,90.0,Somalia,1594,,61.0,,204.0,1329.0,2.0,101.0,4.0,,,15839369.0
