,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","2,180,855","+5,164","131,990",+847,"867,722","+2,265","1,181,143","19,471",,,,,,North America,"
",,
1,,"
South America
","1,030,697",+607,"46,090",+15,"489,396","+5,034","495,211","11,695",,,,,,South America,"
",,
2,,"
Europe
","2,045,764",+614,"177,118",+30,"1,043,249","+1,159","825,397","9,305",,,,,,Europe,"
",,
3,,"
Asia
","1,266,243","+6,242","33,144",+86,"767,885","+2,397","465,214","14,529",,,,,,Asia,"
",,
4,,"
Africa
","172,183",,"4,783",,"75,830",,"91,570",449,,,,,,Africa,"
",,
5,,"
Oceania
","8,857",+7,124,,"8,266",+33,467,4,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,651,,55,4,,,,,,,"
",,
7,,World,"6,705,320","+12,634","393,264",+978,"3,252,999","+10,888","3,059,057","55,457",860,50.5,,,,All,"
",,
8,1,USA,"1,924,189",+138,"110,179 ",+6,"712,252",,"1,101,758","17,083","5,816",333,"19,568,069","59,142","330,864,650 ",North America,172,"3,003",17
9,2,Brazil,"615,870",,"34,039 ",,"274,997",,"306,834","8,318","2,899",160,"986,365","4,643","212,451,006 ",South America,345,"6,241",215
10,3,Russia,"441,108",,"5,384 ",,"204,623",,"231,101","2,300","3,023",37,"11,733,051","80,402","145,930,189 ",Europe,331,"27,104",12
11,4,Spain,"287,740",,"27,133 ",,N/A,N/A,N/A,617,"6,154",580,"4,063,843","86,921","46,753,542 ",Europe,162,"1,723",12
12,5,UK,"281,661",,"39,904 ",,N/A,N/A,N/A,604,"4,151",588,"5,005,565","73,762","67,860,771 ",Europe,241,"1,701",14
13,6,Italy,"234,013",,"33,689 ",,"161,895",,"38,429",338,"3,870",557,"4,049,544","66,970","60,467,811 ",Europe,258,"1,795",15
14,7,India,"227,029",+316,"6,363 ",,"109,462","+1,012","111,204","8,944",165,5,"4,386,379","3,181","1,379,011,457 ",Asia,"6,074","216,723",314
15,8,Germany,"184,923",,"8,736 ",,"168,500",+700,"7,687",600,"2,208",104,"4,348,880","51,917","83,765,266 ",Europe,453,"9,589",19
