,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
0,China,80152,126.0,2945.0,33.0,29810,47397.0,6806.0
1,S. Korea,5186,851.0,34.0,6.0,5118,34.0,27.0
2,Italy,2502,466.0,79.0,27.0,2263,160.0,229.0
3,Iran,2336,835.0,77.0,11.0,1824,435.0,
4,Diamond Princess,706,,6.0,,600,100.0,36.0
5,Japan,293,19.0,6.0,,244,43.0,23.0
6,France,212,21.0,4.0,1.0,196,12.0,8.0
7,Germany,196,31.0,,,180,16.0,2.0
8,Spain,165,45.0,1.0,1.0,162,2.0,3.0
9,Singapore,110,2.0,,,32,78.0,6.0
10,USA,108,8.0,9.0,3.0,90,9.0,7.0
11,Hong Kong,101,1.0,2.0,,62,37.0,6.0
12,Switzerland,57,27.0,,,55,2.0,
13,Kuwait,56,,,,56,,
14,U.K.,51,12.0,,,43,8.0,
15,Bahrain,49,,,,49,,
16,Thailand,43,,1.0,,12,30.0,1.0
17,Taiwan,42,1.0,1.0,,29,12.0,1.0
18,Australia,39,6.0,1.0,,23,15.0,1.0
19,Malaysia,36,7.0,,,14,22.0,
20,Iraq,32,5.0,,,32,,
21,Norway,32,7.0,,,32,,
22,Sweden,30,15.0,,,29,1.0,
23,Canada,29,2.0,,,22,7.0,
24,U.A.E.,27,6.0,,,22,5.0,2.0
25,Austria,24,6.0,,,24,,
26,Netherlands,24,6.0,,,24,,1.0
27,Vietnam,16,,,,0,16.0,
28,Belgium,13,5.0,,,12,1.0,
29,Lebanon,13,,,,13,,
30,Israel,12,,,,11,1.0,
31,Oman,12,6.0,,,10,2.0,
32,Iceland,11,2.0,,,10,1.0,
33,San Marino,10,2.0,1.0,,9,,1.0
34,Macao,10,,,,1,9.0,
35,Croatia,9,1.0,,,9,,
36,Algeria,8,3.0,,,8,,
37,Qatar,8,1.0,,,8,,
38,Ecuador,7,1.0,,,7,,1.0
39,Finland,7,,,,6,1.0,
40,Greece,7,,,,7,,
41,Denmark,6,2.0,,,6,,
42,India,6,,,,3,3.0,
43,Mexico,6,,,,5,1.0,
44,Czechia,5,1.0,,,5,,
45,Pakistan,5,1.0,,,5,,
46,Portugal,4,2.0,,,4,,
47,Romania,4,1.0,,,3,1.0,
48,Philippines,3,,1.0,,0,2.0,
49,Azerbaijan,3,,,,3,,
50,Georgia,3,,,,3,,
51,Russia,3,,,,1,2.0,
52,Brazil,2,,,,2,,
53,Egypt,2,,,,1,1.0,
54,Estonia,2,1.0,,,2,,
55,Indonesia,2,,,,2,,
56,Senegal,2,1.0,,,2,,
57,Afghanistan,1,,,,1,,
58,Andorra,1,,,,1,,
59,Armenia,1,,,,1,,
60,Belarus,1,,,,1,,
61,Cambodia,1,,,,0,1.0,
62,Dominican Republic,1,,,,1,,
63,Ireland,1,,,,1,,
64,Jordan,1,,,,1,,
65,Latvia,1,,,,1,,
66,Lithuania,1,,,,1,,
67,Luxembourg,1,,,,1,,
68,North Macedonia,1,,,,1,,
69,Monaco,1,,,,1,,
70,Morocco,1,,,,1,,
71,Nepal,1,,,,0,1.0,
72,New Zealand,1,,,,1,,
73,Nigeria,1,,,,1,,
74,Saudi Arabia,1,,,,1,,
75,Sri Lanka,1,,,,0,1.0,
76,Tunisia,1,,,,1,,
77,Ukraine,1,1.0,,,1,,
78,Argentina,1,1.0,,,1,,
79,Liechtenstein,1,1.0,,,1,,
80,Total:,92862,2538.0,3168.0,82.0,41225,48469.0,7161.0
