,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
0,China,80152,126.0,2945.0,33.0,29864,47343.0,6806.0
1,S. Korea,5186,851.0,28.0,,5124,34.0,27.0
2,Italy,2036,,52.0,,1835,149.0,166.0
3,Iran,1501,,66.0,,1144,291.0,
4,Diamond Princess,706,,7.0,,599,100.0,36.0
5,Japan,274,,6.0,,225,43.0,23.0
6,France,191,,3.0,,176,12.0,8.0
7,Germany,165,,,,149,16.0,2.0
8,Spain,120,,,,118,2.0,3.0
9,Singapore,108,,,,30,78.0,6.0
10,USA,103,3.0,6.0,,88,9.0,7.0
11,Hong Kong,100,,2.0,,62,36.0,6.0
12,Kuwait,56,,,,56,,
13,Bahrain,49,,,,49,,
14,Thailand,43,,1.0,,12,30.0,1.0
15,Taiwan,41,,1.0,,28,12.0,1.0
16,U.K.,40,,,,32,8.0,
17,Australia,34,1.0,1.0,,18,15.0,1.0
18,Switzerland,30,,,,29,1.0,
19,Malaysia,29,,,,7,22.0,
20,Canada,27,,,,20,7.0,
21,Iraq,26,,,,26,,
22,Norway,25,,,,25,,
23,U.A.E.,21,,,,16,5.0,2.0
24,Austria,18,,,,18,,
25,Netherlands,18,,,,18,,1.0
26,Vietnam,16,,,,0,16.0,
27,Sweden,15,,,,15,,
28,Lebanon,13,,,,13,,
29,Israel,12,,,,11,1.0,
30,Macao,10,,,,4,6.0,
31,Iceland,9,,,,9,,
32,San Marino,8,,1.0,,7,,1.0
33,Belgium,8,,,,7,1.0,
34,Croatia,8,,,,8,,
35,Ecuador,7,1.0,,,7,,1.0
36,Finland,7,,,,6,1.0,
37,Greece,7,,,,7,,
38,Qatar,7,,,,7,,
39,India,6,,,,3,3.0,
40,Mexico,6,,,,5,1.0,
41,Oman,6,,,,4,2.0,
42,Algeria,5,,,,5,,
43,Pakistan,5,1.0,,,5,,
44,Czechia,4,,,,4,,
45,Denmark,4,,,,4,,
46,Philippines,3,,1.0,,0,2.0,
47,Azerbaijan,3,,,,3,,
48,Georgia,3,,,,3,,
49,Romania,3,,,,2,1.0,
50,Russia,3,,,,1,2.0,
51,Brazil,2,,,,2,,
52,Egypt,2,,,,1,1.0,
53,Indonesia,2,,,,2,,
54,Portugal,2,,,,2,,
55,Afghanistan,1,,,,1,,
56,Andorra,1,,,,1,,
57,Armenia,1,,,,1,,
58,Belarus,1,,,,1,,
59,Cambodia,1,,,,0,1.0,
60,Dominican Republic,1,,,,1,,
61,Estonia,1,,,,1,,
62,Ireland,1,,,,1,,
63,Jordan,1,,,,1,,
64,Latvia,1,,,,1,,
65,Lithuania,1,,,,1,,
66,Luxembourg,1,,,,1,,
67,North Macedonia,1,,,,1,,
68,Monaco,1,,,,1,,
69,Morocco,1,,,,1,,
70,Nepal,1,,,,0,1.0,
71,New Zealand,1,,,,1,,
72,Nigeria,1,,,,1,,
73,Saudi Arabia,1,,,,1,,
74,Senegal,1,,,,1,,
75,Sri Lanka,1,,,,0,1.0,
76,Tunisia,1,,,,1,,
77,Total:,91307,983.0,3120.0,33.0,39934,48253.0,7098.0
