,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","10,128,532","+61,155","335,323",+594,"6,736,684","+46,210","3,056,525","18,956",,,,,,North America,"
",,
1,,"
Asia
","12,597,367","+82,389","225,491","+1,464","10,996,977","+105,911","1,374,899","20,809",,,,,,Asia,"
",,
2,,"
South America
","9,040,874","+39,833","280,699","+1,051","7,977,526","+47,666","782,649","17,481",,,,,,South America,"
",,
3,,"
Europe
","7,161,346","+137,473","240,259","+1,068","3,229,985","+25,887","3,691,102","13,526",,,,,,Europe,"
",,
4,,"
Africa
","1,665,060","+9,976","39,991",+184,"1,367,151","+5,296","257,918","1,855",,,,,,Africa,"
",,
5,,"
Oceania
","34,477",+759,955,+3,"30,732",+364,"2,790",21,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,659,,47,4,,,,,,,"
",,
7,,World,"40,628,377","+331,585","1,122,733","+4,364","30,339,714","+231,334","9,165,930","72,652","5,212",144.0,,,,All,"
",,
8,1,USA,"8,449,732","+51,060","225,197 ",+417,"5,495,335","+37,606","2,729,200","15,375","25,482",679,"126,966,827","382,903","331,589,837 ",North America,39,"1,472",3
9,2,India,"7,594,736","+46,498","115,236 ",+594,"6,730,617","+70,722","748,883","8,944","5,487",83,"95,083,976","68,698","1,384,085,979 ",Asia,182,"12,011",15
10,3,Brazil,"5,251,127","+15,783","154,226 ",+321,"4,681,659","+31,629","415,242","8,318","24,651",724,"17,900,000","84,031","213,015,720 ",South America,41,"1,381",12
11,4,Russia,"1,415,316","+15,982","24,366 ",+179,"1,075,904","+5,328","315,046","2,300","9,697",167,"54,300,208","372,038","145,953,533 ",Europe,103,"5,990",3
12,5,Spain,"1,015,795","+12,214","33,992 ",+73,N/A,N/A,N/A,"1,857","21,723",727,"15,503,165","331,545","46,760,297 ",Europe,46,"1,376",3
13,6,Argentina,"1,002,662","+12,982","26,716 ",+449,"803,965",,"171,981","4,392","22,124",589,"2,626,406","57,952","45,320,654 ",South America,45,"1,696",17
14,7,Colombia,"965,883","+6,311","29,102 ",+132,"867,961","+9,667","68,820","2,115","18,922",570,"4,467,051","87,511","51,045,852 ",South America,53,"1,754",11
15,8,France,"910,277","+13,243","33,623 ",+146,"105,935","+1,239","770,719","2,099","13,936",515,"13,765,883","210,754","65,317,424 ",Europe,72,"1,943",5
16,9,Peru,"870,876","+2,201","33,820 ",+61,"784,056","+4,277","53,000","1,094","26,303","1,021","4,249,458","128,347","33,109,207 ",South America,38,979,8
17,10,Mexico,"851,227","+4,119","86,167 ",+108,"619,036","+3,356","146,024","2,617","6,581",666,"2,183,272","16,880","129,339,873 ",North America,152,"1,501",59
18,11,UK,"741,212","+18,804","43,726 ",+80,N/A,N/A,N/A,592,"10,901",643,"29,922,135","440,070","67,993,982 ",Europe,92,"1,555",2
19,12,South Africa,"705,254","+1,461","18,492 ",+21,"635,257",+714,"51,505",546,"11,846",311,"4,565,980","76,697","59,532,742 ",Africa,84,"3,219",13
