,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","9,390,407","+67,769","323,424","+1,426","6,139,866","+43,204","2,927,117","17,922",,,,,,North America,"
",,
1,,"
Asia
","11,515,699","+108,943","208,357","+1,797","9,808,654","+109,049","1,498,688","20,805",,,,,,Asia,"
",,
2,,"
South America
","8,518,503","+59,015","267,685","+1,998","7,394,618","+49,442","856,200","17,413",,,,,,South America,"
",,
3,,"
Europe
","5,724,900","+101,693","228,538",+900,"2,967,083","+21,425","2,529,279","9,971",,,,,,Europe,"
",,
4,,"
Africa
","1,556,017","+10,770","37,452",+303,"1,292,200","+6,100","226,365","1,617",,,,,,Africa,"
",,
5,,"
Oceania
","32,099",+97,941,,"29,195",+20,"1,963",12,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,651,,55,4,,,,,,,"
",,
7,,World,"36,738,346","+348,287","1,066,412","+6,424","27,632,267","+229,240","8,039,667","67,744","4,713",136.8,,,,All,"
",,
8,1,USA,"7,833,423","+56,312","217,738 ",+957,"5,017,282","+33,659","2,598,403","14,577","23,628",657,"115,217,985","347,532","331,531,610 ",North America,42,"1,523",3
9,2,India,"6,903,812","+70,824","106,521 ",+967,"5,903,207","+78,745","894,084","8,944","4,989",77,"83,465,975","60,322","1,383,678,536 ",Asia,200,"12,990",17
10,3,Brazil,"5,029,539","+27,182","149,034 ",+730,"4,414,564","+23,140","465,941","8,318","23,616",700,"17,900,000","84,049","212,970,378 ",South America,42,"1,429",12
11,4,Russia,"1,260,112","+11,493","22,056 ",+191,"1,002,329","+7,054","235,727","2,300","8,634",151,"49,148,954","336,748","145,951,658 ",Europe,116,"6,617",3
12,5,Colombia,"886,179","+8,496","27,331 ",+151,"777,658","+3,685","81,190","2,220","17,366",536,"4,047,592","79,319","51,029,561 ",South America,58,"1,867",13
13,6,Spain,"884,381","+5,585","32,688 ",+126,N/A,N/A,N/A,"1,585","18,913",699,"13,689,776","292,768","46,759,755 ",Europe,53,"1,430",3
14,7,Argentina,"856,369","+15,454","22,710 ",+484,"684,844","+14,119","148,815","4,043","18,901",501,"2,166,276","47,812","45,308,202 ",South America,53,"1,995",21
15,8,Peru,"838,614","+2,952","33,098 ",+89,"728,216","+4,610","77,300","1,233","25,339","1,000","4,003,363","120,964","33,095,400 ",South America,39,"1,000",8
