,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","6,653,157","+38,724","249,533","+1,332","3,670,778","+30,438","2,732,846","21,991",,,,,,North America,"
",,
1,,"
South America
","5,376,502","+47,576","178,989","+1,417","3,902,905","+8,848","1,294,608","14,858",,,,,,South America,"
",,
2,,"
Asia
","5,829,540","+91,683","123,278","+1,630","4,547,603","+81,013","1,158,659","18,931",,,,,,Asia,"
",,
3,,"
Europe
","3,222,652","+18,967","203,687",+314,"1,928,482","+11,424","1,090,483","5,191",,,,,,Europe,"
",,
4,,"
Africa
","1,139,358","+7,257","26,325",+383,"860,777","+11,054","252,256","1,214",,,,,,Africa,"
",,
5,,"
Oceania
","26,025",+240,464,+17,"16,680",+390,"8,881",59,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,651,,55,4,,,,,,,"
",,
7,,World,"22,247,955","+204,447","782,291","+5,093","14,927,876","+143,167","6,537,788","62,248","2,854",100.4,,,,All,"
",,
8,1,USA,"5,645,482","+33,507","174,746 ","+1,030","2,998,918","+25,331","2,471,818","17,347","17,043",528,"72,238,741","218,075","331,256,357 ",North America,59,"1,896",5
9,2,Brazil,"3,407,354","+44,119","109,888 ","+1,234","2,478,494",,"818,972","8,318","16,015",516,"13,729,872","64,533","212,756,034 ",South America,62,"1,936",15
10,3,India,"2,766,626","+65,022","53,023 ","+1,098","2,035,143","+58,895","678,460","8,944","2,002",38,"30,941,264","22,393","1,381,752,440 ",Asia,499,"26,059",45
11,4,Russia,"932,493","+4,748","15,872 ",+132,"742,628","+6,527","173,993","2,300","6,389",109,"32,968,759","225,902","145,942,798 ",Europe,157,"9,195",4
12,5,South Africa,"592,144","+2,258","12,264 ",+282,"485,468","+7,797","94,412",539,"9,968",206,"3,430,347","57,746","59,404,038 ",Africa,100,"4,844",17
13,6,Peru,"541,493",,"26,481 ",,"370,717",,"144,295","1,524","16,394",802,"2,793,614","84,578","33,030,127 ",South America,61,"1,247",12
14,7,Mexico,"525,733","+3,571","57,023 ",+266,"359,347","+4,246","109,363","3,536","4,072",442,"1,181,695","9,153","129,106,847 ",North America,246,"2,264",109
15,8,Colombia,"476,660",,"15,372 ",,"301,525",,"159,763","1,493","9,355",302,"2,259,743","44,350","50,952,553 ",South America,107,"3,315",23
16,9,Chile,"388,855","+1,353","10,546 ",+33,"362,440","+2,055","15,869","1,157","20,319",551,"2,068,079","108,065","19,137,440 ",South America,49,"1,815",9
17,10,Spain,"384,270","+2,128","28,670 ",+24,N/A,N/A,N/A,617,"8,218",613,"7,955,615","170,147","46,757,191 ",Europe,122,"1,631",6
18,11,Iran,"347,835","+2,385","19,972 ",+168,"300,881","+1,724","26,982","3,882","4,134",237,"2,914,049","34,637","84,129,933 ",Asia,242,"4,212",29
19,12,UK,"320,286","+1,089","41,381 ",+12,N/A,N/A,N/A,73,"4,715",609,"14,825,051","218,231","67,932,724 ",Europe,212,"1,642",5
20,13,Saudi Arabia,"301,323","+1,409","3,470 ",+34,"272,911","+4,526","24,942","1,716","8,638",99,"4,378,417","125,520","34,882,225 ",Asia,116,"10,053",8
21,14,Argentina,"299,126",,"5,877 ",+63,"223,531","+5,681","69,718","1,749","6,611",130,"994,942","21,988","45,249,337 ",South America,151,"7,699",45
22,15,Pakistan,"289,832",+617,"6,190 ",+15,"270,009",+922,"13,633",759,"1,309",28,"2,317,213","10,465","221,424,972 ",Asia,764,"35,771",96
23,16,Bangladesh,"282,344","+3,200","3,740 ",+46,"162,825","+2,234","115,779",,"1,712",23,"1,378,819","8,362","164,900,676 ",Asia,584,"44,091",120
24,17,Italy,"254,636",+401,"35,405 ",+5,"204,142",+174,"15,089",58,"4,212",586,"7,642,059","126,420","60,449,906 ",Europe,237,"1,707",8
25,18,Turkey,"251,805","+1,263","6,016 ",+20,"232,913",+942,"12,876",703,"2,982",71,"5,882,406","69,651","84,455,591 ",Asia,335,"14,038",14
26,19,Germany,"228,105","+1,419","9,305 ",+9,"202,900",,"15,900",224,"2,721",111,"9,265,361","110,540","83,819,291 ",Europe,367,"9,008",9
27,20,France,"221,267","+2,238","30,429 ",,"84,065",,"106,773",384,"3,389",466,"6,000,000","91,894","65,292,634 ",Europe,295,"2,146",11
28,21,Iraq,"184,709","+4,576","6,036 ",+82,"131,840","+2,895","46,833",574,"4,580",150,"1,304,331","32,339","40,333,218 ",Asia,218,"6,682",31
29,22,Philippines,"169,213","+4,836","2,687 ",+6,"112,861",+182,"53,665",489,"1,542",24,"2,108,597","19,210","109,766,558 ",Asia,649,"40,851",52
30,23,Indonesia,"143,043","+1,673","6,277 ",+70,"96,306","+1,848","40,460",,522,23,"1,915,039","6,992","273,895,240 ",Asia,"1,915","43,635",143
31,24,Canada,"123,046",+174,"9,042 ",+10,"109,308",+249,"4,696",67,"3,256",239,"4,840,043","128,094","37,784,956 ",North America,307,"4,179",8
32,25,Qatar,"115,368",,193 ,,"112,088",,"3,087",69,"41,088",69,"555,970","198,009","2,807,805 ",Asia,24,"14,548",5
33,26,Kazakhstan,"103,300",+267,"1,415 ",+21,"84,445","+1,668","17,440",221,"5,493",75,"2,291,327","121,844","18,805,415 ",Asia,182,"13,290",8
34,27,Ecuador,"102,941","+1,190","6,105 ",+22,"87,183",+63,"9,653",366,"5,823",345,"289,213","16,361","17,676,881 ",South America,172,"2,895",61
35,28,Bolivia,"101,223",+879,"4,123 ",+65,"37,471",+980,"59,629",71,"8,657",353,"216,774","18,538","11,693,245 ",South America,116,"2,836",54
36,29,Egypt,"96,590",,"5,173 ",,"60,651",,"30,766",41,942,50,"135,000","1,316","102,574,622 ",Africa,"1,062","19,829",760
37,30,Israel,"96,409","+1,658",708 ,+16,"71,990","+1,699","23,711",404,"10,482",77,"2,079,941","226,140","9,197,590 ",Asia,95,"12,991",4
38,31,Ukraine,"94,436","+1,616","2,116 ",+27,"48,925",+761,"43,395",138,"2,161",48,"1,315,409","30,102","43,698,003 ",Europe,463,"20,651",33
39,32,Dominican Republic,"86,737",,"1,481 ",,"54,108",,"31,148",295,"7,985",136,"324,463","29,872","10,861,915 ",North America,125,"7,334",33
40,33,Sweden,"85,219",,"5,790 ",+6,N/A,N/A,N/A,27,"8,431",573,"917,036","90,728","10,107,485 ",Europe,119,"1,746",11
41,34,Oman,"83,418",+192,597 ,+9,"77,977",+165,"4,844",154,"16,285",117,"309,212","60,365","5,122,362 ",Asia,61,"8,580",17
42,35,Panama,"82,543",,"1,788 ",,"55,845",,"24,910",159,"19,092",414,"273,685","63,304","4,323,325 ",North America,52,"2,418",16
43,36,Belgium,"78,534",+211,"9,944 ",+5,"18,003",+9,"50,587",90,"6,772",858,"2,008,070","173,165","11,596,251 ",Europe,148,"1,166",6
44,37,Kuwait,"77,470",+643,505 ,+3,"69,243",+610,"7,722",101,"18,107",118,"568,440","132,858","4,278,558 ",Asia,55,"8,472",8
45,38,Romania,"72,208","+1,014","3,074 ",+45,"33,135",+376,"35,999",479,"3,757",160,"1,542,094","80,233","19,220,188 ",Europe,266,"6,253",12
46,39,Belarus,"69,673",+84,617 ,+4,"67,339",+190,"1,717",,"7,374",65,"1,429,532","151,291","9,448,908 ",Europe,136,"15,314",7
47,40,UAE,"64,906",+365,366 ,+2,"57,909",+115,"6,631",,"6,552",37,"6,121,609","617,990","9,905,669 ",Asia,153,"27,065",2
48,41,Netherlands,"63,973",+489,"6,175 ",+3,N/A,N/A,N/A,42,"3,732",360,"1,312,787","76,592","17,139,892 ",Europe,268,"2,776",13
49,42,Guatemala,"62,944",,"2,389 ",,"51,530",,"9,025",5,"3,505",133,"200,984","11,193","17,956,873 ",North America,285,"7,516",89
50,43,Poland,"57,876",+597,"1,896 ",+11,"39,643",+284,"16,337",82,"1,529",50,"2,409,394","63,671","37,841,061 ",Europe,654,"19,958",16
51,44,Singapore,"55,938",+100,27 ,,"52,533",+183,"3,378",,"9,552",5,"1,610,906","275,072","5,856,313 ",Asia,105,"216,900",4
52,45,Japan,"55,667",,"1,099 ",,"41,196",,"13,372",243,440,9,"1,186,468","9,385","126,424,274 ",Asia,"2,271","115,036",107
53,46,Portugal,"54,448",+214,"1,784 ",+5,"39,936",+136,"12,728",38,"5,342",175,"1,799,226","176,521","10,192,704 ",Europe,187,"5,713",6
54,47,Honduras,"50,995",+493,"1,583 ",+8,"7,450",+111,"41,962",37,"5,138",160,"123,539","12,448","9,924,442 ",North America,195,"6,269",80
55,48,Nigeria,"49,485",,977 ,,"36,834",,"11,674",7,239,5,"352,625","1,705","206,760,319 ",Africa,"4,178","211,628",586
56,49,Bahrain,"47,185",,175 ,+2,"43,529",,"3,481",41,"27,618",102,"981,208","574,324","1,708,457 ",Asia,36,"9,763",2
57,50,Morocco,"44,803","+1,245",714 ,+33,"31,002","+1,061","13,087",31,"1,212",19,"1,648,728","44,601","36,966,504 ",Africa,825,"51,774",22
58,51,Ghana,"42,993",+340,248 ,+9,"40,796",+229,"1,949",6,"1,380",8,"428,695","13,761","31,153,016 ",Africa,725,"125,617",73
59,52,Kyrgyzstan,"42,146",+155,"1,498 ",+2,"34,855",+318,"5,793",24,"6,447",229,"267,718","40,950","6,537,717 ",Asia,155,"4,364",24
60,53,Armenia,"41,846",+145,832 ,+8,"34,982",+327,"6,032",,"14,118",281,"186,661","62,977","2,963,977 ",Asia,71,"3,562",16
61,54,Algeria,"39,444",+419,"1,391 ",+12,"27,653",+306,"10,400",46,897,32,,,"43,949,908 ",Africa,"1,114","31,596",
62,55,Switzerland,"38,449",+197,"1,992 ",+1,"33,500",+200,"2,957",15,"4,438",230,"890,289","102,771","8,662,852 ",Europe,225,"4,349",10
63,56,Afghanistan,"37,599",,"1,375 ",,"27,166",,"9,058",31,963,35,"98,772","2,530","39,035,860 ",Asia,"1,038","28,390",395
64,57,Uzbekistan,"36,352",+650,242 ,+6,"32,062","+1,089","4,048",410,"1,084",7,"1,377,915","41,094","33,530,611 ",Asia,922,"138,556",24
65,58,Venezuela,"34,802",,288 ,,"23,575",,"10,939",85,"1,224",10,"1,650,917","58,080","28,425,088 ",South America,817,"98,698",17
66,59,Azerbaijan,"34,474",+131,509 ,+1,"32,201",+159,"1,764",,"3,396",50,"836,908","82,446","10,150,987 ",Asia,294,"19,943",12
67,60,Ethiopia,"32,722","+1,386",572 ,+28,"12,938",+414,"19,212",216,284,5,"651,311","5,648","115,309,580 ",Africa,"3,524","201,590",177
68,61,Moldova,"30,789",+412,908 ,,"21,885",+665,"7,996",362,"7,635",225,"183,923","45,608","4,032,702 ",Europe,131,"4,441",22
69,62,Kenya,"30,636",+271,487 ,+5,"17,368",+208,"12,781",44,568,9,"398,585","7,393","53,916,841 ",Africa,"1,760","110,712",135
70,63,Serbia,"29,890",+108,681 ,+4,"27,597",+389,"1,612",64,"3,423",78,"821,106","94,028","8,732,612 ",Europe,292,"12,823",11
71,64,Costa Rica,"29,643",+559,314 ,+10,"9,462",+229,"19,867",110,"5,812",62,"120,435","23,614","5,100,127 ",North America,172,"16,242",42
72,65,Nepal,"28,257","+1,016",114 ,+7,"17,580",+85,"10,563",,968,4,"855,268","29,288","29,202,257 ",Asia,"1,033","256,160",34
73,66,Ireland,"27,499",+186,"1,775 ",+1,"23,364",,"2,360",8,"5,561",359,"725,574","146,733","4,944,857 ",Europe,180,"2,786",7
74,67,Austria,"23,829",+295,729 ,,"20,870",+105,"2,230",19,"2,644",81,"1,037,888","115,153","9,013,119 ",Europe,378,"12,364",9
75,68,Australia,"23,773",+214,438 ,+17,"14,929",+390,"8,406",52,931,17,"5,380,816","210,700","25,537,753 ",Australia/Oceania,"1,074","58,305",5
76,69,El Salvador,"23,462",+269,625 ,+7,"11,179",+202,"11,658",413,"3,615",96,"283,395","43,663","6,490,495 ",North America,277,"10,385",23
77,70,Czechia,"20,393",+191,401 ,+2,"15,146",+524,"4,846",29,"1,904",37,"805,609","75,209","10,711,615 ",Europe,525,"26,712",13
78,71,Cameroon,"18,599",+17,406 ,+3,"16,540",,"1,653",30,699,15,"149,000","5,596","26,626,108 ",Africa,"1,432","65,582",179
79,72,Palestine,"17,306",+462,113  ,,"9,939",+33,"7,254",,"3,383",22,"214,862","41,999","5,115,914 ",Asia,296,"45,274",24
80,73,Ivory Coast,"17,150",+43,110 ,,"14,183",+193,"2,857",,648,4,"115,338","4,359","26,457,641 ",Africa,"1,543","240,524",229
81,74,Bosnia and Herzegovina,"16,351",+240,495 ,+9,"10,279",+423,"5,577",,"4,988",151,"164,881","50,299","3,278,040 ",Europe,200,"6,622",20
82,75,Denmark,"15,855",+115,621 ,,"13,529",+112,"1,705",1,"2,736",107,"1,994,602","344,200","5,794,890 ",Europe,365,"9,332",3
83,76,S. Korea,"15,761",+246,306 ,+1,"13,934",+17,"1,521",9,307,6,"1,697,042","33,097","51,275,054 ",Asia,"3,253","167,566",30
84,77,Bulgaria,"14,500",,512 ,,"9,442",,"4,546",56,"2,089",74,"339,563","48,919","6,941,291 ",Europe,479,"13,557",20
85,78,Madagascar,"14,009",+123,173 ,+2,"12,767",+164,"1,069",89,504,6,"53,278","1,918","27,777,173 ",Africa,"1,983","160,562",521
86,79,North Macedonia,"12,970",+130,549 ,+2,"9,513",+339,"2,908",3,"6,226",264,"128,938","61,889","2,083,363 ",Europe,161,"3,795",16
87,80,Sudan,"12,485",+75,805 ,+2,"6,398",+13,"5,282",,284,18,401,9,"43,974,388 ",Africa,"3,522","54,627","109,662"
88,81,Senegal,"12,305",+68,256 ,,"7,767",+39,"4,282",48,733,15,"131,367","7,821","16,797,183 ",Africa,"1,365","65,614",128
89,82,Paraguay,"10,135",,145 ,,"6,210",,"3,780",59,"1,419",20,"156,611","21,923","7,143,723 ",South America,705,"49,267",46
90,83,Norway,"10,089",+29,262 ,+1,"8,857",,970,1,"1,859",48,"556,653","102,576","5,426,743 ",Europe,538,"20,713",10
91,84,Zambia,"9,981",+142,264 ,,"8,776",+201,941,,541,14,"102,178","5,539","18,445,662 ",Africa,"1,848","69,870",181
92,85,Lebanon,"9,758",+421,107 ,+2,"2,852",+43,"6,799",67,"1,431",16,"430,162","63,062","6,821,306 ",Asia,699,"63,751",16
93,86,DRC,"9,721",+15,243 ,,"8,882",+177,596,,108,3,,,"89,884,386 ",Africa,"9,246","369,895",
94,87,Malaysia,"9,219",+7,125 ,,"8,902",+26,192,8,284,4,"1,114,246","34,370","32,418,835 ",Asia,"3,517","259,351",29
95,88,French Guiana,"8,657",+35,53 ,,"8,054",+69,550,17,"28,893",177,"46,563","155,408","299,618 ",South America,35,"5,653",6
96,89,Guinea,"8,620",,51 ,,"7,472",,"1,097",24,654,4,"14,407","1,093","13,175,650 ",Africa,"1,528","258,346",915
97,90,Libya,"8,579",,157 ,,969,,"7,453",,"1,246",23,"82,057","11,921","6,883,162 ",Africa,802,"43,842",84
98,91,Gabon,"8,270",,53 ,,"6,404",,"1,813",1,"3,705",24,"102,175","45,774","2,232,146 ",Africa,270,"42,116",22
99,92,Tajikistan,"8,131",+32,65 ,+1,"6,935",+38,"1,131",,850,7,,,"9,563,922 ",Asia,"1,176","147,137",
100,93,Haiti,"7,897",,196 ,,"5,235",,"2,466",,691,17,"20,999","1,839","11,420,280 ",North America,"1,446","58,267",544
101,94,Finland,"7,776",+24,334 ,,"7,050",,392,,"1,403",60,"500,021","90,226","5,541,862 ",Europe,713,"16,592",11
102,95,Albania,"7,654",+155,232 ,+2,"3,871",+55,"3,551",15,"2,660",81,"47,461","16,495","2,877,376 ",Europe,376,"12,402",61
103,96,Greece,"7,472",+250,232 ,+2,"3,804",,"3,436",25,717,22,"740,871","71,127","10,416,150 ",Europe,"1,394","44,897",14
104,97,Luxembourg,"7,469",,124 ,,"6,739",,606,3,"11,907",198,"685,935","1,093,545","627,258 ",Europe,84,"5,059",1
105,98,Croatia,"6,855",+199,166 ,,"5,318",+64,"1,371",11,"1,671",40,"140,471","34,246","4,101,820 ",Europe,598,"24,710",29
106,99,Mauritania,"6,762",,157  ,,"6,018",,587,3,"1,450",34,"58,147","12,466","4,664,413 ",Africa,690,"29,710",80
107,100,Maldives,"5,909",,23 ,,"3,488",,"2,398",12,"10,908",42,"97,211","179,444","541,735 ",Asia,92,"23,554",6
108,101,Djibouti,"5,372",,59 ,,"5,211",,102,,"5,427",60,"63,299","63,950","989,819 ",Africa,184,"16,777",16
109,102,Zimbabwe,"5,308",,135 ,,"3,848",,"1,325",,356,9,"149,748","10,057","14,890,308 ",Africa,"2,805","110,299",99
110,103,Malawi,"5,193",+68,163 ,+1,"2,716",+26,"2,314",4,271,8,"40,106","2,090","19,189,744 ",Africa,"3,695","117,728",478
111,104,Hungary,"4,970",+24,609 ,+1,"3,631",+1,730,6,515,63,"383,411","39,703","9,657,050 ",Europe,"1,943","15,857",25
112,105,Equatorial Guinea,"4,821",,83 ,,"2,182",,"2,556",,"3,423",59,"44,356","31,494","1,408,394 ",Africa,292,"16,969",32
113,106,CAR,"4,667",,61 ,,"1,748",,"2,858",2,964,13,"30,681","6,339","4,840,279 ",Africa,"1,037","79,349",158
114,107,Hong Kong,"4,561",+36,70 ,+1,"3,677",+78,814,31,608,9,"780,415","103,988","7,504,867 ",Asia,"1,645","107,212",10
115,108,Namibia,"4,464",+120,37 ,+1,"2,407",+28,"2,020",18,"1,753",15,"42,945","16,863","2,546,649 ",Africa,570,"68,828",59
116,109,Nicaragua,"4,115",,128 ,,"2,913",,"1,074",,620,19,,,"6,634,631 ",North America,"1,612","51,833",
117,110,Montenegro,"4,085",,80 ,,"2,986",,"1,019",,"6,504",127,"42,735","68,041","628,077 ",Europe,154,"7,851",15
118,111,Eswatini,"3,894",,73 ,,"2,371",,"1,450",11,"3,352",63,"28,380","24,430","1,161,709 ",Africa,298,"15,914",41
119,112,Congo,"3,831",,76 ,,"1,625",,"2,130",,692,14,,,"5,534,600 ",Africa,"1,445","72,824",
120,113,Thailand,"3,381",+3,58 ,,"3,198",+4,125,1,48,0.8,"749,213","10,730","69,823,143 ",Asia,"20,652","1,203,847",93
121,114,Cuba,"3,364",,88 ,,"2,692",,584,2,297,8,"327,689","28,933","11,325,692 ",North America,"3,367","128,701",35
122,115,Somalia,"3,257",,93 ,,"2,374",,790,2,204,6,,,"15,946,390 ",Africa,"4,896","171,467",
123,116,Cabo Verde,"3,253",+50,36 ,,"2,390",+54,827,,"5,843",65,"61,633","110,699","556,762 ",Africa,171,"15,466",9
124,117,Mayotte,"3,160",,39 ,,"2,964",,157,1,"11,549",143,"13,000","47,512","273,617 ",Africa,87,"7,016",21
125,118,Suriname,"3,077",,48 ,,"2,138",,891,13,"5,239",82,"4,835","8,232","587,311 ",South America,191,"12,236",121
126,119,Mozambique,"2,991",+77,19 ,,"1,245",+49,"1,727",,95,0.6,"79,504","2,535","31,360,382 ",Africa,"10,485","1,650,546",394
127,120,Slovakia,"2,922",+15,31 ,,"1,980",+11,911,6,535,6,"296,902","54,378","5,459,994 ",Europe,"1,869","176,129",18
128,121,Sri Lanka,"2,902",+2,11 ,,"2,755",+79,136,1,135,0.5,"166,737","7,782","21,425,054 ",Asia,"7,383","1,947,732",128
129,122,Mali,"2,666",+26,125 ,,"1,990",+3,551,,131,6,"32,039","1,577","20,320,503 ",Africa,"7,622","162,564",634
130,123,Rwanda,"2,577",+37,10 ,+2,"1,683",+22,884,,198,0.8,"342,614","26,373","12,991,225 ",Africa,"5,041","1,299,123",38
131,124,South Sudan,"2,490",,47 ,,"1,175",,"1,268",,222,4,"12,044","1,074","11,210,515 ",Africa,"4,502","238,522",931
132,125,Lithuania,"2,474",+38,81 ,,"1,733",+28,660,6,911,30,"584,641","215,180","2,716,988 ",Europe,"1,098","33,543",5
133,126,Slovenia,"2,456",+27,129 ,,"2,052",,275,3,"1,181",62,"144,831","69,665","2,078,976 ",Europe,846,"16,116",14
134,127,Tunisia,"2,314",+129,57 ,+1,"1,370",+8,887,8,196,5,"115,376","9,749","11,834,515 ",Africa,"5,114","207,623",103
135,128,Estonia,"2,200",+8,63 ,,"1,990",+14,147,,"1,658",47,"136,137","102,617","1,326,654 ",Europe,603,"21,058",10
136,129,Guinea-Bissau,"2,117",,33 ,,"1,015",,"1,069",5,"1,073",17,"1,500",760,"1,973,679 ",Africa,932,"59,808","1,316"
137,130,Gambia,"2,116",+244,63 ,,415,+14,"1,638",,873,26,"6,312","2,603","2,424,802 ",Africa,"1,146","38,489",384
138,131,Benin,"2,063",,39 ,,"1,690",,334,,170,3,"107,057","8,803","12,161,552 ",Africa,"5,895","311,835",114
139,132,Iceland,"2,027",+13,10 ,,"1,895",+7,122,1,"5,935",29,"183,283","536,650","341,532 ",Europe,168,"34,153",2
140,133,Angola,"1,966",+31,90 ,+2,667,+35,"1,209",24,60,3,"64,747","1,963","32,987,172 ",Africa,"16,779","366,524",509
141,134,Sierra Leone,"1,956",,69 ,,"1,506",,381,,245,9,,,"7,997,054 ",Africa,"4,088","115,899",
142,135,Yemen,"1,889",+7,537 ,+2,"1,052",+7,300,,63,18,120,4,"29,906,685 ",Asia,"15,832","55,692","249,222"
143,136,Syria,"1,844",+80,73 ,+5,425,,"1,346",,105,4,,,"17,552,414 ",Asia,"9,519","240,444",
144,137,New Zealand,"1,643",+12,22 ,,"1,531",,90,6,328,4,"616,377","123,224","5,002,100 ",Australia/Oceania,"3,044","227,368",8
145,138,Uganda,"1,603",+43,15 ,,"1,165",,423,,35,0.3,"329,542","7,178","45,911,477 ",Africa,"28,641","3,060,765",139
146,139,Uruguay,"1,457",,40 ,,"1,205",,212,3,419,12,"147,594","42,469","3,475,317 ",South America,"2,385","86,883",24
147,140,Jordan,"1,438",+40,11 ,,"1,243",+2,184,3,141,1,"705,920","69,098","10,216,180 ",Asia,"7,104","928,744",14
148,141,Malta,"1,423",+48,9 ,,766,+7,648,,"3,222",20,"161,057","364,631","441,698 ",Europe,310,"49,078",3
149,142,Cyprus,"1,351",,20 ,,870,,461,5,"1,118",17,"239,630","198,287","1,208,502 ",Asia,895,"60,425",5
150,143,Georgia,"1,351",+10,17 ,,"1,092",,242,,339,4,"301,183","75,520","3,988,139 ",Asia,"2,952","234,596",13
151,144,Bahamas,"1,329",,19 ,,191,,"1,119",1,"3,375",48,"7,690","19,531","393,729 ",North America,296,"20,723",51
152,145,Latvia,"1,323",,33 ,+1,"1,093",+15,197,,702,18,"228,758","121,466","1,883,314 ",Europe,"1,424","57,070",8
153,146,Botswana,"1,308",,3 ,,136,,"1,169",1,555,1,"87,280","37,022","2,357,505 ",Africa,"1,802","785,835",27
154,147,Burkina Faso,"1,280",,55 ,,"1,018",,207,,61,3,,,"20,972,143 ",Africa,"16,384","381,312",
155,148,Liberia,"1,277",,82 ,,803,,392,,252,16,,,"5,072,200 ",Africa,"3,972","61,856",
156,149,Aruba,"1,205",+84,4 ,,277,+65,924,,"11,280",37,"16,919","158,379","106,826 ",North America,89,"26,707",6
157,150,Niger,"1,167",,69 ,,"1,078",,20,,48,3,"9,052",372,"24,307,929 ",Africa,"20,829","352,289","2,685"
