,"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region
0,China,76942,6.0,2444.0,2.0,23174.0,11477.0,Asia
1,Diamond Princess,691,57.0,3.0,1.0,17.0,36.0,
2,S. Korea,602,166.0,6.0,4.0,18.0,7.0,Asia
3,Italy,157,78.0,3.0,1.0,2.0,26.0,Europe
4,Japan,146,12.0,1.0,,23.0,7.0,Asia
5,Singapore,89,,,,51.0,5.0,Asia
6,Hong Kong,74,4.0,2.0,,12.0,6.0,Asia
7,Iran,43,14.0,8.0,2.0,,,Asia
8,Thailand,35,,,,21.0,2.0,Asia
9,USA,35,,,,7.0,,N.America
10,Taiwan,28,2.0,1.0,,2.0,1.0,Asia
11,Australia,22,1.0,,,11.0,,Oceania
12,Malaysia,22,,,,18.0,,Asia
13,Germany,16,,,,14.0,,Europe
14,Vietnam,16,,,,15.0,,Asia
15,U.K.,13,4.0,,,8.0,,Europe
16,U.A.E.,13,,,,3.0,2.0,Asia
17,France,12,,1.0,,10.0,,Europe
18,Canada,10,1.0,,,3.0,,N.America
19,Macao,10,,,,6.0,,Asia
20,Philippines,3,,1.0,,2.0,,Asia
21,India,3,,,,3.0,,Asia
22,Israel,2,1.0,,,,,Asia
23,Russia,2,,,,2.0,,Europe
24,Spain,2,,,,2.0,,Europe
25,Belgium,1,,,,1.0,,Europe
26,Cambodia,1,,,,1.0,,Asia
27,Egypt,1,,,,1.0,,Africa
28,Finland,1,,,,1.0,,Europe
29,Lebanon,1,,,,,,Asia
30,Nepal,1,,,,1.0,,Asia
31,Sri Lanka,1,,,,1.0,,Asia
32,Sweden,1,,,,,,Europe
33,Iraq,1,,,,,,Asia
