,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,World,4342345,"+4,740",292893.0,442.0,1602441.0,2447011,46342.0,557.0,37.6,,
1,USA,1408636,,83425.0,,296746.0,1028465,16473.0,4256.0,252.0,9935720.0,30017.0
2,Spain,269520,,26920.0,,180470.0,62130,1534.0,5765.0,576.0,2467761.0,52781.0
3,Russia,232243,,2116.0,,43512.0,186615,2300.0,1591.0,14.0,5805404.0,39781.0
4,UK,226463,,32692.0,,,193427,1559.0,3336.0,482.0,2007146.0,29566.0
5,Italy,221216,,30911.0,,109039.0,81266,952.0,3659.0,511.0,2673655.0,44221.0
6,France,178225,,26991.0,,57785.0,93449,2542.0,2730.0,414.0,1384633.0,21213.0
7,Brazil,178214,+612,12461.0,57.0,72597.0,93156,8318.0,838.0,59.0,735224.0,3459.0
8,Germany,173171,,7738.0,,147200.0,18233,1539.0,2067.0,92.0,2755770.0,32891.0
9,Turkey,141475,,3894.0,,98889.0,38692,1045.0,1677.0,46.0,1440671.0,17082.0
10,Iran,110767,,6733.0,,88357.0,15677,2713.0,1319.0,80.0,615477.0,7328.0
11,India,74292,,2415.0,,24420.0,47457,,54.0,2.0,1759579.0,1275.0
12,Peru,72059,,2057.0,,23324.0,46678,797.0,2185.0,62.0,532169.0,16140.0
13,Canada,71157,,5169.0,,34042.0,31946,502.0,1885.0,137.0,1145683.0,30356.0
14,Belgium,53779,,8761.0,,13732.0,31286,465.0,4640.0,756.0,595531.0,51385.0
15,Netherlands,42984,,5510.0,,,37224,463.0,2509.0,322.0,270351.0,15778.0
16,Saudi Arabia,42925,,264.0,,15257.0,27404,147.0,1233.0,8.0,482374.0,13856.0
17,Mexico,38324,"+1,997",3926.0,353.0,25935.0,8463,378.0,297.0,30.0,135116.0,1048.0
18,Pakistan,34336,"+1,662",737.0,13.0,8812.0,24787,111.0,155.0,3.0,317699.0,1438.0
19,Chile,31721,,335.0,,14125.0,17261,494.0,1659.0,18.0,303340.0,15868.0
20,Ecuador,30419,,2327.0,,3433.0,24659,181.0,1724.0,132.0,85223.0,4830.0
21,Switzerland,30380,,1867.0,,26800.0,1713,89.0,3510.0,216.0,316852.0,36611.0
22,Portugal,27913,,1163.0,,3013.0,23737,113.0,2737.0,114.0,553855.0,54317.0
23,Sweden,27272,,3313.0,,4971.0,18988,360.0,2700.0,328.0,177500.0,17576.0
24,Qatar,25149,,14.0,,3019.0,22116,72.0,8729.0,5.0,135294.0,46960.0
25,Belarus,24873,,142.0,,6974.0,17757,92.0,2632.0,15.0,284445.0,30102.0
26,Singapore,24671,,21.0,,3851.0,20799,20.0,4217.0,4.0,175604.0,30016.0
27,Ireland,23242,,1488.0,,17110.0,4644,72.0,4707.0,301.0,258808.0,52414.0
28,UAE,19661,,203.0,,6012.0,13446,1.0,1988.0,21.0,1500000.0,151662.0
29,Poland,16921,,839.0,,6131.0,9951,160.0,447.0,22.0,507778.0,13417.0
30,Bangladesh,16660,,250.0,,3147.0,13263,1.0,101.0,2.0,136638.0,830.0
31,Israel,16529,,260.0,,12083.0,4186,67.0,1910.0,30.0,469800.0,54277.0
32,Ukraine,16023,,425.0,,3373.0,12225,211.0,366.0,10.0,187307.0,4283.0
33,Japan,15968,,657.0,,8531.0,6780,249.0,126.0,5.0,223649.0,1768.0
34,Austria,15961,,623.0,,14148.0,1190,59.0,1772.0,69.0,329314.0,36564.0
35,Romania,15778,,1002.0,,7685.0,7091,238.0,820.0,52.0,269183.0,13992.0
36,Indonesia,14749,,1007.0,,3063.0,10679,,54.0,4.0,165128.0,604.0
37,Colombia,12272,,493.0,,2971.0,8808,130.0,241.0,10.0,165738.0,3257.0
38,Philippines,11350,,751.0,,2106.0,8493,31.0,104.0,7.0,181668.0,1658.0
39,South Africa,11350,,206.0,,4357.0,6787,77.0,191.0,3.0,369697.0,6233.0
40,S. Korea,10962,+26,259.0,1.0,9695.0,1008,55.0,214.0,5.0,695920.0,13574.0
41,Dominican Republic,10900,,402.0,,3221.0,7277,131.0,1005.0,37.0,42615.0,3928.0
42,Denmark,10591,,527.0,,8580.0,1484,43.0,1828.0,91.0,334260.0,57709.0
43,Kuwait,10277,,75.0,,3101.0,7101,158.0,2406.0,18.0,196397.0,45988.0
44,Serbia,10243,,220.0,,3600.0,6423,23.0,1172.0,25.0,151304.0,17317.0
45,Egypt,10093,,544.0,,2326.0,7223,41.0,99.0,5.0,90000.0,879.0
46,Panama,8783,+167,252.0,3.0,6021.0,2510,87.0,2036.0,58.0,44561.0,10328.0
47,Czechia,8221,+23,283.0,,4889.0,3049,42.0,768.0,26.0,314138.0,29334.0
48,Norway,8157,,228.0,,32.0,7897,23.0,1505.0,42.0,205239.0,37858.0
49,Australia,6980,+16,98.0,1.0,6270.0,612,18.0,274.0,4.0,904110.0,35455.0
50,Malaysia,6742,,109.0,,5223.0,1410,16.0,208.0,3.0,271721.0,8395.0
51,Argentina,6563,,319.0,,1862.0,4382,170.0,145.0,7.0,87547.0,1937.0
52,Morocco,6418,,188.0,,2991.0,3239,1.0,174.0,5.0,71815.0,1946.0
53,Algeria,6067,,515.0,,2998.0,2554,22.0,138.0,12.0,6500.0,148.0
54,Finland,6003,,275.0,,4300.0,1428,34.0,1083.0,50.0,126500.0,22831.0
55,Bahrain,5531,,9.0,,2192.0,3330,5.0,3251.0,5.0,197898.0,116303.0
56,Kazakhstan,5279,,32.0,,2223.0,3024,31.0,281.0,2.0,422011.0,22475.0
