,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,World,1968943,"+45,095",123783.0,"+4,165",464479.0,1380681,51343.0,253.0,15.9,,
1,USA,598737,"+11,796",24770.0,"+1,130",38015.0,535952,12784.0,1809.0,75.0,3029979.0,9154.0
2,Spain,172541,"+2,442",18056.0,+300,67504.0,86981,7371.0,3690.0,386.0,600000.0,12833.0
3,Italy,162488,"+2,972",21067.0,+602,37130.0,104291,3186.0,2687.0,348.0,1073689.0,17758.0
4,France,136779,,14967.0,,27718.0,94094,6821.0,2095.0,229.0,333807.0,5114.0
5,Germany,131100,"+1,028",3261.0,+67,68200.0,59639,4288.0,1565.0,39.0,1317887.0,15730.0
6,UK,93873,"+5,252",12107.0,+778,,81422,1559.0,1383.0,178.0,382650.0,5637.0
7,Iran,74877,"+1,574",4683.0,+98,48129.0,22065,3691.0,891.0,56.0,287359.0,3421.0
8,Turkey,65111,"+4,062",1403.0,+107,4799.0,58909,1809.0,772.0,17.0,443626.0,5260.0
9,Belgium,31119,+530,4157.0,+254,6868.0,20094,1223.0,2685.0,359.0,102151.0,8814.0
10,Netherlands,27419,+868,2945.0,+122,250.0,24224,1358.0,1600.0,172.0,134972.0,7877.0
11,Canada,26206,+526,823.0,+43,8008.0,17375,557.0,694.0,22.0,437475.0,11591.0
12,Switzerland,25936,+248,1174.0,+36,13700.0,11062,386.0,2997.0,136.0,199000.0,22993.0
13,Brazil,24169,+739,1378.0,+50,3046.0,19745,296.0,114.0,6.0,62985.0,296.0
14,Russia,21102,"+2,774",170.0,+22,1694.0,19238,8.0,145.0,1.0,1400000.0,9593.0
15,Portugal,17448,+514,567.0,+32,347.0,16534,218.0,1711.0,56.0,182707.0,17918.0
16,Austria,14197,+156,384.0,+16,7633.0,6180,243.0,1576.0,43.0,151796.0,16854.0
