,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
0,China,79827,576.0,2870.0,35.0,34875,42082.0,7365.0
1,S. Korea,3526,376.0,17.0,,3479,30.0,10.0
2,Italy,1128,,29.0,,1049,50.0,105.0
3,Diamond Princess,705,,6.0,,689,10.0,36.0
4,Iran,593,,43.0,,427,123.0,
5,Japan,241,,6.0,1.0,203,32.0,19.0
6,Singapore,102,,,,30,72.0,7.0
7,France,100,,2.0,,86,12.0,8.0
8,Hong Kong,95,,2.0,,63,30.0,6.0
9,Germany,79,,,,63,16.0,2.0
10,USA,69,1.0,1.0,,61,7.0,1.0
11,Spain,58,,,,56,2.0,2.0
12,Kuwait,45,,,,45,,
13,Thailand,42,,,,14,28.0,2.0
14,Bahrain,41,,,,41,,
15,Taiwan,39,,1.0,,33,5.0,1.0
16,Australia,25,,1.0,1.0,9,15.0,
17,Malaysia,25,,,,3,22.0,
18,U.K.,23,,,,15,8.0,
19,U.A.E.,21,,,,16,5.0,2.0
20,Canada,20,,,,16,4.0,
21,Switzerland,19,,,,19,,
22,Vietnam,16,,,,0,16.0,
23,Norway,15,,,,15,,
24,Iraq,13,,,,13,,
25,Sweden,13,,,,13,,
26,Austria,10,,,,10,,
27,Macao,10,,,,4,6.0,
28,Greece,7,,,,7,,
29,Israel,7,,,,6,1.0,
30,Lebanon,7,,,,7,,
31,Netherlands,7,,,,7,,
32,Croatia,6,,,,6,,
33,Oman,6,,,,5,1.0,
34,Mexico,4,,,,4,,
35,Pakistan,4,,,,4,,
36,Philippines,3,,1.0,,0,2.0,
37,Azerbaijan,3,,,,3,,
38,Denmark,3,,,,3,,
39,Finland,3,,,,2,1.0,
40,Georgia,3,,,,3,,
41,India,3,,,,0,3.0,
42,Romania,3,,,,2,1.0,
43,Brazil,2,,,,2,,
44,Russia,2,,,,0,2.0,
45,Afghanistan,1,,,,1,,
46,Algeria,1,,,,1,,
47,Belarus,1,,,,1,,
48,Belgium,1,,,,0,1.0,
49,Cambodia,1,,,,0,1.0,
50,Ecuador,1,,,,1,,1.0
51,Egypt,1,,,,0,1.0,
52,Estonia,1,,,,1,,
53,Iceland,1,,,,1,,
54,Ireland,1,,,,1,,
55,Lithuania,1,,,,1,,
56,Luxembourg,1,,,,1,,
57,North Macedonia,1,,,,1,,
58,Monaco,1,,,,1,,
59,Nepal,1,,,,0,1.0,
60,New Zealand,1,,,,1,,
61,Nigeria,1,,,,1,,
62,Qatar,1,,,,1,,
63,San Marino,1,,,,1,,1.0
64,Sri Lanka,1,,,,0,1.0,
65,Total:,86993,953.0,2979.0,37.0,41423,42591.0,7568.0
