,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
0,China,79828,577.0,2870.0,35.0,34850,42108.0,7365.0
1,S. Korea,3736,586.0,20.0,3.0,3686,30.0,10.0
2,Italy,1128,,29.0,,1049,50.0,105.0
3,Iran,978,385.0,54.0,11.0,801,123.0,
4,Diamond Princess,705,,6.0,,689,10.0,36.0
5,Japan,252,11.0,6.0,1.0,214,32.0,19.0
6,Germany,117,38.0,,,101,16.0,2.0
7,France,104,4.0,2.0,,90,12.0,8.0
8,Singapore,102,,,,30,72.0,7.0
9,Hong Kong,95,,2.0,,63,30.0,6.0
10,Spain,73,15.0,,,71,2.0,2.0
11,USA,69,1.0,1.0,,61,7.0,1.0
12,Kuwait,46,1.0,,,46,,
13,Thailand,42,,1.0,1.0,11,30.0,2.0
14,Bahrain,41,,,,41,,
15,Taiwan,40,1.0,1.0,,27,12.0,1.0
16,Australia,25,,1.0,1.0,9,15.0,
17,Malaysia,25,,,,3,22.0,
18,U.K.,23,,,,15,8.0,
19,U.A.E.,21,,,,16,5.0,2.0
20,Canada,20,,,,16,4.0,
21,Switzerland,19,,,,19,,
22,Norway,17,2.0,,,17,,
23,Vietnam,16,,,,0,16.0,
24,Austria,14,4.0,,,14,,
25,Iraq,13,,,,13,,
26,Sweden,13,,,,13,,
27,Macao,10,,,,4,6.0,
28,Greece,7,,,,7,,
29,Israel,7,,,,6,1.0,
30,Lebanon,7,,,,7,,
31,Netherlands,7,,,,7,,
32,Croatia,6,,,,6,,
33,Oman,6,,,,5,1.0,
34,Finland,5,2.0,,,4,1.0,
35,Mexico,4,,,,4,,
36,Pakistan,4,,,,4,,
37,Philippines,3,,1.0,,0,2.0,
38,Azerbaijan,3,,,,3,,
39,Denmark,3,,,,3,,
40,Georgia,3,,,,3,,
41,India,3,,,,0,3.0,
42,Romania,3,,,,2,1.0,
43,Algeria,2,1.0,,,2,,
44,Belgium,2,1.0,,,1,1.0,
45,Brazil,2,,,,2,,
46,Russia,2,,,,0,2.0,
47,Afghanistan,1,,,,1,,
48,Belarus,1,,,,1,,
49,Cambodia,1,,,,0,1.0,
50,Ecuador,1,,,,1,,1.0
51,Egypt,1,,,,0,1.0,
52,Estonia,1,,,,1,,
53,Iceland,1,,,,1,,
54,Ireland,1,,,,1,,
55,Lithuania,1,,,,1,,
56,Luxembourg,1,,,,1,,
57,North Macedonia,1,,,,1,,
58,Monaco,1,,,,1,,
59,Nepal,1,,,,0,1.0,
60,New Zealand,1,,,,1,,
61,Nigeria,1,,,,1,,
62,Qatar,1,,,,1,,
63,San Marino,1,,,,1,,1.0
64,Sri Lanka,1,,,,0,1.0,
65,Armenia,1,1.0,,,1,,
66,Total:,87670,1630.0,2994.0,52.0,42050,42626.0,7568.0
