,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase
0,USA,104256,+130,1704.0,8.0,2525.0,100027,2494.0,315.0,5.0,Jan 20
1,Italy,86498,,9134.0,,10950.0,66414,3732.0,1431.0,151.0,Jan 29
2,Spain,65719,,5138.0,,9357.0,51224,4165.0,1406.0,110.0,Jan 30
3,Germany,50871,,351.0,,6658.0,43862,1581.0,607.0,4.0,Jan 26
4,France,32964,,1995.0,,5700.0,25269,3787.0,505.0,31.0,Jan 23
5,Iran,32332,,2378.0,,11133.0,18821,2893.0,385.0,28.0,Feb 18
6,UK,14543,,759.0,,135.0,13649,163.0,214.0,11.0,Jan 30
7,Switzerland,12928,,231.0,,1530.0,11167,203.0,1494.0,27.0,Feb 24
8,S. Korea,9478,+146,144.0,5.0,4811.0,4523,59.0,185.0,3.0,Jan 19
9,Netherlands,8603,,546.0,,3.0,8054,761.0,502.0,32.0,Feb 26
10,Austria,7697,,58.0,,225.0,7414,128.0,855.0,6.0,Feb 24
11,Belgium,7284,,289.0,,858.0,6137,690.0,628.0,25.0,Feb 03
12,Turkey,5698,,92.0,,42.0,5564,241.0,68.0,1.0,Mar 09
13,Canada,4757,,55.0,,354.0,4348,120.0,126.0,1.0,Jan 24
14,Portugal,4268,,76.0,,43.0,4149,71.0,419.0,7.0,Mar 01
15,Norway,3771,,19.0,,7.0,3745,70.0,696.0,4.0,Feb 25
16,Australia,3573,+195,14.0,1.0,170.0,3389,23.0,140.0,0.5,Jan 24
17,Brazil,3477,+60,93.0,1.0,6.0,3378,296.0,16.0,0.4,Feb 24
18,Sweden,3069,,105.0,,16.0,2948,214.0,304.0,10.0,Jan 30
19,Israel,3035,,12.0,,79.0,2944,49.0,351.0,1.0,Feb 20
20,Czechia,2279,,9.0,,11.0,2259,34.0,213.0,0.8,Feb 29
21,Malaysia,2161,,26.0,,259.0,1876,54.0,67.0,0.8,Jan 24
22,Ireland,2121,,22.0,,5.0,2094,59.0,430.0,4.0,Feb 28
23,Denmark,2046,,52.0,,1.0,1993,109.0,353.0,9.0,Feb 26
24,Ecuador,1627,,41.0,,3.0,1583,58.0,92.0,2.0,Feb 28
25,Chile,1610,,5.0,,43.0,1562,7.0,84.0,0.3,Mar 02
26,Luxembourg,1605,,15.0,,40.0,1550,25.0,2564.0,24.0,Feb 28
27,Japan,1499,,49.0,,372.0,1078,56.0,12.0,0.4,Jan 14
28,Pakistan,1408,+35,11.0,,25.0,1372,7.0,6.0,0.05,Feb 25
29,Poland,1389,,16.0,,7.0,1366,3.0,37.0,0.4,Mar 03
30,Romania,1292,,26.0,,115.0,1151,32.0,67.0,1.0,Feb 25
31,Thailand,1245,+109,6.0,1.0,97.0,1142,11.0,18.0,0.09,Jan 12
32,South Africa,1170,,1.0,,31.0,1138,7.0,20.0,0.02,Mar 04
33,Saudi Arabia,1104,,3.0,,35.0,1066,6.0,32.0,0.09,Mar 01
34,Indonesia,1046,,87.0,,46.0,913,,4.0,0.3,Mar 01
35,Finland,1041,,7.0,,10.0,1024,32.0,188.0,1.0,Jan 28
36,Russia,1036,,4.0,,45.0,987,8.0,7.0,0.03,Jan 30
37,Greece,966,,28.0,,52.0,886,66.0,93.0,3.0,Feb 25
38,India,906,+19,20.0,,83.0,803,,0.7,0.01,Jan 29
39,Iceland,890,,2.0,,97.0,791,18.0,2608.0,6.0,Feb 27
40,Philippines,803,,54.0,,31.0,718,1.0,7.0,0.5,Jan 29
41,Panama,786,,14.0,,2.0,770,20.0,182.0,3.0,Mar 09
42,Singapore,732,,2.0,,183.0,547,17.0,125.0,0.3,Jan 22
43,Mexico,717,+132,12.0,4.0,4.0,701,1.0,6.0,0.09,Feb 27
44,Diamond Princess,712,,10.0,,597.0,105,15.0,,,Feb 04
45,Argentina,690,+101,17.0,4.0,72.0,601,,15.0,0.4,Mar 02
46,Peru,635,,11.0,,16.0,608,21.0,19.0,0.3,Mar 05
47,Slovenia,632,,9.0,,10.0,613,14.0,304.0,4.0,Mar 03
48,Croatia,586,,3.0,,37.0,546,14.0,143.0,0.7,Feb 24
49,Dominican Republic,581,,20.0,,3.0,558,,54.0,2.0,Feb 29
50,Estonia,575,,1.0,,11.0,563,7.0,433.0,0.8,Feb 26
51,Qatar,562,,,,43.0,519,6.0,195.0,,Feb 28
52,Colombia,539,,6.0,,10.0,523,,11.0,0.1,Mar 05
53,Egypt,536,,30.0,,116.0,390,,5.0,0.3,Feb 13
54,Serbia,528,,8.0,,42.0,478,25.0,60.0,0.9,Mar 05
55,Hong Kong,519,,4.0,,111.0,404,5.0,69.0,0.5,Jan 22
56,Bahrain,466,,4.0,,227.0,235,1.0,274.0,2.0,Feb 23
57,Iraq,458,,40.0,,122.0,296,,11.0,1.0,Feb 21
58,New Zealand,451,+83,,,50.0,401,2.0,94.0,,Feb 27
59,Algeria,409,,26.0,,29.0,354,,9.0,0.6,Feb 24
60,UAE,405,,2.0,,52.0,351,2.0,41.0,0.2,Jan 28
61,Lebanon,391,,8.0,,27.0,356,3.0,57.0,1.0,Feb 20
62,Lithuania,358,,5.0,,1.0,352,2.0,132.0,2.0,Feb 27
63,Morocco,345,,23.0,,11.0,311,1.0,9.0,0.6,Mar 01
64,Hungary,343,+43,11.0,1.0,34.0,298,6.0,36.0,1.0,Mar 03
65,Armenia,329,,1.0,,28.0,300,6.0,111.0,0.3,Feb 29
66,Ukraine,310,,5.0,,5.0,300,,7.0,0.1,Mar 02
67,Bulgaria,293,,3.0,,9.0,281,8.0,42.0,0.4,Mar 06
68,Latvia,280,,,,1.0,279,,148.0,,Mar 01
69,Uruguay,274,+36,,,,274,8.0,79.0,,Mar 12
70,Slovakia,269,,,,2.0,267,1.0,49.0,,Mar 05
71,Andorra,267,,3.0,,1.0,263,11.0,3456.0,39.0,Mar 01
72,Taiwan,267,,2.0,,30.0,235,,11.0,0.08,Jan 20
73,Costa Rica,263,,2.0,,3.0,258,5.0,52.0,0.4,Mar 04
74,Bosnia and Herzegovina,237,,4.0,,5.0,228,1.0,72.0,1.0,Mar 04
75,Jordan,235,,1.0,,18.0,216,,23.0,0.1,Mar 01
76,Tunisia,227,,7.0,,2.0,218,10.0,19.0,0.6,Mar 01
77,Kuwait,225,,,,57.0,168,11.0,53.0,,Feb 23
78,San Marino,223,,21.0,,6.0,196,15.0,6572.0,619.0,Feb 26
79,North Macedonia,219,,3.0,,3.0,213,1.0,105.0,1.0,Feb 25
80,Moldova,199,,2.0,,2.0,195,33.0,49.0,0.5,Mar 06
81,Albania,186,,8.0,,31.0,147,3.0,65.0,3.0,Mar 07
82,Burkina Faso,180,,9.0,,12.0,159,,9.0,0.4,Mar 08
83,Vietnam,169,+6,,,20.0,149,3.0,2.0,,Jan 22
84,Azerbaijan,165,,3.0,,15.0,147,6.0,16.0,0.3,Feb 27
85,Cyprus,162,,5.0,,15.0,142,3.0,134.0,4.0,Mar 08
86,Kazakhstan,150,,1.0,,3.0,146,,8.0,0.05,Mar 12
87,Réunion,145,,,,1.0,144,,162.0,,Mar 10
88,Faeroe Islands,144,,,,54.0,90,2.0,2947.0,,Mar 03
89,Malta,139,,,,2.0,137,1.0,315.0,,Mar 06
90,Ghana,137,,4.0,,2.0,131,1.0,4.0,0.1,Mar 11
91,Oman,131,,,,23.0,108,,26.0,,Feb 23
92,Senegal,119,,,,11.0,108,,7.0,,Mar 01
93,Brunei,115,,1.0,1.0,11.0,103,1.0,263.0,2.0,Mar 08
94,Venezuela,113,,2.0,,31.0,80,2.0,4.0,0.07,Mar 12
95,Afghanistan,110,,4.0,,2.0,104,,3.0,0.1,Feb 23
96,Sri Lanka,106,,,,9.0,97,5.0,5.0,,Jan 26
97,Uzbekistan,104,+16,2.0,1.0,5.0,97,8.0,3.0,0.06,Mar 14
