,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,80849,+25,3199.0,10.0,66931.0,10719,3226.0,56.2
1,Italy,24747,"+3,590",1809.0,368.0,2335.0,20603,1672.0,409.3
2,Iran,13938,"+1,209",724.0,113.0,4590.0,8624,,165.9
3,S. Korea,8162,+76,75.0,3.0,834.0,7253,59.0,159.2
4,Spain,7843,"+1,452",292.0,96.0,517.0,7034,272.0,167.7
5,Germany,5813,"+1,214",11.0,2.0,46.0,5756,2.0,69.4
6,France,5423,+924,127.0,36.0,12.0,5284,400.0,83.1
7,USA,3400,+457,63.0,6.0,59.0,3278,10.0,10.3
8,Switzerland,2217,+842,14.0,1.0,4.0,2199,,256.2
9,UK,1372,+232,35.0,14.0,20.0,1317,20.0,20.2
10,Norway,1246,+137,3.0,,1.0,1242,27.0,229.8
11,Netherlands,1135,+176,20.0,8.0,2.0,1113,45.0,66.2
12,Sweden,1040,+79,3.0,1.0,1.0,1036,2.0,103.0
13,Belgium,886,+197,4.0,,1.0,881,33.0,76.4
14,Denmark,864,+28,2.0,1.0,1.0,861,2.0,149.2
15,Austria,860,+205,1.0,,6.0,853,1.0,95.5
16,Japan,839,+35,24.0,2.0,144.0,671,36.0,6.6
17,Diamond Princess,696,,7.0,,456.0,233,15.0,
18,Malaysia,428,+190,,,42.0,386,9.0,13.2
19,Qatar,401,+64,,,4.0,397,,139.2
20,Greece,331,+103,4.0,1.0,8.0,319,5.0,31.8
21,Canada,317,+65,1.0,,11.0,305,1.0,8.4
22,Australia,300,+52,5.0,2.0,27.0,268,1.0,11.8
23,Czechia,253,+64,,,,253,2.0,23.6
24,Portugal,245,+76,,,2.0,243,9.0,24.0
25,Finland,244,+19,,,10.0,234,,44.0
26,Singapore,226,+14,,,105.0,121,11.0,38.6
27,Slovenia,219,+38,1.0,,,218,3.0,105.3
28,Bahrain,214,+2,,,60.0,154,2.0,125.8
29,Israel,213,+20,,,4.0,209,2.0,24.6
30,Iceland,173,+12,,,,173,1.0,
31,Estonia,171,+56,,,1.0,170,,128.9
32,Ireland,170,+41,2.0,,1.0,167,6.0,34.4
33,Hong Kong,149,+7,4.0,,81.0,64,4.0,19.9
34,Philippines,140,+29,11.0,3.0,2.0,127,1.0,1.3
35,Romania,139,+16,,,9.0,130,1.0,7.2
36,Iraq,124,+14,10.0,,26.0,88,,3.1
37,Poland,123,+19,3.0,,13.0,107,3.0,3.2
38,Brazil,121,,,,1.0,120,2.0,0.6
39,Saudi Arabia,118,+15,,,2.0,116,,3.4
40,Indonesia,117,+21,5.0,,8.0,104,,0.4
41,Thailand,114,+32,1.0,,35.0,78,1.0,1.6
42,India,112,+12,2.0,,13.0,97,,0.1
43,Kuwait,112,+8,,,9.0,103,4.0,26.2
44,Egypt,110,,2.0,,27.0,81,,1.1
45,San Marino,101,,5.0,,4.0,92,3.0,
46,Lebanon,99,+6,3.0,,1.0,95,3.0,14.5
47,UAE,98,+13,,,20.0,78,2.0,9.9
48,Chile,75,+14,,,,75,,3.9
49,Peru,71,+28,,,,71,,2.2
50,Russia,63,+4,,,8.0,55,,0.4
51,Slovakia,61,+17,,,,61,,11.2
52,South Africa,61,+23,,,,61,,1.0
53,Luxembourg,59,+8,1.0,,,58,,
54,Taiwan,59,+6,1.0,,20.0,38,,2.5
55,Vietnam,56,+3,,,16.0,40,,0.6
56,Pakistan,53,+20,,,2.0,51,,0.2
57,Bulgaria,51,+10,2.0,,,49,,7.3
58,Brunei,50,+10,,,,50,,
59,Croatia,49,+10,,,2.0,47,,11.9
60,Algeria,48,+9,4.0,1.0,10.0,34,,1.1
61,Serbia,48,+2,,,1.0,47,1.0,5.5
62,Argentina,45,,2.0,,,43,1.0,1.0
63,Panama,43,,1.0,,,42,,10.0
64,Mexico,43,+17,,,4.0,39,1.0,0.3
65,Albania,42,+4,1.0,,,41,2.0,14.6
66,Cyprus,39,+13,,,,39,1.0,32.3
67,Palestine,38,,,,,38,,7.4
68,Costa Rica,35,+8,,,,35,3.0,6.9
69,Colombia,34,+10,,,,34,,0.7
70,Georgia,33,+3,,,1.0,32,1.0,8.3
71,Hungary,32,+2,1.0,1.0,1.0,30,,3.3
72,Latvia,30,+4,,,1.0,29,,15.9
73,Ecuador,28,,2.0,,,26,1.0,1.6
74,Morocco,28,+10,1.0,,1.0,26,1.0,0.8
75,Belarus,27,,,,3.0,24,,2.9
76,Armenia,26,+6,,,,26,,8.8
77,Senegal,24,,,,2.0,22,,1.4
78,Bosnia and Herzegovina,24,+3,,,,24,,7.3
79,Azerbaijan,23,+4,1.0,,6.0,16,,2.3
80,Moldova,23,+11,,,,23,,5.7
81,Oman,22,+2,,,9.0,13,,4.3
82,Malta,21,+3,,,2.0,19,,
83,Tunisia,20,+2,,,,20,2.0,1.7
84,North Macedonia,19,,,,1.0,18,,9.1
