,"Country, Territory",Total Cases,"Feb 7,8 Cases",Total Deaths,"Feb 7,8 Deaths",Total Recovered,Total Severe,Region
0,China,34611,"+3,450",722.0,86.0,2363.0,6101.0,Asia
1,Japan,89,+44,,,4.0,,Asia
2,Singapore,33,+3,,,2.0,1.0,Asia
3,Thailand,32,+7,,,9.0,1.0,Asia
4,Hong Kong,26,+2,1.0,,,,Asia
5,S. Korea,24,+1,,,2.0,,Asia
6,Taiwan,17,+1,,,1.0,,Asia
7,Malaysia,16,+2,,,1.0,,Asia
8,Australia,15,,,,5.0,,Oceania
9,Germany,14,+1,,,,,Europe
10,Vietnam,13,+1,,,3.0,,Asia
11,USA,12,,,,3.0,,N.America
12,France,11,+5,,,,1.0,Europe
13,Macao,10,,,,1.0,,Asia
14,Canada,7,,,,,,N.America
15,U.A.E.,7,+2,,,,,Asia
16,Philippines,3,,1.0,,,,Asia
17,India,3,,,,,,Asia
18,Italy,3,,,,,2.0,Europe
19,U.K.,3,,,,,,Europe
20,Russia,2,,,,,,Europe
21,Nepal,1,,,,,,Asia
22,Cambodia,1,,,,1.0,,Asia
23,Finland,1,,,,1.0,,Europe
24,Sri Lanka,1,,,,1.0,,Asia
25,Sweden,1,,,,,,Europe
26,Belgium,1,,,,,,Europe
27,Spain,1,,,,,,Europe
