,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,World,2333239,"+2,446",160818.0,175.0,600315.0,1572106,55271.0,299.0,20.6,,
1,USA,738923,+131,39015.0,1.0,68285.0,631623,13551.0,2232.0,118.0,3722209.0,11245.0
2,Spain,194416,,20639.0,,74797.0,98980,7371.0,4158.0,441.0,930230.0,19896.0
3,Italy,175925,,23227.0,,44927.0,107771,2733.0,2910.0,384.0,1305833.0,21598.0
4,France,151793,,19323.0,,35983.0,96487,5833.0,2325.0,296.0,463662.0,7103.0
5,Germany,143724,,4538.0,,88000.0,51186,2922.0,1715.0,54.0,1728357.0,20629.0
6,UK,114217,,15464.0,,,98409,1559.0,1682.0,228.0,460437.0,6783.0
7,Turkey,82329,,1890.0,,10453.0,69986,1894.0,976.0,22.0,598933.0,7101.0
8,Iran,80868,,5031.0,,55987.0,19850,3513.0,963.0,60.0,330137.0,3931.0
9,Belgium,37183,,5453.0,,8348.0,23382,1119.0,3208.0,471.0,145997.0,12597.0
10,Brazil,36925,+203,2372.0,11.0,14026.0,20527,6634.0,174.0,11.0,62985.0,296.0
11,Russia,36793,,313.0,,3057.0,33423,8.0,252.0,2.0,1831892.0,12553.0
12,Canada,33383,,1470.0,,11207.0,20706,557.0,885.0,39.0,516216.0,13677.0
13,Netherlands,31589,,3601.0,,250.0,27738,1279.0,1844.0,210.0,154911.0,9041.0
14,Switzerland,27404,,1368.0,,17100.0,8936,386.0,3166.0,158.0,216400.0,25004.0
15,Portugal,19685,,687.0,,610.0,18388,228.0,1931.0,67.0,235878.0,23133.0
16,India,16365,,521.0,,2466.0,13378,,12.0,0.4,372123.0,270.0
17,Ireland,14758,,571.0,,77.0,14110,294.0,2989.0,116.0,90646.0,18358.0
18,Austria,14671,,443.0,,10214.0,4014,208.0,1629.0,49.0,175932.0,19534.0
19,Peru,14420,,348.0,,6684.0,7388,117.0,437.0,11.0,135895.0,4122.0
20,Sweden,13822,,1511.0,,550.0,11761,1054.0,1369.0,150.0,74600.0,7387.0
21,Israel,13362,+97,171.0,7.0,3564.0,9627,156.0,1544.0,20.0,187250.0,21634.0
22,S. Korea,10661,+8,234.0,2.0,8042.0,2385,55.0,208.0,5.0,559109.0,10905.0
23,Japan,10296,,222.0,,1069.0,9005,221.0,81.0,2.0,111325.0,880.0
24,Chile,9730,,126.0,,4035.0,5569,360.0,509.0,7.0,108891.0,5696.0
25,Ecuador,9022,,456.0,,1008.0,7558,168.0,511.0,26.0,30922.0,1753.0
26,Poland,8742,,347.0,,981.0,7414,160.0,231.0,9.0,192960.0,5098.0
27,Romania,8418,,421.0,,1730.0,6267,248.0,438.0,22.0,90991.0,4730.0
28,Saudi Arabia,8274,,92.0,,1329.0,6853,78.0,238.0,3.0,150000.0,4309.0
29,Pakistan,7993,+355,159.0,16.0,1868.0,5966,46.0,36.0,0.7,98522.0,446.0
30,Mexico,7497,+622,650.0,104.0,2627.0,4220,207.0,58.0,5.0,49167.0,381.0
31,Denmark,7242,,346.0,,3847.0,3049,76.0,1250.0,60.0,91437.0,15786.0
32,Norway,7069,+33,164.0,,32.0,6873,63.0,1304.0,30.0,139668.0,25763.0
33,Czechia,6657,+51,181.0,,1235.0,5241,84.0,622.0,17.0,168096.0,15697.0
34,Australia,6586,,70.0,,4167.0,2349,55.0,258.0,3.0,406510.0,15942.0
35,UAE,6302,,37.0,,1188.0,5077,1.0,637.0,4.0,767000.0,77550.0
36,Indonesia,6248,,535.0,,631.0,5082,,23.0,2.0,39422.0,144.0
37,Philippines,6087,,397.0,,516.0,5174,1.0,56.0,4.0,56048.0,511.0
