,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","3,560,801","+4,907","176,618",+480,"1,611,039","+4,060","1,773,144","18,382",,,,,,North America,"
",,
1,,"
South America
","2,550,729","+1,212","94,967",+42,"1,566,877",+262,"888,885","13,569",,,,,,South America,"
",,
2,,"
Asia
","2,630,169",+52,"63,294",+1,"1,778,391",+76,"788,484","19,506",,,,,,Asia,"
",,
3,,"
Europe
","2,492,804",,"193,989",,"1,437,925",+500,"860,890","5,555",,,,,,Europe,"
",,
4,,"
Africa
","493,710",,"11,649",,"238,464",,"243,597",956,,,,,,Africa,"
",,
5,,"
Oceania
","10,235",+2,128,,"9,019",+2,"1,088",6,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,651,,55,4,,,,,,,"
",,
7,,World,"11,739,169","+6,173","540,660",+523,"6,642,366","+4,900","4,556,143","57,978","1,506",69.4,,,,All,"
",,
8,1,USA,"3,040,833",,"132,979 ",,"1,324,947",,"1,582,907","15,198","9,186",402,"38,217,640","115,449","331,034,037 ",North America,109,"2,489",9
9,2,Brazil,"1,626,071",,"65,556 ",,"978,615",,"581,900","8,318","7,649",308,"3,330,562","15,667","212,582,910 ",South America,131,"3,243",64
10,3,India,"720,346",,"20,174 ",,"440,150",,"260,022","8,944",522,15,"9,969,662","7,223","1,380,196,747 ",Asia,"1,916","68,415",138
11,4,Russia,"687,862",,"10,296 ",,"454,329",,"223,237","2,300","4,713",71,"21,335,394","146,197","145,935,642 ",Europe,212,"14,174",7
12,5,Peru,"305,703",,"10,772 ",,"197,619",,"97,312","1,236","9,270",327,"1,800,690","54,604","32,977,406 ",South America,108,"3,061",18
13,6,Spain,"298,869",,"28,388 ",,N/A,N/A,N/A,617,"6,392",607,"5,734,599","122,652","46,755,120 ",Europe,156,"1,647",8
14,7,Chile,"298,557",,"6,384 ",,"264,371",,"27,802","2,069","15,616",334,"1,198,261","62,675","19,118,631 ",South America,64,"2,995",16
15,8,UK,"285,768",,"44,236 ",,N/A,N/A,N/A,231,"4,209",652,"10,651,308","156,886","67,891,886 ",Europe,238,"1,535",6
16,9,Mexico,"261,750","+4,902","31,119 ",+480,"159,657","+4,053","70,974",378,"2,030",241,"641,142","4,972","128,951,496 ",North America,493,"4,144",201
17,10,Iran,"243,051",,"11,731 ",,"204,083",,"27,237","3,201","2,893",140,"1,820,000","21,665","84,006,568 ",Asia,346,"7,161",46
18,11,Italy,"241,819",,"34,869 ",,"192,241",,"14,709",72,"4,000",577,"5,660,454","93,623","60,460,068 ",Europe,250,"1,734",11
19,12,Pakistan,"231,818",,"4,762 ",,"131,649",,"95,407","2,406","1,049",22,"1,420,623","6,430","220,931,964 ",Asia,953,"46,395",156
20,13,Saudi Arabia,"213,716",,"1,968 ",,"149,634",,"62,114","2,254","6,138",57,"1,934,391","55,554","34,819,965 ",Asia,163,"17,693",18
21,14,Turkey,"206,844",,"5,241 ",,"182,995",,"18,608","1,130","2,452",62,"3,682,673","43,659","84,351,507 ",Asia,408,"16,095",23
22,15,South Africa,"205,721",,"3,310 ",,"97,848",,"104,563",539,"3,468",56,"1,864,111","31,426","59,318,236 ",Africa,288,"17,921",32
23,16,Germany,"198,057",,"9,092 ",,"182,700",+500,"6,265",305,"2,364",109,"5,873,563","70,100","83,788,628 ",Europe,423,"9,216",14
24,17,France,"168,335",,"29,920 ",,"77,308",,"61,107",548,"2,579",458,"1,384,633","21,212","65,276,107 ",Europe,388,"2,182",47
25,18,Bangladesh,"165,618",,"2,096 ",,"76,149",,"87,373",1,"1,005",13,"863,307","5,241","164,712,537 ",Asia,995,"78,584",191
26,19,Colombia,"120,281",,"4,210 ",,"50,370",,"65,701",841,"2,364",83,"881,190","17,315","50,890,353 ",South America,423,"12,088",58
27,20,Canada,"105,935",,"8,693 ",,"69,570",,"27,672","2,128","2,806",230,"2,975,711","78,833","37,747,023 ",North America,356,"4,342",13
28,21,Qatar,"100,345",,133 ,,"93,898",,"6,314",164,"35,738",47,"386,111","137,513","2,807,805 ",Asia,28,"21,111",7
29,22,Argentina,"80,447",,"1,582 ",,"28,531",,"50,334",676,"1,780",35,"406,210","8,987","45,201,791 ",South America,562,"28,573",111
30,23,Egypt,"76,222",,"3,422 ",,"21,238",,"51,562",41,745,33,"135,000","1,319","102,352,798 ",Africa,"1,343","29,910",758
