,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","10,646,876","+4,889","343,961",+189,"7,076,621","+3,786","3,226,294","20,081",,,,,,North America,"
",,
1,,"
Asia
","13,157,950","+1,986","234,392",+3,"11,601,365","+4,051","1,322,193","21,094",,,,,,Asia,"
",,
2,,"
South America
","9,365,460",+74,"287,936",+18,"8,326,533",+591,"750,991","18,042",,,,,,South America,"
",,
3,,"
Europe
","8,411,387","+15,851","250,506",+73,"3,456,337",+209,"4,704,544","16,425",,,,,,Europe,"
",,
4,,"
Africa
","1,727,897",,"41,324",,"1,412,173",,"274,400","2,133",,,,,,Africa,"
",,
5,,"
Oceania
","35,975",+13,959,,"31,331",+12,"3,685",17,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,659,,47,4,,,,,,,"
",,
7,,World,"43,346,266","+22,813","1,159,093",+283,"31,905,019","+8,649","10,282,154","77,796","5,561",148.7,,,,All,"
",,
8,1,USA,"8,889,179",,"230,510 ",,"5,772,498",,"2,886,171","16,377","26,805",695,"133,229,328","401,751","331,621,597 ",North America,37,"1,439",2
9,2,India,"7,909,959",+909,"119,030 ",,"7,137,228","+3,234","653,701","8,944","5,714",86,"103,462,778","74,740","1,384,308,221 ",Asia,175,"11,630",13
10,3,Brazil,"5,394,128",,"157,163 ",,"4,835,915",,"401,050","8,318","25,320",738,"21,900,000","102,797","213,040,452 ",South America,39,"1,356",10
11,4,Russia,"1,513,877",,"26,050 ",,"1,138,522",,"349,305","2,300","10,372",178,"57,344,952","392,896","145,954,555 ",Europe,96,"5,603",3
12,5,France,"1,138,507",,"34,761 ",,"110,322",,"993,424","2,500","17,430",532,"14,880,040","227,803","65,319,785 ",Europe,57,"1,879",4
13,6,Spain,"1,110,372",,"34,752 ",,N/A,N/A,N/A,"2,031","23,746",743,"15,503,165","331,543","46,760,593 ",Europe,42,"1,346",3
14,7,Argentina,"1,090,589",,"28,896 ",,"894,819",,"166,874","4,863","24,060",637,"2,823,654","62,295","45,327,446 ",South America,42,"1,569",16
15,8,Colombia,"1,015,885",,"30,154 ",,"915,451",,"70,280","2,365","19,898",591,"4,748,744","93,013","51,054,737 ",South America,50,"1,693",11
16,9,Mexico,"891,160","+4,360","88,924 ",+181,"650,355","+3,616","151,881","2,781","6,889",687,"2,288,589","17,691","129,362,066 ",North America,145,"1,455",57
17,10,Peru,"888,715",,"34,149 ",,"807,636",,"46,930","1,050","26,836","1,031","4,390,402","132,574","33,116,739 ",South America,37,970,8
18,11,UK,"873,800",,"44,896 ",,N/A,N/A,N/A,743,"12,850",660,"31,157,988","458,207","67,999,816 ",Europe,78,"1,515",2
19,12,South Africa,"715,868",,"18,968 ",,"646,170",,"50,730",546,"12,022",319,"4,697,939","78,897","59,545,000 ",Africa,83,"3,139",13
20,13,Iran,"568,896",,"32,616 ",,"455,054",,"81,226","4,969","6,746",387,"4,719,597","55,964","84,332,604 ",Asia,148,"2,586",18
21,14,Italy,"525,782",,"37,338 ",,"266,203",,"222,241","1,208","8,700",618,"14,654,002","242,483","60,433,211 ",Europe,115,"1,619",4
22,15,Chile,"502,063",,"13,944 ",,"478,252",,"9,867",723,"26,192",727,"4,119,551","214,914","19,168,340 ",South America,38,"1,375",5
23,16,Iraq,"451,707",,"10,623 ",,"381,349",,"59,735",400,"11,152",262,"2,756,365","68,052","40,503,790 ",Asia,90,"3,813",15
24,17,Germany,"437,866",+229,"10,138 ",,"317,000",,"110,728","1,296","5,221",121,"20,380,376","243,001","83,869,665 ",Europe,192,"8,273",4
25,18,Bangladesh,"398,815",,"5,803 ",,"315,107",,"77,905",,"2,414",35,"2,257,589","13,665","165,209,762 ",Asia,414,"28,470",73
26,19,Indonesia,"389,712",,"13,299 ",,"313,764",,"62,649",,"1,420",48,"4,327,144","15,767","274,440,185 ",Asia,704,"20,636",63
27,20,Philippines,"370,028",,"6,977 ",,"328,036",,"35,015","1,562","3,363",63,"4,550,712","41,354","110,041,549 ",Asia,297,"15,772",24
28,21,Turkey,"361,801",,"9,799 ",,"314,390",,"37,612","1,744","4,275",116,"13,217,888","156,191","84,626,587 ",Asia,234,"8,636",6
29,22,Saudi Arabia,"344,875",,"5,296 ",,"331,330",,"8,249",788,"9,858",151,"7,670,348","219,250","34,984,507 ",Asia,101,"6,606",5
30,23,Ukraine,"343,498",,"6,391 ",,"141,508",,"195,599",177,"7,870",146,"2,991,893","68,545","43,648,730 ",Europe,127,"6,830",15
31,24,Pakistan,"328,602",+707,"6,739 ",+3,"311,075",+584,"10,788",559,"1,479",30,"4,290,545","19,306","222,234,915 ",Asia,676,"32,977",52
32,25,Belgium,"321,031","+15,622","10,810 ",+73,"23,087",+209,"287,134",757,"27,661",931,"4,584,124","394,988","11,605,739 ",Europe,36,"1,074",3
33,26,Israel,"309,946",,"2,397 ",,"293,109",,"14,440",510,"33,699",261,"4,401,559","478,556","9,197,590 ",Asia,30,"3,837",2
34,27,Netherlands,"291,254",,"7,046 ",,N/A,N/A,N/A,512,"16,986",411,"2,901,903","169,237","17,147,019 ",Europe,59,"2,434",6
35,28,Czechia,"258,097",,"2,201 ",,"97,381",,"158,515",800,"24,087",205,"2,058,256","192,085","10,715,349 ",Europe,42,"4,868",5
36,29,Poland,"253,688",,"4,438 ",,"112,619",,"136,631",947,"6,705",117,"4,330,602","114,465","37,833,276 ",Europe,149,"8,525",9
37,30,Canada,"216,104",,"9,946 ",,"181,429",,"24,729",215,"5,710",263,"9,603,477","253,743","37,847,275 ",North America,175,"3,805",4
38,31,Romania,"209,648",,"6,391 ",,"149,741",,"53,516",828,"10,921",333,"3,055,989","159,198","19,196,126 ",Europe,92,"3,004",6
39,32,Morocco,"197,481",,"3,301 ",,"163,195",,"30,985",743,"5,330",89,"3,197,617","86,308","37,048,960 ",Africa,188,"11,224",12
40,33,Ecuador,"161,635",,"12,553 ",,"141,759",,"7,323",365,"9,118",708,"521,891","29,440","17,727,417 ",South America,110,"1,412",34
41,34,Nepal,"158,089",,847 ,,"111,670",,"45,572",,"5,395",29,"1,393,173","47,547","29,301,181 ",Asia,185,"34,594",21
42,35,Bolivia,"140,853",+74,"8,645 ",+18,"108,658",+591,"23,550",71,"12,015",737,"327,349","27,923","11,723,269 ",South America,83,"1,356",36
43,36,Qatar,"131,170",,230 ,,"128,099",,"2,841",33,"46,716",82,"934,283","332,745","2,807,805 ",Asia,21,"12,208",3
44,37,Panama,"129,200",,"2,633 ",,"105,231",,"21,336",128,"29,796",607,"627,775","144,777","4,336,139 ",North America,34,"1,647",7
